logical_source,source_filename,source_size_bytes,source_sha256,industrial_identifiers_exported
pilot_2025_calibration_workbook,Calibration_data_vl3.xlsx,78847,a5320e748a0d15993cd808609cf12afcdba230759abea6c74f4cb074a52ad986,False
experiment_campaign_registry,experiments.csv,10924,4ee51b766649281165c8244f6b0103e2ad9212a2b5ce16a0c8b95e3b22afb6f4,False
