scenario,order,candidate,kind,time_h,datetime,date,score_gain,score
midday_12_response,1,synthetic_fructose_rich_glucose_pulse,full,214.5,2026-06-24 14:00:00,2026-06-24,72.63835495884622,80.2923015398842
midday_12_response,2,synthetic_high_biomass_low_N_maintenance,full,214.5,2026-06-24 14:00:00,2026-06-24,40.05533354342363,120.34763508330784
midday_12_response,3,synthetic_lit_SM410_18C_highN_ester,full,48.5,2026-06-17 16:00:00,2026-06-17,15.353524291506915,135.70115937481475
midday_12_response,4,synthetic_high_biomass_low_N_maintenance,full,90.5,2026-06-19 10:00:00,2026-06-19,5.6909403677175305,141.39209974253228
midday_12_response,5,synthetic_fructose_rich_glucose_pulse,full,212.5,2026-06-24 12:00:00,2026-06-24,3.280541917765504,144.67264166029778
midday_12_response,6,synthetic_lit_SM410_18C_highN_ester,full,46.5,2026-06-17 14:00:00,2026-06-17,2.6927923358366286,147.3654339961344
midday_12_response,7,synthetic_fructose_rich_glucose_pulse,full,210.5,2026-06-24 10:00:00,2026-06-24,2.191349124151202,149.55678312028562
midday_12_response,8,synthetic_lit_SM410_18C_highN_ester,full,44.5,2026-06-17 12:00:00,2026-06-17,1.6319735170454805,151.1887566373311
midday_12_response,9,synthetic_fructose_rich_glucose_pulse,full,192.5,2026-06-23 16:00:00,2026-06-23,1.5838014652343304,152.77255810256543
midday_12_response,10,synthetic_high_biomass_low_N_maintenance,full,92.5,2026-06-19 12:00:00,2026-06-19,1.386895172580779,154.1594532751462
midday_12_response,11,synthetic_fructose_rich_glucose_pulse,full,190.5,2026-06-23 14:00:00,2026-06-23,1.2785396628821957,155.4379929380284
midday_12_response,12,synthetic_lit_SM410_18C_highN_ester,full,66.5,2026-06-18 10:00:00,2026-06-18,1.188417317892572,156.62641025592097
midday_12_response,13,synthetic_high_biomass_low_N_maintenance,full,212.5,2026-06-24 12:00:00,2026-06-24,1.0993645814132549,157.72577483733423
midday_12_response,14,synthetic_fructose_rich_glucose_pulse,full,188.5,2026-06-23 12:00:00,2026-06-23,1.0184620901418668,158.7442369274761
midday_12_response,15,synthetic_fructose_rich_glucose_pulse,full,48.5,2026-06-17 16:00:00,2026-06-17,0.9474224391731241,159.69165936664922
midday_12_response,16,synthetic_fructose_rich_glucose_pulse,full,186.5,2026-06-23 10:00:00,2026-06-23,0.8851406269406539,160.57679999358987
midday_12_response,17,synthetic_high_biomass_low_N_maintenance,full,72.5,2026-06-18 16:00:00,2026-06-18,0.8566151157763784,161.43341510936625
midday_12_response,18,synthetic_lit_SM410_18C_highN_ester,full,214.5,2026-06-24 14:00:00,2026-06-24,0.7856516618109595,162.2190667711772
midday_12_response,19,synthetic_lit_SM410_18C_highN_ester,full,68.5,2026-06-18 12:00:00,2026-06-18,0.766768323945854,162.98583509512306
midday_12_response,20,synthetic_high_biomass_low_N_maintenance,full,210.5,2026-06-24 10:00:00,2026-06-24,0.7200380319876274,163.7058731271107
