candidate,channel,pulse_time_h,post_liquid_0_6h,post_full_0_6h
synthetic_high_biomass_low_N_maintenance,N,72.5,0,0
synthetic_high_biomass_low_N_maintenance,G,48.5,0,0
synthetic_high_biomass_low_N_maintenance,F,96.5,0,0
synthetic_fructose_rich_glucose_pulse,N,24.5,0,0
synthetic_fructose_rich_glucose_pulse,G,72.5,0,0
