ensemble_member,preliminary_information_gain,three_anchor_reference_information_gain,optimized_information_gain
0,9.980853284396414,7.775743341655684,11.023154149081893
1,6.941767857189994,10.46985280892807,9.016522309989654
2,7.8251644383060075,7.035299861467351,7.160496214122855
3,8.512204099639849,1.3980435981178303,2.2670688816783624
4,6.161310586801509,2.033053329772887,2.547558379341414
5,11.074560373284516,13.019459763282406,10.49326532933133
6,6.521122539002047,5.849422632117236,5.723209183861371
7,5.218430669557918,5.2180608722516055,5.819335830717005
8,8.997407133207297,5.360567713368134,5.139482063930295
9,10.643367774211391,8.517858859586013,10.311188679419057
10,10.92777032217618,5.328625161023012,7.641233586266427
11,11.462276328144782,6.511625253976547,6.930513709120344
12,12.824619785389949,14.393548236379196,15.51478463802676
13,6.427187835597074,2.4820468737117025,2.6937347400953797
14,5.475417435554263,6.1616055577723685,5.854743306851827
15,2.226960371744287,1.1705373209956598,1.9491406440162393
16,11.566135518764355,9.275579675992216,12.010522475230793
17,11.086478963179513,9.870638422278219,10.509010254386158
18,5.765472835461619,5.071194607801019,7.020383742940492
19,5.215491959047402,3.071143786897057,5.329935626894823
20,8.714034851331007,9.052542585244328,11.299246783933732
21,8.144587422549609,8.549299974695984,9.397913384917398
22,8.465361132653513,9.82928028216799,9.2853206004404
23,14.979998394629568,9.113902804995526,11.549368229037114
24,8.157740473766403,5.7616631209564595,8.230643451732156
25,5.312808496470595,6.347874115614452,5.463799565003605
26,6.417351407116282,4.6081264344958015,7.081708697618062
27,6.707760491912946,5.1726419935292896,6.6200321446087855
28,9.830169219744548,2.3198733058391277,4.475009457865056
29,8.031603118244966,5.6364734636597795,9.05930100551295
30,3.458774544992643,3.5042903508736316,3.641527681751569
31,5.16034648380154,5.07192745397775,5.132856149804706
32,8.940684458050548,7.5555692990724665,10.631119381668292
33,5.230496373552086,2.180132602910021,3.271560200105778
34,8.153706568524914,2.9072695999992533,2.6535426539033793
35,11.516424164869932,8.18140820167337,9.403312787157777
36,6.763524733082807,5.993100957186556,6.13636113128662
37,8.698686550577424,8.050260832134974,9.35728802032715
38,6.186857389480984,4.27181878208739,6.3153912320823515
39,9.30184304083852,8.587604735422335,9.834557259248935
40,6.299874283265449,4.7841394139872335,7.045602471691147
41,7.983839038024236,5.609401978197827,6.905643947190946
42,7.1209738567332295,7.185090295913728,7.671475601083085
43,9.788114659282307,7.881256600217551,10.904657506602135
44,11.276172301500523,2.4428766789524516,4.97752410093522
45,3.3597056305866104,3.1469980892751224,4.283446895043497
46,7.9505906572955425,6.850730987915526,8.509029863943422
47,6.979530383803898,7.5436799290281655,8.621111227333522
48,7.320689928931685,7.874413657664274,6.955919872752226
49,7.052560221517691,7.936718104722907,7.804944119649164
50,5.380271144789766,6.997865497018907,5.9118996538812105
51,10.218197598895372,11.48361835359168,10.973180724075405
52,8.488636758909799,7.7156167364516435,8.112524945114469
53,11.285091618877388,12.718641122550004,14.180455062310152
54,8.068150220740204,7.561591013920804,9.07399247430888
55,10.162019452714247,9.010076863542771,10.809521817389012
56,2.4202768745990255,2.5525273949911913,3.461368498193295
57,0.28764488149705514,1.0847256319586265,0.9478712481979592
58,11.448551400782762,9.71511126719274,9.476324246621285
59,7.5977898116347795,8.418529624823808,8.529616141210251
60,5.703105386241255,1.6146863763617496,2.5129731398533792
61,6.3804470444544386,6.618211530288541,6.3474950274900515
62,5.23327882604465,4.754832225424003,6.642547923181354
63,6.544348498863801,6.4938144988806705,5.872639766160528
