ensemble_member,policy,drying_time_h
0,anchor_18C,192.0
0,wave1_A,192.0
0,wave1_B,162.0
1,anchor_18C,192.0
1,wave1_A,192.0
1,wave1_B,156.0
2,anchor_18C,204.0
2,wave1_A,204.0
2,wave1_B,174.0
3,anchor_18C,198.0
3,wave1_A,198.0
3,wave1_B,168.0
4,anchor_18C,192.0
4,wave1_A,192.0
4,wave1_B,162.0
5,anchor_18C,204.0
5,wave1_A,204.0
5,wave1_B,174.0
6,anchor_18C,192.0
6,wave1_A,192.0
6,wave1_B,168.0
7,anchor_18C,432.0
7,wave1_A,444.0
7,wave1_B,450.0
8,anchor_18C,204.0
8,wave1_A,198.0
8,wave1_B,168.0
9,anchor_18C,156.0
9,wave1_A,150.0
9,wave1_B,126.0
10,anchor_18C,204.0
10,wave1_A,198.0
10,wave1_B,168.0
11,anchor_18C,192.0
11,wave1_A,192.0
11,wave1_B,162.0
12,anchor_18C,204.0
12,wave1_A,198.0
12,wave1_B,168.0
13,anchor_18C,186.0
13,wave1_A,186.0
13,wave1_B,156.0
14,anchor_18C,186.0
14,wave1_A,186.0
14,wave1_B,156.0
15,anchor_18C,198.0
15,wave1_A,198.0
15,wave1_B,168.0
16,anchor_18C,216.0
16,wave1_A,210.0
16,wave1_B,174.0
17,anchor_18C,186.0
17,wave1_A,186.0
17,wave1_B,156.0
18,anchor_18C,192.0
18,wave1_A,192.0
18,wave1_B,162.0
19,anchor_18C,216.0
19,wave1_A,210.0
19,wave1_B,180.0
20,anchor_18C,210.0
20,wave1_A,204.0
20,wave1_B,174.0
21,anchor_18C,204.0
21,wave1_A,204.0
21,wave1_B,174.0
22,anchor_18C,192.0
22,wave1_A,192.0
22,wave1_B,162.0
23,anchor_18C,192.0
23,wave1_A,192.0
23,wave1_B,156.0
24,anchor_18C,186.0
24,wave1_A,186.0
24,wave1_B,156.0
25,anchor_18C,198.0
25,wave1_A,192.0
25,wave1_B,162.0
26,anchor_18C,186.0
26,wave1_A,186.0
26,wave1_B,156.0
27,anchor_18C,192.0
27,wave1_A,186.0
27,wave1_B,162.0
28,anchor_18C,186.0
28,wave1_A,186.0
28,wave1_B,156.0
29,anchor_18C,198.0
29,wave1_A,198.0
29,wave1_B,162.0
30,anchor_18C,198.0
30,wave1_A,198.0
30,wave1_B,168.0
31,anchor_18C,198.0
31,wave1_A,198.0
31,wave1_B,174.0
32,anchor_18C,186.0
32,wave1_A,186.0
32,wave1_B,156.0
33,anchor_18C,198.0
33,wave1_A,198.0
33,wave1_B,162.0
34,anchor_18C,192.0
34,wave1_A,186.0
34,wave1_B,156.0
35,anchor_18C,198.0
35,wave1_A,192.0
35,wave1_B,162.0
36,anchor_18C,192.0
36,wave1_A,186.0
36,wave1_B,162.0
37,anchor_18C,204.0
37,wave1_A,204.0
37,wave1_B,168.0
38,anchor_18C,192.0
38,wave1_A,186.0
38,wave1_B,162.0
39,anchor_18C,198.0
39,wave1_A,192.0
39,wave1_B,162.0
40,anchor_18C,198.0
40,wave1_A,192.0
40,wave1_B,168.0
41,anchor_18C,198.0
41,wave1_A,204.0
41,wave1_B,168.0
42,anchor_18C,192.0
42,wave1_A,192.0
42,wave1_B,162.0
43,anchor_18C,192.0
43,wave1_A,186.0
43,wave1_B,156.0
44,anchor_18C,204.0
44,wave1_A,198.0
44,wave1_B,168.0
45,anchor_18C,186.0
45,wave1_A,186.0
45,wave1_B,156.0
46,anchor_18C,204.0
46,wave1_A,198.0
46,wave1_B,168.0
47,anchor_18C,198.0
47,wave1_A,198.0
47,wave1_B,168.0
48,anchor_18C,186.0
48,wave1_A,186.0
48,wave1_B,156.0
49,anchor_18C,198.0
49,wave1_A,192.0
49,wave1_B,168.0
50,anchor_18C,204.0
50,wave1_A,204.0
50,wave1_B,174.0
51,anchor_18C,204.0
51,wave1_A,204.0
51,wave1_B,174.0
52,anchor_18C,198.0
52,wave1_A,198.0
52,wave1_B,168.0
53,anchor_18C,192.0
53,wave1_A,192.0
53,wave1_B,162.0
54,anchor_18C,204.0
54,wave1_A,204.0
54,wave1_B,174.0
55,anchor_18C,192.0
55,wave1_A,186.0
55,wave1_B,156.0
56,anchor_18C,210.0
56,wave1_A,204.0
56,wave1_B,174.0
57,anchor_18C,204.0
57,wave1_A,204.0
57,wave1_B,174.0
58,anchor_18C,180.0
58,wave1_A,180.0
58,wave1_B,150.0
59,anchor_18C,198.0
59,wave1_A,198.0
59,wave1_B,168.0
60,anchor_18C,186.0
60,wave1_A,186.0
60,wave1_B,156.0
61,anchor_18C,198.0
61,wave1_A,192.0
61,wave1_B,168.0
62,anchor_18C,204.0
62,wave1_A,198.0
62,wave1_B,168.0
63,anchor_18C,204.0
63,wave1_A,204.0
63,wave1_B,168.0
