,mu0,qN,betaG0,betaF0,qEG,qEF,qXG,qXF,iG
mu0,45420.84502079585,-38958.31450814553,32961.645324851255,20413.136693169516,-13887.793050293934,-2485.9557779486668,-332.1910654673986,-119.50890521113323,-7221.920168902167
qN,-38958.31450814553,35185.6246057716,-27820.74657433799,-17269.439181206963,11527.415696276501,1408.2658851671883,278.0957478443304,82.66582887556255,6333.607692688185
betaG0,32961.645324851255,-27820.74657433799,51865.0250110154,35352.33753425495,-38258.66989467753,-20433.227190120837,-900.2165924872925,-640.9938883194277,-5536.582002696771
betaF0,20413.136693169516,-17269.439181206963,35352.33753425495,24667.405853347198,-27076.863105055734,-15228.692538997506,-628.6676393371334,-468.5035863892414,-3382.636565715501
qEG,-13887.793050293934,11527.415696276501,-38258.66989467753,-27076.863105055734,34006.94671813039,18903.37932564019,799.1274146877967,565.7098012599935,2667.788997694792
qEF,-2485.9557779486668,1408.2658851671883,-20433.227190120837,-15228.692538997506,18903.37932564019,14192.00344603169,435.93178631459205,433.7221965105379,136.71221629443676
qXG,-332.1910654673986,278.0957478443304,-900.2165924872925,-628.6676393371334,799.1274146877967,435.93178631459205,19.700460888093474,13.57130678796837,63.552462306053414
qXF,-119.50890521113323,82.66582887556255,-640.9938883194277,-468.5035863892414,565.7098012599935,433.7221965105379,13.57130678796837,15.686974947760222,1.825400752657461
iG,-7221.920168902167,6333.607692688185,-5536.582002696771,-3382.636565715501,2667.788997694792,136.71221629443676,63.552462306053414,1.825400752657461,1309.581932596553
