,mu0,qN,betaG0,betaF0,qEG,qEF,iG
mu0,45339.53196930801,-38704.420959484574,32960.35778195635,20740.42166750459,-14128.433108472444,-2565.211399811668,-7016.188082696494
qN,-38704.420959484574,34866.00423784224,-27283.18142011149,-17154.30861485324,11248.401051054369,1175.906814016301,6122.615537149863
betaG0,32960.35778195635,-27283.18142011149,51236.156267044134,35393.58208456594,-37830.91682344901,-20191.155614989504,-5396.109364926695
betaF0,20740.42166750459,-17154.30861485324,35393.58208456594,25008.31953136967,-27101.462915086966,-15245.81285633816,-3347.1184002844166
qEG,-14128.433108472444,11248.401051054369,-37830.91682344901,-27101.462915086966,33603.67450724356,18651.954345355567,2636.7346424808093
qEF,-2565.211399811668,1175.906814016301,-20191.155614989504,-15245.81285633816,18651.954345355567,14130.85530729419,149.60712971477741
iG,-7016.188082696494,6122.615537149863,-5396.109364926695,-3347.1184002844166,2636.7346424808093,149.60712971477741,1237.041731200733
