direction,fim_eigenvalue,relative_eigenvalue,dominant_parameters,dominant_loadings,dominant_abs_loadings
1,0.4145847134173056,2.7009277387583773e-06,"qXF, qXG, iG, qEF, betaG0","-0.806, +0.554, -0.197, -0.039, -0.037","0.806, 0.554, 0.197, 0.039, 0.037"
2,0.7870504172289979,5.127459442903862e-06,"qXG, qXF, iG, betaG0, qEF","+0.831, +0.528, +0.166, +0.043, +0.029","0.831, 0.528, 0.166, 0.043, 0.029"
3,19.97176160344836,0.00013011161087439052,"iG, qEF, qXF, betaF0, betaG0","+0.855, +0.347, -0.259, +0.224, +0.152","0.855, 0.347, 0.259, 0.224, 0.152"
4,153.5108139981283,0.0010000890102997595,"betaF0, iG, qEF, qEG, betaG0","-0.836, +0.312, -0.279, -0.255, +0.176","0.836, 0.312, 0.279, 0.255, 0.176"
5,318.8362617536407,0.00207714774718582,"betaG0, qEG, mu0, qEF, iG","-0.737, -0.439, +0.358, -0.231, +0.225","0.737, 0.439, 0.358, 0.231, 0.225"
6,1001.6552336470281,0.006525562370425868,"qN, mu0, betaG0, qEF, betaF0","+0.761, +0.579, +0.184, +0.180, -0.110","0.761, 0.579, 0.184, 0.180, 0.110"
7,2271.35572922959,0.014797380354660912,"qEF, qEG, iG, mu0, betaF0","+0.726, -0.619, -0.187, -0.167, -0.138","0.726, 0.619, 0.187, 0.167, 0.138"
8,49419.13741747159,0.32195475317008987,"mu0, qN, qEG, qEF, betaG0","+0.552, -0.504, +0.448, +0.387, -0.204","0.552, 0.504, 0.448, 0.387, 0.204"
9,153497.15117069037,1.0,"betaG0, mu0, qEG, betaF0, qN","-0.568, -0.441, +0.388, -0.383, +0.379","0.568, 0.441, 0.388, 0.383, 0.379"
