candidate,n_estimated,direct_WSSE_total,AIC_like,BIC_like,n_active_bounds,solve_ok
plus_qx_iG_unregularized,9,5972.547411621428,11963.094823242856,11995.998749540235,2,True
plus_qx_unregularized,8,5983.45484334653,11982.90968669306,12012.157621179618,2,True
plus_qx_iG_logL2_10,9,5992.323835014267,12002.647670028535,12035.551596325913,0,True
plus_iG_unregularized,7,6001.98278070728,12017.96556141456,12043.557504090299,0,True
plus_iG_logL2_50,7,6005.058199919435,12024.11639983887,12049.708342514608,0,True
plus_qx_iG_logL2_50,9,6002.101747040763,12022.203494081527,12055.107420378905,0,True
plus_qx_iG_pso_pilot_logL2_50,9,6002.10466303318,12022.20932606636,12055.113252363739,0,True
reduced6_local,6,6010.753438980621,12033.506877961241,12055.44282882616,0,True
plus_qx_logL2_50,8,6008.087405938904,12032.174811877809,12061.422746364367,0,True
plus_qx_iG_logL2_100,9,6005.283058791395,12028.56611758279,12061.470043880168,0,True
