workflow,source_file,analysis,parameter,theta,std_log_approx,approx_95_multiplier,fim_diag,active_bound,classification,group,campaign_var_ratio,campaign_var_reduction,design,n_directions,min_relative_eigenvalue,condition_number,numeric_rank,effective_rank
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,synthetic_current,sF,0.03,0.238079275818063,1.5946198680698134,499.3873681188773,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,synthetic_current,qEG,1.1246568052304768,0.0684747704332897,1.14363358640497,32721.90351143291,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,synthetic_current,qEF,0.7350908181954096,0.1352591271629843,1.3035716095413186,26904.15598273095,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,synthetic_current,iG,0.003092913831806,0.5049668714369205,2.6905215727012024,474.11960851168993,False,moderate,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,synthetic_current,iE,0.0141443220577377,0.1060066919934649,1.2309338590450232,5471.066007984253,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,synthetic_current,Kd0,0.0009086163011163,0.0386537414771912,1.0787050924425878,1184.182403423848,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,synthetic_current,m0,0.01,3.9227989382900894,2183.5033759620924,17.903991218479064,False,weak_or_confounded,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,synthetic_current,gammaG0,0.0711298228056842,0.0595076257306615,1.1237091407752513,14799.420803805478,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,synthetic_current,gammaF0,0.0002221846469871,21.297199270063647,1.0576541811633427e+17,0.1819264912230684,False,weak_or_confounded,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,mu0,0.0737460240011237,0.0223142338702682,1.044706409802005,64605.07144056528,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,sN,18.0,0.7781087213632814,4.5955713689265485,13.365332446342912,False,weak_or_confounded,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,qN,0.0173736734976905,0.0224830444100317,1.0450521276001918,41859.94541784046,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,qXG,0.1124999999999999,0.4672415023275248,2.498756840910892,41.62359789837965,False,moderate,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,qXF,0.1124999999999999,0.4872962846326653,2.5989323286925323,54.07828703651984,False,moderate,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,betaG0,0.4060097401014331,0.0501721881446881,1.1033350854752,20332.26700420473,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,sG,0.03,0.105160105157918,1.2288930515746217,1242.4697702877295,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,betaF0,0.2880993115446318,0.1101985657441293,1.2410889613397589,13965.928285434697,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,sF,0.03,0.1576771148448932,1.3621265865783494,875.788562412544,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,qEG,0.941025163632023,0.0302216498063215,1.0610239512721822,53027.515955901166,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,qEF,0.6369928419419247,0.0846681726336912,1.1805136240149785,43477.72633861107,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,iG,0.0030560552394665,0.2677536297279092,1.6901159131855334,697.4369709203461,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,iE,0.0058981450411628,0.10922072590458,1.238712610271684,2926.394419614877,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,Kd0,0.0008888928209949,0.044230107909869,1.090559657263916,681.671446606994,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,m0,0.01,2.666143644754197,185.98044684876405,20.42412430313541,False,weak_or_confounded,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,gammaG0,0.0607084211581074,0.042950923199939,1.087828828675797,24258.722611192657,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_reducedprior,gammaF0,0.0001584681954515,14.749455545844317,3589136893390.316,0.2032723787932722,False,weak_or_confounded,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_full_l2,mu0,0.0614430033144078,0.0170081797975781,1.0338979040725411,68030.92087751256,False,well_estimated,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_full_l2,sN,22.822304600584857,0.8221358490556514,5.0097512549273056,9.30465608787114,False,weak_or_confounded,,,,,,,,,
new_must_estimability,fermentation_model/results/new_must_glycerol_estimability_doe/parameter_estimability_summary.csv,mixed_current_full_l2,qN,0.0140776194649712,0.0172733797024908,1.034435455434502,39646.379731711575,False,well_estimated,,,,,,,,,
