workflow,source_file,fit,n_batches,mediums,parameters,n_parameters,success,status,message,nfev,initial_wsse,final_wsse,n_residuals,dof,wsse_per_residual,wsse_per_dof,l2_lambda,l2_parameters,fit_label,n_parameters_fit
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,36.0,481.60580026361873,108.75414350614936,52,,2.0914258366567187,,,,batch_v2_all_o2free_historical_vl3_25170,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,17.0,362.3751919394556,196.64814160998725,52,,3.781695030961293,,,,batch_v2_reduced_o2fixed_historical_vl3_25171,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,58.0,362.3751919394556,183.69508920941075,52,,3.5325978694117453,,,,batch_v2_all_o2free_historical_vl3_25171,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,22.0,177.62646591496488,25.35292646762884,26,,0.9751125564472628,,,,batch_v2_reduced_o2fixed_natural_LAB004,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,49.0,177.62646591496488,22.9799135844607,26,,0.8838428301715654,,,,batch_v2_all_o2free_natural_LAB004,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,19.0,139.71420700260788,27.849251324224543,26,,1.0711250509317132,,,,batch_v2_reduced_o2fixed_natural_LAB005,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,63.0,139.71420700260788,19.442360454522145,26,,0.7477830944046979,,,,batch_v2_all_o2free_natural_LAB005,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,20.0,532.4837234954603,207.79301696238264,30,,6.926433898746088,,,,batch_v2_reduced_o2fixed_natural_LAB006,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,23.0,532.4837234954603,91.77006962913693,30,,3.059002320971231,,,,batch_v2_all_o2free_natural_LAB006,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,19.0,577.1074080031151,141.88780848794391,50,,2.8377561697588782,,,,batch_v2_reduced_o2fixed_natural_LAB007,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,26.0,577.1074080031151,124.24775158850336,50,,2.484955031770067,,,,batch_v2_all_o2free_natural_LAB007,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,19.0,550.5771088082952,119.84221078686836,50,,2.396844215737367,,,,batch_v2_reduced_o2fixed_natural_LAB008,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,27.0,550.5771088082952,99.62851409527758,50,,1.9925702819055515,,,,batch_v2_all_o2free_natural_LAB008,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,13.0,507.5588097602509,176.78798684390222,46,,3.843217105302222,,,,batch_v2_reduced_o2fixed_natural_LAB009,7.0
