Index,policy,species,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,maximum_capture_interval_policy,within_approved_duration,captured_mass_mean_ug,captured_mass_min_ug,captured_mass_max_ug,cumulative_mass_start_mean_ug,cumulative_mass_end_mean_ug,mass_conservation_max_abs_error_ug,maximum_trap_loading,maximum_trap_loading_policy,trap_loading_constraint_satisfied,vessel_change_required,notice,authorized_for_physical_execution,logical_profile,tank,capture_train,nozzle,start_local,end_local,continuity_required,mix_label
0,anchor_18C,ethyl_acetate,1,0.0,26.0,26.0,0.0,-40.0,,unbounded_by_hardware,True,132.32850764844676,0.035745997144853,1508.0848206320986,0.0,132.32850764844676,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,TRAIN_33,NOZZLE_33,2026-07-20T15:00:00-04:00,2026-07-21T17:00:00-04:00,True,MIX_01
1,anchor_18C,ethyl_acetate,2,26.0,42.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,1075.1338439015276,0.107404610743675,15484.989456288771,132.32850764844676,1207.4623515499743,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,TRAIN_33,NOZZLE_33,2026-07-21T17:00:00-04:00,2026-07-22T09:00:00-04:00,True,MIX_02
2,anchor_18C,ethyl_acetate,3,42.0,50.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1188.1780605344352,0.1357241021160007,16165.572379728794,1207.4623515499743,2395.640412084409,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,TRAIN_33,NOZZLE_33,2026-07-22T09:00:00-04:00,2026-07-22T17:00:00-04:00,True,MIX_03
3,anchor_18C,ethyl_acetate,4,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,3279.2722995813133,0.7955717151652699,42048.33509515325,2395.640412084409,5674.912711665724,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,TRAIN_33,NOZZLE_33,2026-07-22T17:00:00-04:00,2026-07-23T09:00:00-04:00,True,MIX_04
4,anchor_18C,ethyl_acetate,5,66.0,74.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1699.3413321747394,0.6707466577851449,20614.644666966604,5674.912711665724,7374.254043840462,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,TRAIN_33,NOZZLE_33,2026-07-23T09:00:00-04:00,2026-07-23T17:00:00-04:00,True,MIX_05
5,anchor_18C,ethyl_acetate,6,74.0,90.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,3322.486277309964,1.4303423113257168,40249.99457141216,7374.254043840462,10696.740321150426,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,TRAIN_33,NOZZLE_33,2026-07-23T17:00:00-04:00,2026-07-24T09:00:00-04:00,True,MIX_06
6,anchor_18C,ethyl_acetate,7,90.0,98.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1553.3025958675696,0.7066331697772061,19708.081484278213,10696.740321150426,12250.042917017994,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,TRAIN_33,NOZZLE_33,2026-07-24T09:00:00-04:00,2026-07-24T17:00:00-04:00,True,MIX_07
7,anchor_18C,ethyl_acetate,8,98.0,162.0,64.0,0.0,-40.0,,unbounded_by_hardware,True,7711.585476752048,3.70085152322838,102333.64392253754,12250.042917017994,19961.628393770043,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,TRAIN_33,NOZZLE_33,2026-07-24T17:00:00-04:00,2026-07-27T09:00:00-04:00,True,MIX_08
8,anchor_18C,ethyl_acetate,9,162.0,170.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,456.895903704651,0.2147776881891054,5995.066469194979,19961.628393770043,20418.52429747469,3.637978807091713e-12,,not_applicable_for_sampling_nozzle,True,False,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,TRAIN_33,NOZZLE_33,2026-07-27T09:00:00-04:00,2026-07-27T17:00:00-04:00,True,MIX_09
9,anchor_18C,ethyl_octanoate,1,0.0,26.0,26.0,0.0,-40.0,,unbounded_by_hardware,True,0.1067623890586896,0.0240772603155781,0.7489843254138835,0.0,0.1067623890586896,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,TRAIN_33,NOZZLE_33,2026-07-20T15:00:00-04:00,2026-07-21T17:00:00-04:00,True,MIX_01
