fit_label,medium,batch,state,n_obs,wsse,wsse_per_obs,rmse,mae,obs_median,obs_range
global_v2_reduced_o2fixed,historical_vl3,25026,Pyr,11,123.34343218885243,11.213039289895676,20.091525935982173,16.368785909785853,33.0,43.0
global_v2_reduced_o2fixed,historical_vl3,25027,Pyr,13,260.45471479022814,20.03497806078678,26.85626947638715,24.5775375684956,36.0,36.0
global_v2_reduced_o2fixed,historical_vl3,25085,Pyr,17,75.89239610979682,4.464258594693931,12.677275314868787,10.637158751224845,55.0,49.0
global_v2_reduced_o2fixed,historical_vl3,25085,AcAld,17,77.62868075484629,4.566392985579193,17.0952961681589,15.372692063780839,178.0,82.0
global_v2_reduced_o2fixed,historical_vl3,25086,Pyr,17,133.63607053334016,7.860945325490597,16.822426451545613,14.402600680613784,58.0,49.0
global_v2_reduced_o2fixed,historical_vl3,25086,AcAld,17,108.69350798228524,6.3937357636638374,20.22866997294893,18.30853308603823,184.0,39.0
global_v2_reduced_o2fixed,historical_vl3,25150,Pyr,13,98.54710539495755,7.580546568842889,16.519675435018208,11.972429085584658,58.0,55.0
global_v2_reduced_o2fixed,historical_vl3,25150,AcAld,14,360.1255623138854,25.723254450991814,40.57447824511704,36.702684362021216,193.5,59.0
global_v2_reduced_o2fixed,historical_vl3,25151,Pyr,13,107.86137595233308,8.297028919410236,17.282738240764065,13.835453714318835,62.0,55.0
global_v2_reduced_o2fixed,historical_vl3,25151,AcAld,14,312.9830707194231,22.355933622815936,37.82564939112374,34.39320387253406,193.5,59.0
global_v2_reduced_o2fixed,historical_vl3,25170,Pyr,26,59.74251263653896,2.297788947559191,9.095075706783911,7.437658415237687,30.5,41.0
global_v2_reduced_o2fixed,historical_vl3,25170,AcAld,26,421.86328762707967,16.225511062579987,32.224722000431896,27.205562503633267,226.5,108.0
global_v2_reduced_o2fixed,historical_vl3,25171,Pyr,26,154.88410881442405,5.957081108247079,14.644279425662939,11.095481684562166,36.0,57.0
global_v2_reduced_o2fixed,historical_vl3,25171,AcAld,26,207.4910831250316,7.980426274039677,22.599718616357578,17.477638600341717,221.0,120.0
global_v2_reduced_o2fixed,natural,LAB004,Pyr,13,125.04781296265244,9.61906253558865,18.608768129061936,15.671840745941488,30.0,41.0
global_v2_reduced_o2fixed,natural,LAB004,AcAld,13,52.57865295231231,4.044511765562485,16.088777237440983,13.296201361876587,109.0,83.0
global_v2_reduced_o2fixed,natural,LAB005,Pyr,13,91.08227435173929,7.0063287962876375,15.881682425560427,13.610763517340615,22.0,47.0
global_v2_reduced_o2fixed,natural,LAB005,AcAld,13,48.63193265086853,3.740917896220656,15.473162099523226,11.725936239310858,115.0,89.0
global_v2_reduced_o2fixed,natural,LAB006,Pyr,15,274.1727558327718,18.27818372218479,25.651795531670924,21.297952657780286,21.0,35.0
global_v2_reduced_o2fixed,natural,LAB006,AcAld,15,258.3109676626882,17.220731177512548,33.19829506707841,29.34473758209758,119.0,92.0
global_v2_reduced_o2fixed,natural,LAB007,Pyr,13,50.5938794327375,3.8918368794413465,11.836643428771877,8.556451292565255,20.0,60.0
global_v2_reduced_o2fixed,natural,LAB007,AcAld,13,296.99394230637785,22.845687869721374,38.23773036755931,28.73096638762218,101.0,123.0
global_v2_reduced_o2fixed,natural,LAB007,Acetate,13,206.56804187819256,15.889849375245582,0.13951725873409296,0.11835470836465548,0.3,0.33999999999999997
global_v2_reduced_o2fixed,natural,LAB007,O2,11,22.95154438580714,2.0865040350733763,0.28889472373675334,0.2287901779940377,0.63,1.0799999999999998
global_v2_reduced_o2fixed,natural,LAB008,Pyr,13,42.04662504576145,3.234355772750881,10.790588854137281,8.001072220497708,21.0,42.0
global_v2_reduced_o2fixed,natural,LAB008,AcAld,13,300.40507710681635,23.108082854370487,38.4566938604934,28.18004250455828,94.0,127.0
global_v2_reduced_o2fixed,natural,LAB008,Acetate,13,178.29712637926963,13.715163567636125,0.12961896223297828,0.11094207845678367,0.31,0.28
global_v2_reduced_o2fixed,natural,LAB008,O2,11,29.828280276447728,2.7116618433134296,0.3293424869835916,0.2921660190351865,0.74,1.06
global_v2_reduced_o2fixed,natural,LAB009,Pyr,12,40.60084056947497,3.3834033807895807,11.03641797452529,9.602808982880203,29.5,40.0
global_v2_reduced_o2fixed,natural,LAB009,AcAld,12,241.18797365626028,20.098997804688356,35.865524665060384,26.8949289377628,93.0,123.0
global_v2_reduced_o2fixed,natural,LAB009,Acetate,12,180.42044725604373,15.035037271336977,0.13571264000596187,0.11225632716915544,0.32,0.31999999999999995
global_v2_reduced_o2fixed,natural,LAB009,O2,10,45.34954827847194,4.534954827847194,0.4259086675730934,0.37932598593025585,0.585,1.3499999999999999
global_v2_reduced_o2fixed,natural,LAB010,Pyr,4,26.127713062443522,6.531928265610881,15.334582405856107,13.081338201837982,33.0,40.0
global_v2_reduced_o2fixed,natural,LAB010,Acetate,4,57.98314058359747,14.495785145899367,0.13325665763378103,0.10730410714872274,0.34,0.28
global_v2_reduced_o2fixed,natural,LAB011,Pyr,4,22.13033652738927,5.532584131847318,14.112867488448385,9.294544090709163,16.5,40.0
global_v2_reduced_o2fixed,natural,LAB011,Acetate,4,35.54245986464902,8.885614966162255,0.10433062030654647,0.06952120744505899,0.21500000000000002,0.23999999999999996
global_v2_reduced_o2fixed,natural,LAB012,Pyr,4,2.4514869186968724,0.6128717296742181,4.697167472878932,3.7422395737431025,33.5,43.0
global_v2_reduced_o2fixed,natural,LAB012,Acetate,4,18.305151086304004,4.576287771576001,0.07487290912059316,0.05319732456347149,0.255,0.24
global_v2_reduced_o2fixed,synthetic,MS007,Pyr,9,22.037486749056136,2.4486096387840153,9.388820319732641,6.935681654720034,38.0,76.0
global_v2_reduced_o2fixed,synthetic,MS008,Pyr,9,18.62273297415259,2.0691925526836212,8.63081293370505,6.1540877481864875,38.0,62.0
global_v2_reduced_o2fixed,synthetic,MS009,Pyr,9,81.10850468808724,9.012056076454137,18.01205204168445,13.89168531385637,22.0,64.0
global_v2_reduced_o2fixed,synthetic,MS010,Pyr,9,41.00917492693206,4.55657499188134,12.80768127756653,10.036941975592088,25.0,79.9999
global_v2_reduced_o2fixed,synthetic,MS011,Pyr,9,114.1413460189878,12.682371779887534,21.36739067073823,15.691089505606303,28.0,81.9999
global_v2_reduced_o2fixed,synthetic,MS012,Pyr,9,96.31815912834259,10.702017680926954,19.628363062501425,12.58095043302934,31.0,78.0
global_v2_reduced_o2fixed,synthetic,MS013,Pyr,8,39.127885233973295,4.890985654246662,13.269343749895087,8.940090607246765,28.0,63.9999
global_v2_reduced_o2fixed,synthetic,MS014,Pyr,8,46.958879621411235,5.869859952676404,14.5366763153188,10.14406357655887,29.5,68.0
global_v2_reduced_o2fixed,synthetic,MS015,Pyr,8,30.556456046108323,3.8195570057635404,11.72621218499339,8.539741532696803,33.0,72.0
global_v2_reduced_o2fixed,synthetic,MS016,Pyr,8,113.4587783694885,14.182347296186062,22.595674423718766,13.739713673490316,33.5,87.0
medium_v2_reduced_o2fixed,historical_vl3,25026,Pyr,11,138.2746485541131,12.570422595828463,21.272875063089725,18.0500871164816,33.0,43.0
medium_v2_reduced_o2fixed,historical_vl3,25027,Pyr,13,180.6807101412569,13.898516164712069,22.368428240035875,20.37184639829298,36.0,36.0
medium_v2_reduced_o2fixed,historical_vl3,25085,Pyr,17,84.84281970859021,4.990754100505306,13.403997449201155,10.49350652167931,55.0,49.0
