design,n_directions,min_relative_eigenvalue,condition_number,numeric_rank,effective_rank
hybrid_current,21,1.2959749510012925e-05,77161.98520869427,21,2.8859108861089027
dopt_exchange_from_hybrid,21,1.174129828845161e-05,85169.45702534191,21,2.8887071057205356
