timestamp,T,SP,nutricion_activa,process,t_h
2026-07-06 12:40:00,20.6,17.0,0,F1,0.6666666666666666
2026-07-06 12:50:00,20.5,17.0,0,F1,0.8333333333333334
2026-07-06 13:00:00,17.1,17.0,0,F1,1.0
2026-07-06 13:10:00,16.7,17.0,0,F1,1.1666666666666667
2026-07-06 13:20:00,16.6,17.0,0,F1,1.3333333333333333
2026-07-06 13:30:00,16.6,17.0,0,F1,1.5
2026-07-06 13:40:00,16.7,17.0,0,F1,1.6666666666666667
2026-07-06 13:50:00,16.8,17.0,0,F1,1.8333333333333333
2026-07-06 14:00:00,16.8,17.0,0,F1,2.0
2026-07-06 14:10:00,16.9,17.0,0,F1,2.1666666666666665
2026-07-06 14:20:00,16.9,17.0,0,F1,2.3333333333333335
2026-07-06 14:30:00,17.2,17.0,0,F1,2.5
2026-07-06 14:40:00,17.2,17.0,0,F1,2.6666666666666665
2026-07-06 14:50:00,17.2,17.0,0,F1,2.8333333333333335
2026-07-06 15:00:00,17.2,17.0,0,F1,3.0
2026-07-06 15:10:00,17.3,17.0,0,F1,3.1666666666666665
2026-07-06 15:20:00,17.4,17.0,0,F1,3.3333333333333335
2026-07-06 15:30:00,17.4,17.0,0,F1,3.5
2026-07-06 15:40:00,16.7,17.0,0,F1,3.6666666666666665
2026-07-06 15:50:00,16.9,17.0,0,F1,3.8333333333333335
2026-07-06 16:00:00,17.2,17.0,0,F1,4.0
2026-07-06 16:10:00,16.8,17.0,0,F1,4.166666666666667
2026-07-06 16:20:00,16.9,17.0,0,F1,4.333333333333333
2026-07-06 16:30:00,17.3,17.0,0,F1,4.5
2026-07-06 16:40:00,16.8,17.0,0,F1,4.666666666666667
2026-07-06 16:50:00,16.9,17.0,0,F1,4.833333333333333
2026-07-06 17:00:00,17.2,17.0,0,F1,5.0
2026-07-06 17:10:00,16.8,17.0,0,F1,5.166666666666667
2026-07-06 17:20:00,16.6,17.0,0,F1,5.333333333333333
2026-07-06 17:30:00,17.4,17.0,0,F1,5.5
