system,medium,scale,batch,source_file,sample_id,fecha_hora,time_h,temperature_c,density,X_viable_mcells_ml,X_viable_kg_m3,X_dry_weight_g_l,G_g_l,F_g_l,S_GF_g_l,PAN_mg_l,NH4_mg_l,YAN_mg_l,N_kg_m3,PAN_kg_m3,NH4_kg_m3,N_pulse_mg_l,N_pulse_kg_m3,glycerol_g_l,pyruvic_acid_mg_l,pyruvic_acid_2_mg_l,acetaldehyde_mg_l,acetic_acid_g_l,E_g_l,E_percent_vv,E_unit_assumption,benzyl_alcohol_total,benzaldehyde_total,ethyl_decanoate_total,hexyl_acetate_total,isoamyl_acetate_total,ethyl_octanoate_total,phenylethyl_acetate_total,ethyl_acetate_total,benzyl_alcohol_condensate,benzaldehyde_condensate,ethyl_decanoate_condensate,hexyl_acetate_condensate,isoamyl_acetate_condensate,ethyl_octanoate_condensate,phenylethyl_acetate_condensate,ethyl_acetate_condensate
pilot_2025,natural,pilot,25026,Calibration_data_vl3.xlsx,ING25-SB003-0 (25026),2025-03-13 21:00:00,0.0,18.5,1066.0,15.9,0.477,0.1464,74.99,72.96,147.95,93.0,75.0,154.5,0.1545,0.093,0.075,87.0,0.08700000000000001,2.35,31.0,,,,6.1542,0.7797628097916983,g_l,0.04191216091666667,0.00377283783,0.0016516516474999999,0.00423783485,0.16440079645416542,0.018882016741666667,0.0063562285291666664,1.774577304293678,,,,,,,,
pilot_2025,natural,pilot,25026,Calibration_data_vl3.xlsx,nan,2025-03-14 03:00:00,6.0,20.0,1065.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
pilot_2025,natural,pilot,25026,Calibration_data_vl3.xlsx,ING25-SB003-1  (25026),2025-03-14 09:00:00,12.0,21.0,1062.0,25.35,0.7605000000000001,0.0514,73.35,68.62,141.97,34.0,40.0,66.8,0.0668,0.034,0.04,0.0,0.0,2.59,45.0,,,,7.005165779646711,0.8875837235374171,g_l,,,,,,,,,,,,,,,,
pilot_2025,natural,pilot,25026,Calibration_data_vl3.xlsx,nan,2025-03-14 15:00:00,18.0,22.0,1058.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
pilot_2025,natural,pilot,25026,Calibration_data_vl3.xlsx,nan,2025-03-14 21:00:00,24.0,21.0,1056.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
pilot_2025,natural,pilot,25026,Calibration_data_vl3.xlsx,nan,2025-03-15 03:00:00,30.0,20.0,1050.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
pilot_2025,natural,pilot,25026,Calibration_data_vl3.xlsx,ING25-SB003-2 (25026),2025-03-15 09:00:00,36.0,20.0,1042.0,41.01,1.2303,0.1783,39.13,62.13,101.26,12.0,2.0,13.64,0.013640000000000001,0.012,0.002,0.0,0.0,4.25,57.0,,,,34.51994580845067,4.373821120121974,g_l,0.03618623020416667,0.0037272832091666667,0.0208948103375,0.30879171295833335,4.3308829963106,0.09547981808333335,0.16382296620833334,7.783209118560181,0.002749992022448067,0.0009930751718401523,0.0,0.02527105441040507,0.1306918289301198,0.0036339454184960034,0.0,0.0
pilot_2025,natural,pilot,25026,Calibration_data_vl3.xlsx,ING25-SB003-3 (25026),2025-03-15 15:00:00,42.0,21.0,1036.0,56.3,1.6889999999999998,0.117,33.73,58.29,92.02,23.0,41.0,56.62,0.05662,0.023,0.041,100.0,0.1,4.68,61.0,,,,39.97046956434848,5.064425214681019,g_l,,,,,,,,,,,,,,,,
pilot_2025,natural,pilot,25026,Calibration_data_vl3.xlsx,nan,2025-03-15 21:00:00,48.0,21.0,1034.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
pilot_2025,natural,pilot,25026,Calibration_data_vl3.xlsx,nan,2025-03-16 03:00:00,54.0,21.4,1027.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
