batch,n_rows,t_min_h,t_max_h,n_temperature_c,n_density,n_S_GF_g_l,n_X_viable_kg_m3,n_X_dry_weight_g_l,n_YAN_mg_l,n_PAN_mg_l,n_NH4_mg_l,n_glycerol_g_l,n_pyruvic_acid_mg_l,n_acetaldehyde_mg_l,n_acetic_acid_g_l,n_E_g_l,n_ethyl_acetate_total,n_ethyl_acetate_condensate,n_isoamyl_acetate_total,n_isoamyl_acetate_condensate,n_ethyl_octanoate_total,n_ethyl_octanoate_condensate
25026,24,0.0,138.0,24,24,11,11,10,11,11,11,11,11,0,0,11,5,4,5,4,5,4
25027,32,0.0,186.0,32,32,13,13,12,13,13,13,13,13,0,0,13,5,4,5,4,5,4
25085,35,0.0,216.0,35,34,17,17,17,17,17,17,17,17,17,0,17,5,4,5,4,5,4
25086,35,0.0,216.0,35,34,17,17,17,17,17,17,17,17,17,0,17,5,4,5,4,5,4
25150,30,0.0,174.0,30,30,14,14,14,14,14,14,14,13,14,0,14,6,5,6,5,6,5
25151,30,0.0,174.0,30,30,14,14,14,14,14,14,14,13,14,0,14,6,5,6,5,6,5
25170,63,0.0,372.0,63,63,26,23,26,24,24,24,26,26,26,0,26,11,10,11,10,11,10
25171,63,0.0,372.0,63,63,26,22,26,24,24,24,26,26,26,0,26,9,8,9,8,9,8
