parameter,estimate,log_estimate,lower_bound,upper_bound,active_bound,role
mu0,0.22784905200465308,-1.479071921892474,0.05000000000000001,1.0,False,kinetic
qN,0.08011747813862068,-2.524261244733063,0.0005000000000000001,1.0,False,kinetic
betaG0,8.88015925109284,2.183819490524898,0.10000000000000002,10.000000000000002,False,kinetic
betaF0,8.570934736416923,2.14837679742234,0.10000000000000002,10.000000000000002,False,kinetic
qEG,17.605845882268227,2.8682309992953128,0.010000000000000004,100.00000000000004,False,kinetic
qEF,18.90119208557289,2.939224993387294,0.010000000000000004,100.00000000000004,False,kinetic
gammaG0,1.012960653752262,0.012877383201504113,0.00010000000000000009,2.0,False,kinetic
gammaF0,0.27454297995299465,-1.2926474548684581,0.00010000000000000009,2.0,False,kinetic
yan_delivery_fraction,0.9768956118304386,-0.023375478266547726,0.884615,1.0,False,nuisance
oculyze_biomass_scale_kg_m3_per_million_cells_ml,0.04178452355701551,-3.1752292578429837,0.005000000000000002,0.07999999999999999,False,nuisance
