state,n,nominal_standardized_rmse,nominal_standardized_median,model_discrepancy_multiplier,nominal_absolute_floor,nominal_relative_fraction,effective_absolute_floor,effective_relative_fraction,postscale_standardized_rmse
E,126,6.084100132063373,-0.2133491542964192,6.084100132063373,2.0,0.025,12.168200264126746,0.15210250330158434,1.0
F,123,3.140991244803128,1.106079019507814,3.140991244803128,2.5,0.025,7.85247811200782,0.07852478112007821,1.0
G,121,3.3566833148485626,1.2229251584895735,3.3566833148485626,2.5,0.025,8.391708287121407,0.08391708287121408,1.0
Gly,121,1.4883635941478317,-0.0451110665680865,1.4883635941478317,0.35,0.05,0.5209272579517411,0.07441817970739159,1.0
N,121,4.241706628333266,-2.75,4.241706628333266,0.012,0.08,0.0509004795399992,0.3393365302666613,1.0
X,121,5.243642644342619,0.12848489895968157,5.243642644342619,0.06,0.08,0.3146185586605571,0.4194914115474095,1.0
Xd,121,5.598897662610983,-5.511303166553794,5.598897662610983,0.06,0.12,0.33593385975665896,0.6718677195133179,1.0
