iteration,best_objective
0,-4.427082267389347
1,-4.553405630399629
2,-4.70837038095922
3,-4.70837038095922
4,-4.70837038095922
5,-4.718665250830703
6,-4.789815521544346
7,-4.789815521544346
8,-4.809863535072355
9,-4.809863535072355
10,-4.809863535072355
11,-4.814384093965547
12,-4.916027892059978
