variable_index,value
0,25.0
1,18.913016982957824
2,15.0
3,17.50993628175781
4,24.615058387452287
5,15.893371711931094
6,15.0
7,15.595840371692123
8,25.0
9,25.0
10,20.53917482270102
11,21.931663923543507
12,17.693266937599645
13,20.43508528527584
14,11.9746808576271
15,2.0858243249837374
16,12.0
17,35.18816941797119
18,14.918800287097964
19,80.0
20,25.0
21,23.090334360213088
22,15.807517672012807
23,15.0
24,24.928166685631503
25,18.668292398909333
26,25.0
27,22.419937570354268
28,15.0
29,25.0
30,16.72271119677308
31,21.77744612736936
32,16.807505947816885
33,24.14759469160284
34,12.0
35,1.153814652588902
36,1.7305282004295857
37,53.62995765565843
38,49.77460813283357
39,45.345276502286936
