relative_path,size_bytes
A07_technical_report.md,21377
figures/fig_01_aroma_model_selection.png,99230
figures/fig_02_secondary_model_selection.png,63233
figures/fig_03_co2_model_selection.png,55723
figures/fig_04_final_fit_relative_rmse.png,79854
figures/fig_05_global_estimability_current.png,133776
figures/fig_06_global_estimability_after_campaign.png,133568
figures/fig_07_co2_estimability_current.png,46118
figures/fig_08_co2_estimability_after_campaign.png,47561
figures/fig_09_global_selected_campaign_inputs.png,118730
figures/fig_10_co2_o2_selected_campaign_inputs.png,124357
figures/fig_11_co2_data_curation_25170.png,69757
figures/fig_12_co2_data_curation_25171.png,59273
figures/fig_13_co2_benchmark_25170.png,179393
figures/fig_14_co2_benchmark_25171.png,165849
figures/fig_15_final_fit_representative_25170.png,425464
figures/fig_16_final_fit_representative_25171.png,402356
figures/fig_17_co2_o2_current_relative_eigenvalues.png,54762
figures/fig_18_co2_o2_after_campaign_relative_eigenvalues.png,56246
README_bundle.md,1159
source_snapshot/pilot_2025_co2_solubility_integrated_doe.ipynb,15281
source_snapshot/pilot_2025_data_loader.py,16543
source_snapshot/run_new_must_glycerol_estimability_doe.py,79602
source_snapshot/run_pilot_2025_aroma_model_selection_doe.py,69720
source_snapshot/run_pilot_2025_co2_solubility_integrated_doe.py,96844
source_snapshot/run_pilot_2025_co2_stripping_benchmark.py,29529
source_snapshot/run_pilot_2025_global_model_selection_doe.py,54510
source_snapshot/run_secondary_joint_campaign_doe.py,60953
source_snapshot/source_manifest.csv,2138
tables/01_aroma_model_selection.csv,4198
tables/02_secondary_model_selection.csv,1747
tables/03_co2_model_selection.csv,3183
tables/04_co2_selected_fit_multistart.csv,1230
tables/05_integrated_aroma_fit.csv,693
tables/06_final_fit_metrics.csv,3175
tables/07_global_parameter_estimability_current.csv,4188
tables/08_global_parameter_estimability_after_campaign.csv,4715
tables/09_co2_parameter_estimability_current.csv,344
tables/10_co2_parameter_estimability_after_campaign.csv,376
tables/11_selected_global_campaign.csv,11935
tables/12_selected_co2_campaign.csv,3315
tables/13_theta_selected_integrated.csv,1523
tables/14_co2_selected_parameters.csv,246
tables/15_target_parameters.json,556
tables/16_fim_metrics_summary.json,308
