parameter,estimate,lower_bound,upper_bound,active_bound,role
co2_yield,0.7722804196836783,0.10000000000000002,3.0000000000000004,False,physical
sensor_gain_TK31,1.1219237344961603,0.25,4.0,False,nuisance
sensor_gain_TK32,1.0412230879250663,0.25,4.0,False,nuisance
sensor_gain_TK33,0.8521515574481571,0.25,4.0,False,nuisance
co2_background_Ln_min,0.22163280820412057,1.0000000000000004e-06,1.5,False,nuisance
