,mu0,qN,betaG0,betaF0,qEG,qEF,gammaG0,gammaF0,yan_delivery_fraction,oculyze_biomass_scale_kg_m3_per_million_cells_ml
mu0,5.746897232898739e-05,2.829591359964381e-05,-0.00020355062209530554,0.0003750581425681828,-0.00012542489071104486,4.6064094569964034e-05,-6.807666670124416e-06,-0.002769976068055129,-3.169461773998857e-05,-4.727757251889671e-05
qN,2.8295913599643782e-05,0.00019480028418842197,-0.00038863514735479527,0.00047291866817651863,-0.00027689190509637136,0.00043533491980615426,0.00010548134050031046,-0.009944488813644067,-2.6003742567582434e-05,-7.442462540343071e-05
betaG0,-0.00020355062209530492,-0.00038863514735479554,0.004587480244478467,-0.005324303484544668,0.000977272046068513,-0.0027886055070575583,-0.0002766146579904829,0.04501467994934456,0.0008816524803097167,1.0328194335414003e-05
betaF0,0.0003750581425681826,0.00047291866817652037,-0.005324303484544685,0.010332068181452539,-0.001966386154070389,0.0018957937083961712,-0.00011886134529786006,-0.05092483662634485,-0.0008573983281747983,-0.00011640339344299291
qEG,-0.00012542489071104492,-0.00027689190509637104,0.0009772720460685031,-0.0019663861540703815,0.003745107184071048,-0.002989502875823248,-0.00023953811908407262,0.06104704411093705,-0.000366421317977536,1.9600306616228872e-05
qEF,4.606409456996358e-05,0.0004353349198061548,-0.0027886055070575322,0.0018957937083961365,-0.0029895028758232713,0.008551198596661294,0.0019376494346885955,-0.09759675945502526,-0.00017856828134836777,0.00016156449084308154
gammaG0,-6.807666670125572e-06,0.00010548134050030908,-0.00027661465799046057,-0.00011886134529789827,-0.00023953811908406994,0.0019376494346885805,0.002915795617926729,-0.06863079422780823,0.0011129464979169668,4.935659002846076e-06
gammaF0,-0.0027699760680550776,-0.00994448881364396,0.04501467994934336,-0.05092483662634306,0.0610470441109367,-0.09759675945502379,-0.06863079422780798,4.161318163126624,-0.024319841162370723,0.0015498366399456242
yan_delivery_fraction,-3.169461773998885e-05,-2.60037425675832e-05,0.000881652480309724,-0.0008573983281748079,-0.00036642131797752953,-0.00017856828134838425,0.0011129464979169612,-0.024319841162370504,0.0008784642934754136,-1.6883366125611485e-05
oculyze_biomass_scale_kg_m3_per_million_cells_ml,-4.727757251889679e-05,-7.442462540343078e-05,1.0328194335416412e-05,-0.00011640339344299596,1.9600306616228117e-05,0.0001615644908430819,4.935659002846317e-06,0.0015498366399456134,-1.6883366125610814e-05,0.000151967258972348
