stage,start_index,seed,success,nfev,robust_objective,initial_wsse,final_wsse,message
provisional_unweighted,1,20260731,True,8,42266.44133849004,236245.52650016226,184190.69583857438,`ftol` termination condition is satisfied.
provisional_unweighted,3,20260907,True,7,42266.44133849005,252952.13811366374,184190.69584962455,`ftol` termination condition is satisfied.
provisional_unweighted,4,20261003,True,7,42266.441338490054,479937.8735560068,184190.69582377153,`ftol` termination condition is satisfied.
provisional_unweighted,0,20260716,True,9,42266.441338490535,232795.51298639903,184190.6960107959,`ftol` termination condition is satisfied.
provisional_unweighted,2,20260819,True,9,42266.44133875167,304913.39131204766,184190.69496637414,`ftol` termination condition is satisfied.
residual_ESS_weighted,3,20260907,True,7,5001.253432556708,10385.354156064328,8516.165093111947,`ftol` termination condition is satisfied.
residual_ESS_weighted,4,20261003,True,7,5001.2534325567685,13605.288473831006,8516.165082337588,`ftol` termination condition is satisfied.
residual_ESS_weighted,0,20260716,True,6,5001.253432558355,10180.268319849103,8516.165127570437,`ftol` termination condition is satisfied.
residual_ESS_weighted,1,20260731,True,6,5001.253432563106,12968.045575239554,8516.165166145656,`ftol` termination condition is satisfied.
residual_ESS_weighted,2,20260819,True,9,5001.253432584001,15195.756328002844,8516.16490818844,`ftol` termination condition is satisfied.
