experiment_id,state,n,rmse,mean_bias,weighted_rmse
26134,E,15,5.701103593969163,-4.935175934758275,2.7906715798504433
26134,F,14,7.198046357293473,6.576381136843535,2.8792185429173887
26134,G,14,6.880978780768558,5.611606120140251,2.752391512307423
26134,Gly,14,0.5988894921395196,-0.3721931473758963,1.711112834684342
26134,N,14,0.03874956131735988,-0.010318207308281535,3.1923171186788037
26134,X,14,0.44929477354899494,-0.15869308613954133,5.8552253454268035
26134,Xd,14,0.7903865320269298,-0.7341686230841512,5.874268383733647
26135,E,15,4.124663102980376,-0.9520077507418137,1.9863210292930296
26135,F,14,3.7192780699940684,1.6962019107856128,1.4877112279976275
26135,G,14,2.505984396340866,0.42906046423900646,1.0023937585363465
26135,Gly,14,0.28709324761336213,-0.08273746675736708,0.8202664217524632
26135,N,14,0.03647744699081388,-0.031791584271922066,3.0368652230357585
26135,X,14,0.28341100633501837,0.11710778321820417,4.6458966005128
26135,Xd,14,0.7482905390869882,-0.6895530178684852,5.606052703689662
26136,E,14,7.711578317076107,-7.047848071776198,3.790506408127232
26136,F,13,5.0043845222907954,3.81651627716445,2.001753808916318
26136,G,13,7.334218404145257,6.134831925922989,2.9336873616581025
26136,Gly,13,0.5988802477447608,-0.40293732707377833,1.7110864221278879
26136,N,13,0.030752990645977033,-0.016061454206856528,2.403751918469021
26136,X,13,0.25129647175304914,-0.03336772559617544,3.456352725387964
26136,Xd,13,0.7322593238552334,-0.692286170254878,5.424492149284507
26157,E,14,22.391999429133982,9.35136438289335,11.19046829123966
26157,F,14,7.766080564582376,-4.108586643330216,3.1064322258329504
26157,G,13,8.407556343857234,-4.7950137979852885,3.3630225375428937
26157,Gly,13,0.2966204532808971,0.1277532017824192,0.8474870093739917
26157,N,13,0.05313773725213756,-0.04497486541639048,4.136755095144698
26157,X,13,0.47002762988198127,0.07853471134703444,5.787634644058802
26157,Xd,13,0.5915443375445009,-0.5417403586852074,4.615222520547206
26158,E,14,21.890453021637388,7.7091867722784375,10.932980619442718
26158,F,14,7.585570102631085,-3.271546404875651,3.034228041052434
26158,G,13,7.937846186167632,-4.484176081808825,3.1751384744670523
26158,Gly,13,0.313517658258551,-0.13245650367313336,0.8957647378815744
26158,N,13,0.04925213887448271,-0.04299201648451764,3.9357237945201673
26158,X,13,0.43469519320966343,0.18343763080921555,5.807451995023586
26158,Xd,13,0.6044751119700235,-0.5670804385172377,4.833288736913883
26159,E,15,10.42488985542151,6.208300483064492,5.201832051355421
26159,F,15,11.723381763816791,-9.315490134412208,4.689352705526717
26159,G,15,13.217404935838909,-9.31599163775698,5.286961974335564
26159,Gly,15,0.5304523289395069,0.2511557672407832,1.5155780826843055
26159,N,15,0.0729950108206308,-0.06080358325192335,5.538215330537167
26159,X,15,0.47131604238578356,0.12541450405956436,6.014361485867373
26159,Xd,15,0.5826229133110666,-0.5133334116547345,4.529722715785112
26210,E,13,6.070218721741658,-2.4469053170494908,3.0189641519546644
26210,F,13,5.838812945723948,4.511788144004646,2.335525178289579
26210,G,13,6.0594908999950166,4.654960277205629,2.4237963599980064
26210,Gly,13,0.613168164351487,-0.10981503766752966,1.7519090410042486
26210,N,13,0.05638566201165821,-0.0046541578907491905,4.673887734800886
26210,X,13,0.41300043293914446,0.14037508528802203,6.702537998719434
26210,Xd,13,0.7849828498434803,-0.7016599585181221,6.344752011817601
26211,E,14,5.0397474571782785,-1.5820892917186409,2.515390852345217
26211,F,14,9.159646335724458,6.448518423660018,3.663858534289783
26211,G,14,8.38238313004993,5.7770915968995835,3.3529532520199714
26211,Gly,14,0.6070595316225235,-0.10296336489303515,1.7344558046357816
26211,N,14,0.05738881350447298,-0.006853164678327834,4.744816290172747
26211,X,14,0.43141137823060527,0.22637107175178667,7.116854226465245
26211,Xd,14,0.7964241868891677,-0.7123047552046515,6.447496395335738
26212,E,12,9.167238337263024,-8.007608418023056,4.562075778041401
26212,F,12,11.34994655065731,9.708165017254201,4.539978620262923
26212,G,12,12.197841074355022,9.862177041842234,4.879136429742009
26212,Gly,12,0.8617680953650686,-0.42322571817492866,2.4621945581859106
26212,N,12,0.07656410650209355,-0.0278837155399847,6.35181492639128
26212,X,12,0.35207414589618774,0.0956654026913174,5.714161848205037
26212,Xd,12,0.8189564813512854,-0.765012048576667,6.593606135032292
