Codigo,Cubada,DateTime,Horas,Brix,Densidad,Temperatura Medida,Temperatura,Adicion,AMMONIA,GLYCEROL,PAN,PYRUVIC_ACID,GLU-FRU-320,GLUCOSE-320,YAN,C_total,C_viable,Budding_Index,Viability,ETANOL
MS007-0,MS007,2025-10-06 12:00:00,0.0,23.7,1098.6,16.6,15,1,256.0,0.34,14.0,3.0,245.86,125.34,224.0,15.0,,,,0.0
MS007-1,MS007,2025-10-06 15:30:00,3.5,23.6,1098.5,16.2,15,1,244.0,0.44,87.0,5.0,234.5,119.63,287.0,23.77,11.1,10.5,46.69,
MS007-2,MS007,2025-10-07 10:30:00,22.5,23.3,1096.1,16.1,15,1,250.0,0.81,72.0,13.0,236.49,120.58,277.0,37.4,16.67,18.28,44.56,
MS007-3,MS007,2025-10-08 10:30:00,46.5,22.2,1091.8,16.1,15,1,296.0,1.74,93.0,42.0,219.58,109.59,335.0,49.31,23.27,16.82,47.2,
MS007-4,MS007,2025-10-09 10:00:00,70.0,20.3,1083.6,15.6,15,1,272.0,2.87,64.0,73.0,202.67,97.28,286.0,72.12,41.24,18.32,57.19,
MS007-5,MS007,2025-10-10 10:00:00,94.0,17.1,1068.9,15.8,15,1,199.0,4.34,51.0,79.0,170.59,74.03,214.0,75.27,47.93,15.51,63.67,3.87
MS007-6,MS007,2025-10-13 09:30:00,165.5,9.3,1035.5,18.1,15,1,109.0,6.3,42.0,55.0,94.87,30.35,131.0,75.96,53.84,10.72,70.88,8.44
MS007-7,MS007,2025-10-14 10:00:00,190.0,7.4,1028.2,16.2,15,1,91.0,6.3,43.0,38.0,76.47,20.42,117.0,67.97,43.93,10.06,64.63,
MS007-8,MS007,2025-10-15 09:00:00,213.0,5.6,1020.9,16.9,15,1,90.0,6.76,45.0,35.0,63.72,14.64,119.0,72.73,46.24,11.72,63.57,10.04
MS008-0,MS008,2025-10-06 12:00:00,0.0,23.4,1097.1,16.8,15,4,249.0,0.38,13.0,4.0,243.91,124.28,218.0,15.0,,,,0.0
MS008-1,MS008,2025-10-06 15:30:00,3.5,23.3,1097.1,16.1,15,4,245.0,,83.0,4.0,234.26,118.87,285.0,20.275,10.945,12.31,53.98,
MS008-2,MS008,2025-10-07 10:30:00,22.5,23.0,1094.9,16.5,15,4,249.0,0.79,69.0,12.0,235.19,118.47,272.0,38.1,9.33,18.35,48.99,
MS008-3,MS008,2025-10-08 10:30:00,46.5,22.0,1091.3,15.6,15,4,230.0,1.77,40.0,38.0,223.13,112.06,229.0,45.39,29.95,21.32,65.99,
MS008-4,MS008,2025-10-09 10:00:00,70.0,20.0,1082.0,15.8,15,4,175.0,3.09,23.0,66.0,198.26,93.06,166.0,54.76,37.02,20.06,67.6,
MS008-5,MS008,2025-10-10 10:00:00,94.0,17.0,1068.4,16.0,15,4,61.0,3.5,13.0,57.0,133.4,59.38,63.0,68.43,53.53,20.2,78.23,3.67
MS008-6,MS008,2025-10-13 09:30:00,165.5,8.0,1030.4,17.8,15,4,23.0,6.55,52.0,43.0,85.57,25.65,71.0,82.95,60.06,11.76,72.41,7.84
MS008-7,MS008,2025-10-14 10:00:00,190.0,5.9,1022.2,16.5,15,4,15.0,6.74,53.0,45.0,66.09,15.65,65.0,85.25,59.29,9.82,69.55,
MS008-8,MS008,2025-10-15 09:00:00,213.0,4.1,1014.7,16.7,15,4,10.0,6.91,51.0,26.0,52.06,9.99,60.0,78.73,54.92,8.88,69.76,10.64
MS009-0,MS009,2025-10-06 12:00:00,0.0,23.1,1095.4,18.8,23,1,263.0,0.38,21.0,1.0,235.08,120.89,236.0,15.0,,,,0.0
MS009-1,MS009,2025-10-06 15:30:00,3.5,23.0,1093.5,23.0,23,1,244.0,0.54,91.0,5.0,232.68,117.57,291.0,21.815,11.25,13.2,51.57,
MS009-2,MS009,2025-10-07 10:30:00,22.5,45797.0,1082.5,23.0,23,1,166.0,2.63,20.0,59.0,203.31,98.16,156.0,55.15,20.2,17.97,73.26,
