ensemble_member,primary_centre_index,primary_centre_stage,primary_centre_objective,primary__mu0,primary__qN,primary__betaG0,primary__betaF0,primary__qEG,primary__qEF,primary__gammaG0,primary__gammaF0,primary__oculyze_biomass_scale_kg_m3_per_million_cells_ml,aroma__ethyl_acetate__formation_growth_ug_per_g_sugar,aroma__ethyl_acetate__formation_stationary_ug_per_g_sugar,aroma__ethyl_acetate__effective_loss_scale,aroma__ethyl_octanoate__formation_growth_ug_per_g_sugar,aroma__ethyl_octanoate__formation_stationary_ug_per_g_sugar,aroma__ethyl_octanoate__effective_loss_scale,aroma__isoamyl_acetate__formation_growth_ug_per_g_sugar,aroma__isoamyl_acetate__formation_stationary_ug_per_g_sugar,aroma__isoamyl_acetate__effective_loss_scale
14,0,selected_basin_replication,4317.519495882091,0.23186827814028152,0.04444920879799938,0.5769997834760813,3.5433829267901062,1.9452775763331391,4.986524265960474,0.12445000856525057,0.013997473938321391,0.07426477059886707,1771.6862874959636,74.58815237753052,0.020198586981633064,0.045607617440906745,0.5511439857400353,0.0173336384223225,0.06350565750439392,6.9588544491108655,0.015621849013536547
15,2,selected_basin_replication,4498.1624203559695,0.24389862030789938,0.0443101345328472,0.47051709455029944,2.40746600995615,1.648004997178333,3.1582895286191754,0.10798787090468846,0.0067191784972339295,0.07167937070749679,1.815728863745026,73.94453053719357,0.48470029942738985,0.023815167482192562,0.6055350155579055,0.017119943941285926,0.39557741180517547,7.261161613960716,0.013445546886142521
16,2,selected_basin_replication,4498.1624203559695,0.24378777503805155,0.043947561159858185,0.6674647856561423,1.3210944376616167,1.9470793962737913,1.870028307745095,0.1309074626352227,0.0015088497265146085,0.07146014094633793,9.645068034786554,74.78308841970878,0.011270825218317765,0.8117396866063314,0.557373894624232,0.018917518434147077,3.5936276590722116,6.528507997978112,0.020942594398324563
17,1,selected_basin_replication,4410.331897253121,0.23766921525986384,0.04465235287143391,0.7864247875840563,2.487087229135656,1.844160605220681,4.152175548833592,0.14022820575839645,0.0034905443759967987,0.07413682497355738,109.27320322187832,74.6337310820588,0.0069613666660963,0.20381700848123113,0.5795465683389325,0.01686211221032243,37.81356740292816,6.619836426883591,0.024107729920361594
18,4,broad_global_screen,4624.863201897102,0.22899117053621046,0.04527549901423123,0.34070453835623243,3.863109967824233,1.5688355081036847,5.071258817666273,0.08753145963097825,0.07058821839601731,0.06940019727965539,1309.6597664987837,70.58363431085233,0.008020322939258152,0.07918476441882401,0.5539785275317198,0.02027779950875296,0.12219702697580834,6.931987545638316,0.017305321787237725
19,2,selected_basin_replication,4498.1624203559695,0.24377229136504452,0.04386429176170327,0.6203363017963137,1.5865989717678033,1.82541998034098,2.1383018416752932,0.1266963904810094,0.0034475935711324466,0.07150077654668535,675.764620512765,73.58101193263198,0.004165661863459874,0.011227715635343425,0.5764163685789426,0.017737529821127758,1.1033863212960573,7.113906466374813,0.015976609632531363
20,2,selected_basin_replication,4498.1624203559695,0.24374964531788285,0.043948624808151864,0.4367899228883443,2.100093300265183,1.651850599178399,2.6256983720113385,0.11158558311545651,0.006307089902533783,0.07274841048358545,90.71532985042278,71.73100564577236,0.0009373488411191093,0.12104858310519236,0.5068535409103953,0.015898753937338007,0.020839221203774516,7.3920233350431,0.01558949739371133
21,3,selected_basin_replication,4560.991276861161,0.22839515427832965,0.044420865588385976,0.35237757464317987,3.5280502842372377,1.6097247937875585,4.352230212293533,0.09710604835854246,0.012407438612150842,0.07059335721746497,5.987459781202845,74.70566380352008,0.003646608931758332,0.005875130277922515,0.5848285323772436,0.0212490751737389,2.3511176165031493,6.706950332758047,0.019594725255627513
22,4,broad_global_screen,4624.863201897102,0.22907684293290043,0.045144935071710246,0.40957167689275514,2.3968198988393783,1.6713309321529866,3.39740236735775,0.10669423018031905,0.009633413874199154,0.06928186577322096,102.26887825979624,70.26666749819105,0.00021881598208245857,0.005611686097614433,0.5779951536822866,0.024167648400225155,0.35921430657381004,7.015332548721453,0.013953254858081195
23,1,selected_basin_replication,4410.331897253121,0.23746525684503103,0.04474963760862955,0.6409960241795434,3.800662830979439,1.7100180190813061,5.653407541636309,0.12332808367225019,0.021605668148095825,0.07432191808342525,239.31156864067412,74.36796748836616,0.0030931191218591097,0.25365614799715763,0.5386207320071255,0.017971047634860224,10.922993563886708,6.736159647207761,0.013313511173591272
24,0,selected_basin_replication,4317.519495882091,0.2319866259857237,0.04566253187505639,0.4709828816621266,4.359112589380115,1.8238241161650701,5.900235235239883,0.10570514649236569,0.10148278370402823,0.07390365265255147,132.4459003781936,73.3380024846586,0.019209167122748023,0.06907805354539029,0.6004488548866702,0.020712431352852195,0.47415088002886263,7.166969593412284,0.013507111440572381
25,3,selected_basin_replication,4560.991276861161,0.22843483526989447,0.04430881913243461,0.3992674391788334,3.3978592480849414,1.7168590969528594,4.4259491983804615,0.10752082759526232,0.0051976786583174395,0.07035375528537272,2.6445579344646264,73.42008714786711,0.00502510844795414,0.003375242023743144,0.5717292380372287,0.02125781912561161,0.03491747011218974,6.947513927182308,0.01750760912264505
26,0,selected_basin_replication,4317.519495882091,0.231905613705184,0.0453638251671513,0.5066720927282323,4.319727410136007,2.0502478047054713,5.689569670044265,0.12647774283273094,0.01577850775944575,0.07319662834389291,41.2664602018748,74.97811684898879,0.01382173247273563,0.018027603647186374,0.6015483554414364,0.019508490663047478,1.1442146325452096,7.132029881971731,0.010972820151189338
27,3,selected_basin_replication,4560.991276861161,0.22842141072689434,0.043923892644792205,0.4802134169785309,2.072133242682838,1.903003831055625,2.953962969090716,0.14112533495839677,0.00017480163073055436,0.07008534674723049,35.17964602428521,75.72438080452586,0.00990951994258391,0.04936761652851276,0.5719156167234634,0.018357456409003277,0.6521399410888137,7.0807601144269485,0.011806250218137715
28,0,selected_basin_replication,4317.519495882091,0.23208998962413538,0.044354872495448165,0.6210736073090626,3.265032182303677,1.8901675855752382,4.802489087458671,0.11961825016759091,0.016895681776709102,0.0740680650307326,1181.7886198410667,69.47093130972694,0.0012412841409424572,0.0911439935355135,0.564342756912291,0.01976093766641072,0.45022029947660924,7.301171549865908,0.01260390761707312
29,0,selected_basin_replication,4317.519495882091,0.2319277860429886,0.04510091518612954,0.5463166523658491,3.821049574368785,1.9886485856983254,4.998330098565566,0.12304626442863201,0.018467203533112306,0.07354175370422372,6956.26776932945,74.49052960457122,0.0030286206266839305,0.016907381565925833,0.6255357090630288,0.01900787498528121,3.897033092528644,7.10801191095415,0.01495314441720626
30,6,broad_global_screen,5125.219366749894,0.21110447821195463,0.10457714373853637,8.964814117833631,7.826579736479955,22.92344530747148,23.842577350249083,1.294871850869437,0.18380822995767873,0.017423493540252813,3.911415501884083,70.91883616192955,0.6027176439701509,0.09045757665048042,0.5493610527144006,0.01730439505303078,0.03650559175688063,7.781792952586515,0.014866626012883128
31,6,broad_global_screen,5125.219366749894,0.2111836426929038,0.10374453396855209,8.240227548651184,8.662795572952833,21.972205735794322,24.862631045464784,1.2589704772048387,0.16418713984424266,0.017479204913733407,2.015878539986993,74.64647000033382,0.07077832409133317,0.28016974012162277,0.5517602359957983,0.02041619416511526,0.3571861268340408,7.060494428659458,0.01569283092814633
32,0,selected_basin_replication,4317.519495882091,0.23184518771798993,0.04443580405013296,0.6014059769647254,3.4982263094946493,2.0501656102646244,4.878529935933425,0.13494319338500557,0.007746371794569003,0.0739313408172415,501.7212551246375,73.18748258729495,0.0003762520296854939,0.016114897454550824,0.6214532592769956,0.01692082638427469,1.95800239332927,6.5933364801092695,0.01996274691975626
33,2,selected_basin_replication,4498.1624203559695,0.2438233694047854,0.04375772771237344,0.43277773873754966,2.944173399730692,1.7164076295531476,3.669307594309818,0.11581332841161315,0.0034804248148405186,0.07189039631155295,50.872039788888195,73.50235063399444,0.004250882461837733,0.002871951903890911,0.5852620661364757,0.017524259381358608,0.05201495368565091,6.987053856592624,0.014013509091998316
34,0,selected_basin_replication,4317.519495882091,0.2320506625955484,0.04467272198339434,0.6829031599415203,2.192102673268666,1.9874822902461164,3.380486746943591,0.12267514167208657,0.02612712216611606,0.07417569486450211,2143.6903860886823,70.68938661897977,0.038130685430969036,0.026225005440888238,0.5550012452505886,0.017855228875364795,0.29500116007887234,6.960150688665234,0.012851884668682735
35,4,broad_global_screen,4624.863201897102,0.22893942184881638,0.04453194341544248,0.3876408261197572,2.522966321751266,1.6270163834786213,3.426539767534789,0.10389414892799176,0.007948730507406652,0.07027206441957143,2.2481888101235272,74.51015191123588,0.008253794733190553,15.329886302685516,0.5358510457150201,0.021440933582538752,0.8318619102286198,7.358827917379036,0.014125982345699261
36,4,broad_global_screen,4624.863201897102,0.2287943181975639,0.04418232933435275,0.6241515456872792,1.6413023810096545,1.9433939855083218,2.604946404791746,0.12037260556848238,0.0038662733023810997,0.06941684379849945,1.2858307444753876,75.17589585364082,4.974617115721781e-05,0.02147082245842619,0.5960474206443979,0.01726237469982496,0.184945107727245,7.217298256185268,0.008889153567710726
37,2,selected_basin_replication,4498.1624203559695,0.24403541723993039,0.044126902924553214,0.5083190049998364,2.170419923293958,1.832071817478295,2.764166935158131,0.11997192209280201,0.007617662943143197,0.07154605372371366,279.0534712668984,70.13675734895952,0.03971878478871621,0.053148790539170515,0.5869808612579986,0.017253028081306857,2.2814732675694334,7.248721868167073,0.012807911709904137
38,3,selected_basin_replication,4560.991276861161,0.22833922657205194,0.04362287605531715,0.5592421437231794,1.703802723487626,1.849328991995213,2.6160467883751943,0.12197439153162314,0.0014733478480906364,0.07073923873906157,7.589184693616486,69.91514958445761,0.4095079517321743,0.2277216139110771,0.5812769840832475,0.021446138947317155,1.7935302042660997,6.605440768971927,0.011778058440514733
39,3,selected_basin_replication,4560.991276861161,0.2284287184761478,0.043917024941396335,0.49289828077662157,1.909051612947174,1.8305631778276743,2.7405849772766477,0.11751536390461188,0.002023509081492307,0.07084179178259954,0.7588421931531207,73.85364838835451,0.0008238565257085232,0.2403713130581917,0.5621884809086185,0.019066926584883407,0.0488940072080528,7.2086538826699424,0.011041472529574867
40,5,selected_basin_replication,4664.14403107114,0.22188397380473018,0.04456175591862032,0.48094728286301835,2.549134197570982,1.730490464844495,3.6387462543217546,0.09447635854801946,0.05209517857465043,0.06993093190665628,51.83720411939037,73.4437441917522,0.012954050515906498,0.0013042916878284606,0.6281873071928822,0.016559517532113713,2.0739275999636937,6.942835277537357,0.01234697217560701
41,0,selected_basin_replication,4317.519495882091,0.23184406873768995,0.04525906777698748,0.39921455292641433,6.869786434021929,1.7894170780383045,8.122206968886202,0.10388928632898548,0.09593414720816518,0.07383314376514818,43.80955878575851,69.77618505888171,0.005527575486643825,0.07700713911363927,0.5562283431469802,0.020907172058442572,0.24823324229816923,6.724626673979224,0.016166611327992034
42,0,selected_basin_replication,4317.519495882091,0.23177219773961244,0.04440049814288552,0.5497444491261949,3.6538885330524375,1.9031540088661552,4.994920613801872,0.12351915441017235,0.012137379496054403,0.07474399151870555,419.8450918979232,71.73000869174312,0.005167858210401777,0.5629867905666445,0.5646000380891586,0.020530210598965547,0.004566787458176816,7.091525779858864,0.01265664243852092
43,1,selected_basin_replication,4410.331897253121,0.2375472215914257,0.04514240683836005,0.7607999614204339,2.5238667066581084,1.7858584017861567,4.189801447108159,0.12436790094012672,0.02621924632214281,0.07428943556783449,178.42582178255475,75.82327169784386,0.005142145921879322,0.08260591555777202,0.5792271790282276,0.01933716643186034,10.84524810638747,7.005652686733842,0.013784676093046205
44,1,selected_basin_replication,4410.331897253121,0.23760288320064735,0.04342676607279591,1.0014944896255564,1.9071517868913501,1.8622179086624369,3.344343719399538,0.15243884076231973,0.0018894705653624126,0.07473023264569592,0.2111226316117007,72.59464595675927,0.046591801142653315,2.6442201083457064,0.5321209115226413,0.018033412531551364,0.5244360538265268,7.01821360437851,0.011614868368205909
45,0,selected_basin_replication,4317.519495882091,0.2319410512014564,0.04457541828301044,0.5471595857942632,3.8163700199439585,2.080692053815382,5.217470213114365,0.12250501562758903,0.022656349477016724,0.07403763771651188,412.17287587115493,74.63737178406788,0.0071827361805680105,0.00242948845990387,0.597290204677556,0.020838927406762454,0.040687290604024366,7.4334724782953625,0.014191628515919928
46,2,selected_basin_replication,4498.1624203559695,0.2437475822166344,0.04454268738482981,0.49110552874304214,2.1071256222035792,1.7414585413382673,2.794737064808186,0.10750013510241777,0.017422874935471445,0.07172307855088798,1181.6607559150486,71.4258146419125,0.01518572633633504,0.06909146522105938,0.5506984848695585,0.017196118000153606,0.21866557102166165,7.417260966524455,0.012959536657781634
47,4,broad_global_screen,4624.863201897102,0.2287609714005546,0.0447718595234892,0.4136251123729424,2.589905636296449,1.6383675739066248,3.5242206859519696,0.09591022850249685,0.02067069913102702,0.06983113762778068,8.393828871148791,71.8316166049679,0.0014945507647302714,0.05530721155124545,0.558353675501011,0.022607833384446344,0.006079851232944013,7.675152068188171,0.014632844077965132
48,0,selected_basin_replication,4317.519495882091,0.23203006850907346,0.04481873476694353,0.6075228495843116,3.0499116701888322,1.9859454248906827,4.383100432724984,0.12576989239053996,0.014283098629049687,0.07398227186465242,140.48448320748298,69.98708478533167,0.002567150934065911,0.018600183276521118,0.5760123500816323,0.020154369624075862,0.18356792308289116,6.933776666789747,0.017171909872053543
49,4,broad_global_screen,4624.863201897102,0.22887678268530254,0.04499349874055109,0.3776086008890026,2.9468114315308296,1.6838594420247337,3.879054104507564,0.09752935464583515,0.01607512667039848,0.06966277842093255,49.471016161431315,76.28389804380384,0.003306454092390554,0.002364767273554959,0.5673972523967263,0.018913957522385217,1.9155810909437478,7.000224404501941,0.010467261140584624
50,2,selected_basin_replication,4498.1624203559695,0.24362917272814194,0.044251950859282935,0.5386750294371296,2.032184690137059,1.8239002261433703,2.6608505856791793,0.11755204075120268,0.006763672303594444,0.07158354384772235,421.16199941970814,74.63402664373196,0.6431504982752122,1.0418817436315138,0.562780964657825,0.016670405450718077,0.13580329940644514,7.311172166187581,0.014718080845885145
51,4,broad_global_screen,4624.863201897102,0.22887998391820394,0.04538458758787422,0.445345070367798,2.330398503832459,1.7633976872584252,3.1134667821473174,0.10160707289442553,0.020433576708784762,0.06873800116505563,162.90387491778503,70.9813878138549,0.002164957742460787,0.005841281018110177,0.6042039109748495,0.02055702099130947,9.985736760618837,6.988169651713713,0.0173940696409849
52,3,selected_basin_replication,4560.991276861161,0.2284278960938197,0.04403842855613284,0.4071582614372472,2.9180728938715013,1.7316617765769597,3.798406307421434,0.10987362440060781,0.0033979027421295206,0.0705044268132818,17.081299135237142,74.30180548740577,0.0004031497783502362,0.0013690651650614578,0.5968551268620926,0.01918695403130829,0.948458118293445,6.913658094305878,0.018947710311942267
53,3,selected_basin_replication,4560.991276861161,0.2284154581528551,0.043325791720232536,0.3961623256386431,2.990226796227318,1.675374089475527,3.9395073425452725,0.11421679292233362,0.0009911744157112394,0.07133431052291775,1143.9812641920566,74.0525864447435,0.0005808766161073616,0.09646452317752352,0.5674219942130015,0.021923520913729955,5.758048942134677,7.18991446908144,0.014927458916542742
54,3,selected_basin_replication,4560.991276861161,0.22843928319762583,0.04492765409524827,0.31795551538575156,3.5976131863182226,1.613384847158214,4.3560840290143865,0.09692455922369353,0.009632923978546138,0.07003007568749887,28.431727833840974,76.81190164242716,0.014075269665900968,0.12059079403314611,0.6002586603464873,0.01625696171011665,0.3020839372818914,7.072311962972703,0.01567215611662051
55,1,selected_basin_replication,4410.331897253121,0.23766847842353067,0.04505118943541393,0.6775838565138277,3.055384329832405,1.7641837587431395,4.698026794631756,0.12402469868419978,0.026772449107143905,0.07403446579385814,7.859813499143923,75.91941563641522,0.0007512949460278951,0.12397145117396788,0.5634612377642637,0.01910731119017957,0.2416047307460326,7.394115852963355,0.019530730897719825
56,2,selected_basin_replication,4498.1624203559695,0.2439391481932927,0.04490999177262842,0.5837102927300665,1.7439738274091046,1.8930399466424688,2.341799279229292,0.11804264815925337,0.0076339583220395,0.07116863562266357,183.6871017929243,72.20056402692458,0.7248322320259333,0.07535733268496533,0.5473117196119018,0.021613913041472865,0.04354941701013924,7.194740282839107,0.016504629863770433
57,5,selected_basin_replication,4664.14403107114,0.22189108441815794,0.04471990384505068,0.37049066249193774,3.235711654645299,1.6305020080016595,4.150846906623171,0.09638519301210485,0.040157872764829496,0.07051061113172812,120.47529729036751,70.47589425345893,1.168537689415179,0.007600817018227796,0.61162722084354,0.018243514587167196,0.02811633912297542,7.586869470118194,0.01892847252265557
58,1,selected_basin_replication,4410.331897253121,0.23757356968300522,0.04483466752204194,0.6601528575081717,3.4617307949226332,1.6713544078390887,5.657691776751744,0.11460530784383918,0.0415861696158073,0.07482056816918857,40.957758935915095,70.5980220940722,0.004516893929624364,0.4317626028429896,0.5377811838284218,0.01859852675157147,67.23177287991165,6.972995547090297,0.01513504318759676
59,1,selected_basin_replication,4410.331897253121,0.237491951593547,0.04450304710668922,0.971873140699459,1.9934174521798456,1.9005250697129632,3.4785546788509283,0.1430384976505427,0.006762059257643302,0.07409940316642621,92.69204456955417,73.92057321633106,0.00016203930512586863,0.007283275767787905,0.6006281459290935,0.017993316200450988,0.22174278506250483,7.177160855217983,0.013427067999020667
60,0,selected_basin_replication,4317.519495882091,0.2320584501753587,0.044526986624963766,0.6907972107282918,2.4693777156039185,2.0420759332786056,3.713260579815933,0.12687500298671275,0.027883223974019277,0.07404272086657039,523.8597780802143,70.92157568473787,0.08380132104697091,0.04870118579643976,0.606783025911312,0.01882604825161123,0.051126185438019174,7.516175952790333,0.015164285481167633
61,4,broad_global_screen,4624.863201897102,0.22891612169367687,0.04458650393162314,0.5096974770507496,2.2298083672343143,1.823760567085844,3.1447423600069833,0.11361646944650695,0.010251774488484886,0.06935507060734708,10000.00000000001,73.94289341876612,0.013391569910635738,0.011911367650427187,0.6028083043198151,0.01766271603027502,0.537247465391654,7.033289480954313,0.01918930727219381
62,1,selected_basin_replication,4410.331897253121,0.23764935673330376,0.04448369081360263,0.8661450225110041,2.248121660648881,1.8110381825160577,3.6769205661397484,0.14788307874088735,0.0036008494889942827,0.07423498460004763,44.57104906189489,72.48463106800672,0.009902274655495567,0.058540137392639115,0.5797175093687325,0.021117794123967897,0.050302739606445906,6.998185674143436,0.015165033316414962
63,2,selected_basin_replication,4498.1624203559695,0.24379871679515033,0.043463504385546546,0.47254715431453126,2.52069137915471,1.7329711406616939,3.1250287611539878,0.12492952152044269,0.0012263862566519825,0.07228084942450742,4.4766122500159256,71.38384905727024,0.004003401980301474,0.018721614159954634,0.5599308915063049,0.020934468684942878,0.17017220379980968,7.21167123402643,0.02261714883046641
