ensemble_member,primary_centre_index,primary_centre_stage,primary_centre_objective,primary__mu0,primary__qN,primary__betaG0,primary__betaF0,primary__qEG,primary__qEF,primary__gammaG0,primary__gammaF0,primary__oculyze_biomass_scale_kg_m3_per_million_cells_ml,aroma__ethyl_acetate__formation_growth_ug_per_g_sugar,aroma__ethyl_acetate__formation_stationary_ug_per_g_sugar,aroma__ethyl_acetate__effective_loss_scale,aroma__ethyl_octanoate__formation_growth_ug_per_g_sugar,aroma__ethyl_octanoate__formation_stationary_ug_per_g_sugar,aroma__ethyl_octanoate__effective_loss_scale,aroma__isoamyl_acetate__formation_growth_ug_per_g_sugar,aroma__isoamyl_acetate__formation_stationary_ug_per_g_sugar,aroma__isoamyl_acetate__effective_loss_scale
0,0,selected_basin_replication,4317.519495882091,0.23191303736204627,0.044724762238168396,0.5333158762818201,3.7361871054533977,2.038014785277844,4.844441694773004,0.1280262932989002,0.0206603647691215,0.07421093203589396,332.67979955130573,75.40467587261368,0.004337368451660918,0.1317298072836912,0.5645597877101184,0.02226098280272062,6.398079570014964,6.864967010683196,0.016327512809588312
1,1,selected_basin_replication,4410.331897253121,0.23756650179897074,0.04479899228602109,0.8312486745754448,2.097407363278268,1.9468463080651606,3.4790401958508133,0.1456585832532772,0.007222021600238361,0.07447066816211494,316.18606357310955,72.7562044841539,0.001589882011280765,0.02537082908765241,0.5815601174944955,0.021458952944171838,0.09354794765853705,7.178353380616585,0.014073699929875894
2,2,selected_basin_replication,4498.1624203559695,0.2437905227943659,0.04466211472228927,0.376685945929279,2.5045666382140266,1.649024357834802,3.038904863361534,0.09977954539383305,0.015298052342628366,0.07219581576667906,54.13690007167322,75.77196308654491,0.038306064900695186,0.07788885813458599,0.545912919490029,0.023314970022016542,0.4389624247766643,6.762818726090889,0.013312542243579898
3,3,selected_basin_replication,4560.991276861161,0.22845965709711658,0.044054951738531904,0.4787773869485941,2.234459633870353,1.732428719741768,3.094983130387272,0.11519295853592268,0.0021062491623798484,0.0704777103450161,9.381657791554222,73.26947544517,0.08253051850487954,0.0033269560985602783,0.5922140936764696,0.016381819144134183,0.8436709176071922,7.197391427171293,0.015248990413267705
4,4,broad_global_screen,4624.863201897102,0.22888564873603373,0.04473408268500758,0.45996658214782615,2.1054111005380425,1.6645876566103963,3.104268374642532,0.09991577834392669,0.01837800491472873,0.06976317472288075,28.37690070267166,68.34819812873903,0.057476162280600214,0.04368957334469896,0.5354780034605916,0.02049017170692417,0.08579227304419045,7.223722992615806,0.01879302395859065
5,5,selected_basin_replication,4664.14403107114,0.22197444868801683,0.04423387177937219,0.44460095886461387,2.4149344984646794,1.7340918425962522,3.2602707430715783,0.10732463666721438,0.01462220377241797,0.07050290996199435,303.0016267341909,73.25939238039452,0.04565685165909429,0.8008446203756562,0.5477811866478935,0.01868900952874152,0.5718917825963481,7.115252564959689,0.0113331768732998
6,6,broad_global_screen,5125.219366749894,0.21110024171813918,0.10289092896508521,8.881900125222648,7.829597876142625,22.280311109827448,25.08741442862826,1.2844546891220214,0.2369266270630937,0.017742490311980927,32.22381304539955,72.61824704330215,0.010723594823424078,0.0032716444542083578,0.5913392688736303,0.023434736217951026,0.30602050720960333,6.800469588492959,0.015338227984771444
7,7,broad_global_screen,6236.307235982265,0.3726949118658273,0.12632569194336957,1.4643818826508501,2.645282751127657,9.33862872603717,2.460232044216305,0.2359418945974418,0.07616647302357919,0.033467681885878724,19.194342654865913,73.68322314010055,0.1697726081160717,0.3895929504101749,0.5272861998997348,0.01790641970044921,0.575621604463228,7.037615544706096,0.010800889612328782
8,8,broad_global_screen,8851.14722279513,0.16233593654122466,0.021277825437663038,0.344952258179429,1.085044132756793,1.5822090022430018,1.2829233063426042,0.015186190035651621,0.007986235748794488,0.05544140904899465,125.42408300660264,72.22611490704708,0.0842667537229739,0.13885359797255345,0.5629586091338806,0.016844205300256633,0.05815713626483805,7.3437699066427635,0.014755368804181435
9,9,broad_global_screen,13644.405757762108,0.17060649165735317,0.013338253812407698,0.32951218307132996,0.5823250239436267,0.7433345249001543,1.003987581397288,0.05667037128924083,0.00010000000000000009,0.03012858316986701,6.269100732004839,73.65281357259514,0.0001131571321586759,0.1082355079072065,0.563639881316872,0.020141189671962594,0.4066321662709276,7.240801876683629,0.012639578327376005
10,2,selected_basin_replication,4498.1624203559695,0.2437612856080366,0.04476555703510286,0.5145098940840095,1.876424813494027,1.7540693416513862,2.545796206600688,0.11072848932095411,0.010027395350634492,0.07142245139933714,22.778416991240217,74.6602567324207,0.12548084476180763,0.079061835510279,0.5830917264982985,0.019062318590954915,6.282570222639697,6.826566152379251,0.01577461085238368
11,0,selected_basin_replication,4317.519495882091,0.231991497748254,0.04440536086312743,0.7650975420262289,2.0449695895805453,2.108522266345143,3.121196063139797,0.14384294684981347,0.004453294286613456,0.07399601908969915,807.8398769480519,71.63032983906454,0.0012076253579050079,0.9918360041253023,0.5586278740845446,0.019387309733894492,0.6739816549550723,7.000798285081719,0.015979613035489258
12,2,selected_basin_replication,4498.1624203559695,0.24401457063904536,0.0437403901498817,0.6238974658929405,1.7036373794128379,1.8171452803226966,2.3963389407363906,0.11341421229454686,0.006940008749184305,0.07164121880784563,1227.3235585954737,71.27697293584451,0.0005019039268354567,0.28410366819534616,0.5860814881072218,0.02466645056418996,3.456924609346829,6.799005923383282,0.014371182586602044
13,0,selected_basin_replication,4317.519495882091,0.23195234582706425,0.04445463520571185,0.6984641007982775,2.4482676248955277,1.990269856509588,3.748031108885016,0.12446406087163937,0.015042189218681098,0.07421892254784952,0.5749081741778169,68.39936528419994,0.09584589241003967,0.03878798284761773,0.576733977447443,0.019265771222750618,0.19268402159738723,7.287158368663545,0.013719986050144043
