annex_id,oe,activity,category,evidence_requirement,role_in_bundle,status,source_path,bundle_path,bytes,sha256
A06,OE3,3.13,dataset,Dataset de calibracion,Libro de datos fuente,ok,fermentation_model/data/Calibration_data_vl3.xlsx,rendicion_tecnica/A06_calibracion_metabolica/data_sources/Calibration_data_vl3.xlsx,72275,34167748df07b37474546305520f3f3ad9812ffc53835a519d60dda3f6dcf84b
A06,OE3,3.13,dataset,Dataset de calibracion,Libro de datos fuente,ok,fermentation_model/data/mosto_natural_xthiol.xlsx,rendicion_tecnica/A06_calibracion_metabolica/data_sources/mosto_natural_xthiol.xlsx,184064,dbe34ebe43ad7647052d4898031d44c381fad9433e765604f367f4c0841e40d9
A06,OE3,3.13,dataset,Dataset de calibracion,Libro de datos fuente,ok,fermentation_model/data/mosto_sintetico_vl3.xlsx,rendicion_tecnica/A06_calibracion_metabolica/data_sources/mosto_sintetico_vl3.xlsx,126115,1bbf657740503af13facefea7a1e1cae52719e6ff4c570771b678562f170b4a2
A06,OE3,3.13,codigo,Version de codigo,Script reproducible,ok,fermentation_model/run_fit_strategy_analysis.py,rendicion_tecnica/A06_calibracion_metabolica/code_sources/run_fit_strategy_analysis.py,26957,f81b110a601ddd03777a2a177602cd11c6c87a4e899e831d5ce1cefb14752a3b
A06,OE3,3.13,codigo,Version de codigo,Script reproducible,ok,fermentation_model/run_secondary_joint_campaign_doe.py,rendicion_tecnica/A06_calibracion_metabolica/code_sources/run_secondary_joint_campaign_doe.py,60953,461b0606adc8f19095f0f5af3a7c87dd6f9f3de1f370f7954b592c0427f80263
A06,OE3,3.13,codigo,Version de codigo,Script reproducible,ok,fermentation_model/run_secondary_v2_model_evaluation.py,rendicion_tecnica/A06_calibracion_metabolica/code_sources/run_secondary_v2_model_evaluation.py,25251,ff82193b11f0cfc039150f717d3dfd6a7c1734df3fed67feb0ac75ebaf767ff2
A06,OE3,3.13,codigo,Version de codigo,Script reproducible,ok,fermentation_model/run_secondary_fit_capacity.py,rendicion_tecnica/A06_calibracion_metabolica/code_sources/run_secondary_fit_capacity.py,18412,89857ff36e796ee335168d8ff0a05fd13b06253e328a4bcdb659c1ac7d144ae1
A06,OE3,3.13,codigo,Version de codigo,Script reproducible,ok,fermentation_model/run_new_must_glycerol_estimability_doe.py,rendicion_tecnica/A06_calibracion_metabolica/code_sources/run_new_must_glycerol_estimability_doe.py,79602,7e6cb8e44e9ea5055b06bc09be8d2fcf3d951da779d049a2ccddd97c3328ae81
A06,OE3,3.13,codigo,Version de codigo,Script reproducible,ok,fermentation_model/run_new_must_overnight_validation.py,rendicion_tecnica/A06_calibracion_metabolica/code_sources/run_new_must_overnight_validation.py,13237,ea1cac15ae6b4c8735344f43c311aaefbebc47215afb0f285468372b6e1e8934
A06,OE3,3.13,codigo,Version de codigo,Script reproducible,ok,scripts/build_A06_metabolic_calibration_bundle.py,rendicion_tecnica/A06_calibracion_metabolica/code_sources/build_A06_metabolic_calibration_bundle.py,45858,de0ea2319554aba9db4f2ece4b8be4a750cdd8980f316c59f10b866da8049b9e
A06,OE3,3.13,codigo,Version de codigo,Notebook de respaldo,ok,fermentation_model/fermentation_model_calibration_3_effective_reformulation.ipynb,rendicion_tecnica/A06_calibracion_metabolica/notebooks/fermentation_model_calibration_3_effec_50562f88.ipynb,264813,62807118bbc97e0c9ddae2d0d1775a7d368ddcb92f5f83d837dc98df09ccf5b9
A06,OE3,3.13,codigo,Version de codigo,Notebook de respaldo,ok,fermentation_model/fermentation_secondary_v2_model_evaluation.executed.ipynb,rendicion_tecnica/A06_calibracion_metabolica/notebooks/fermentation_secondary_v2_model_evalua_5396467f.ipynb,5861186,26e19b00300adf3a754b48c900b943e5828c944b0eb47b041c5523b79b83708a
A06,OE3,3.13,codigo,Version de codigo,Notebook de respaldo,ok,fermentation_model/fermentation_secondary_fit_capacity.executed.ipynb,rendicion_tecnica/A06_calibracion_metabolica/notebooks/fermentation_secondary_fit_capacity.executed.ipynb,6713072,060b525a8e62918d5c46193d7efb8bd9e793927d8ab97df6653fa884f893d888
A06,OE3,3.13,reportes_fuente,Resultados e interpretacion,Reporte fuente,ok,fermentation_model/results/fit_strategy_analysis/fit_strategy_decision_report.md,rendicion_tecnica/A06_calibracion_metabolica/source_reports/fit_strategy_analysis_fit_strategy_decision_report.md,8776,88d4384332d798271d144b0f95023796b9bcd1d63b7ab8af86ba410d55fefeb4
A06,OE3,3.13,reportes_fuente,Resultados e interpretacion,Reporte fuente,ok,fermentation_model/results/secondary_joint_campaign_doe/secondary_joint_campaign_report.md,rendicion_tecnica/A06_calibracion_metabolica/source_reports/secondary_joint_campaign_doe_secondary_jo_71c8e537.md,120750,c9f49c08a570111fe279d0a87df8570abb2139f8d159f70aa58e413eb7cbaca3
