process,campaign_order,candidate,planned_N_mg_l,actual_N_mg_l,N_ratio,planned_G_g_l,actual_G_g_l,G_ratio,planned_F_g_l,actual_F_g_l,F_ratio,planned_E_g_l,actual_E_g_l,planned_X_g_l,actual_Xviable_g_l,X_ratio,actual_Xtotal_g_l,actual_Xdead_g_l,viability_pct
F1,1,synthetic_lit_SM410_18C_highN_ester,410,312,0.7609756097560976,115,105.52,0.9175652173913044,115,131.68,1.1450434782608696,0,0.3945000000000001,0.4205249999999999,0.10494693,0.24956169074371323,0.1257,0.02075307000000001,83.49
F2,2,synthetic_high_biomass_low_N_maintenance,30,37,1.2333333333333334,75,62.17,0.8289333333333334,75,81.77,1.0902666666666667,10,10.3359,2,1.0946511,0.54732555,1.143,0.048348899999999945,95.77
F3,3,synthetic_fructose_rich_glucose_pulse,240,189,0.7875,35,30.13,0.8608571428571429,155,132.29,0.8534838709677419,0,2.9193,0.4205249999999999,0.13253346,0.3151619047619048,0.16019999999999998,0.02766654,82.73
