,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,52529.58493038478,-35483.47811921944,7461.951919606892,2387.809252446181,11969.577769515683,19110.817862110005,-7508.138683562167,-21283.06976285188,184.1466280313432,3777.014051981272,151.9705628567261,-457.3682983619088,-703.8101071851102,1133.876948272378,-1799.592825798425,2.0993537718914705,3471.2603114226004,3888.0838803148963,3.485103113607659,60.513311294091025,489.0952456891483,811.0594286917485,393.08991553525135,337.62460564527754,170.28820236032877,447.54804101117026,250.1983027911537
qN,-35483.47811921944,42592.45450485259,-1135.9034652119342,-1000.8174944288605,-17706.13346887323,-21399.852371630004,8244.018660222993,19451.193623270967,-67.231920282006,-2682.4908293654476,-109.99223521711818,-1221.8863126008732,-577.348748816919,531.6312868070106,-8712.12399915544,11.08344950353882,6968.038799327141,-3964.0003023025647,-1.2529186032080493,-14.76510196658457,-389.6978004550287,-725.791433482876,-1174.954976955723,-1112.7435950076997,-95.84707458041589,-404.8133468757811,-609.2343442611848
betaG0,7461.951919606892,-1135.9034652119342,83266.38501617026,22101.51235772986,-62980.22386252245,-25827.804595550075,1242.4671337669156,-6524.183384913308,6660.657786387973,-4605.269350836768,-199.6492545973585,-242.695479245171,-80.39682441645877,56.80471948208767,-1632.1732992962693,1.8755773448797584,1498.9454220032665,130.039464782474,4.901598637664035,52.46276827410916,-157.29237818193315,-325.5017737691001,-235.33151762813208,-339.33753875916324,428.4894982459514,199.12606980286813,276.3530501714926
betaF0,2387.809252446181,-1000.8174944288605,22101.51235772986,6181.689545982956,-16346.520050163565,-7592.502768711941,449.1469611779764,-2260.601308381418,1983.0670677676994,-457.3616658298676,-19.98782917944226,-20.19439160352757,13.498690769873214,-30.09402572249947,-182.32307876737627,0.16591990281404598,121.22144357500358,-20.879498722866806,1.67177859868194,22.210700137165656,-8.478638778493417,-34.0457207991512,5.3077526934924,-42.65702572999923,126.0623933101029,92.78371689728176,161.99476204169238
qEG,11969.577769515683,-17706.13346887323,-62980.22386252245,-16346.520050163565,90036.54812489022,28869.336404685793,-4350.700124371761,-7773.547513739883,-4656.087975997125,-16728.30741917667,-796.2212860347707,974.6603635678755,637.1534995716587,-770.2812250706829,6340.338623900821,-7.727096788366492,-6030.213109657755,414.0663243699238,-3.5694618525424375,-41.150065819927114,615.6577721214435,972.8297856245641,738.0457003397582,831.1537421416522,-315.5579864335999,136.96757469312288,-163.6080345683292
qEF,19110.817862110005,-21399.852371630004,-25827.804595550075,-7592.502768711941,28869.336404685793,40607.79096113459,-11683.749311485366,-14414.8265404263,-1393.2445318620667,-1170.8785352384568,-56.502958406865815,679.5146199585051,472.49527477309874,-591.4721269177483,4344.750701110584,-5.300969562002231,-4184.465396951239,187.07012404559285,0.7942889885632335,31.768728094978425,476.0041537749339,793.2220808715042,710.1820282585314,655.0620340182259,-43.959862145189575,280.77090671693634,397.1770553719381
iG,-7508.138683562167,8244.018660222993,1242.4671337669156,449.1469611779764,-4350.700124371761,-11683.749311485366,4172.793565843936,5889.450158765228,-175.41137229836784,153.7616507347378,7.467087746641042,-316.9869324017771,-229.65638766723322,291.19767487145845,-1999.2269985655366,2.475631266600465,1946.1038600570055,-102.24334994599745,-0.8413037413820111,-16.630027081157216,-207.97028206876882,-313.91344374490745,-313.2108706541836,-262.8362709394726,-28.47468102574376,-151.90288642211698,-237.2056012868966
iE,-21283.06976285188,19451.193623270967,-6524.183384913308,-2260.601308381418,-7773.547513739883,-14414.8265404263,5889.450158765228,16047.738199910656,-1470.643752636462,-2834.8988649665857,-118.171792364239,-382.57257858501026,-301.9605924700263,399.4740149671747,-2412.3329704234543,3.110526165956117,2374.831431787074,-171.16558819432217,-2.221812865812726,-44.243838866587964,-324.6525024559095,-549.7171387829014,-408.02118618371367,-370.8166394539303,-106.76309211791622,-317.6273381288251,-242.20367815741866
Kd0,184.1466280313432,-67.231920282006,6660.657786387973,1983.0670677676994,-4656.087975997125,-1393.2445318620667,-175.41137229836784,-1470.643752636462,2762.391454232685,-84.78059308936166,-4.068902601773452,45.085158250417045,74.59244900594977,-115.92525628243436,51.96565611118227,-0.15710570063719392,-257.67263029576225,-458.54022218171264,-0.062376856583871945,-1.956449925610498,-0.47537055760377167,-1.4620982493349906,-7.050013583289749,-7.493966395331885,-1.2635613789505493,-0.6077819880344619,-9.141750890283497
gammaG0,3777.014051981272,-2682.4908293654476,-4605.269350836768,-457.3616658298676,-16728.30741917667,-1170.8785352384568,153.7616507347378,-2834.8988649665857,-84.78059308936166,26360.830783367735,1198.4893123667396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,151.9705628567261,-109.99223521711818,-199.6492545973585,-19.98782917944226,-796.2212860347707,-56.502958406865815,7.467087746641042,-118.171792364239,-4.068902601773452,1198.4893123667396,55.34433957487721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
