,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,3310.009999862544,-2879.0804201268247,1040.4882515409054,289.12479358862066,719.5509258193148,1083.5911122014488,-514.9212887199528,-1614.1923775300056,224.54383011450113,317.0458091177085,12.660991264369974,-30.34543821898305,-64.47869965790363,93.09457679167221,-99.57066127112961,0.14240078641487067,376.6697637561786,698.1511062279695,0.1579309157557982,4.2754801075349596,40.4127652205224,56.7662148673758,38.29257069222951,39.77172007092694,0.24235146111898084,49.453069451321284,6.931549289242743
qN,-2879.0804201268247,3232.4279599651613,-624.2202610550169,-206.6068460130299,-1195.880544882641,-1345.134514576242,615.9684474084571,1582.568549597311,-184.84295055294143,-245.4650309341331,-9.84343003578383,-67.4971608385811,-30.092560204772653,20.566785643669956,-639.2714436801009,0.7783245480300667,438.394528363635,-709.283440736678,0.013845362798922303,0.8047454190573261,-30.232387596214625,-47.6359362438543,-124.94131467229204,-133.90730389334678,0.5941419699939167,-46.80836711988683,-57.49565274580145
betaG0,1040.4882515409054,-624.2202610550169,6867.625268802498,1778.4894488467344,-4502.357502533862,-1693.2936406600365,-23.7443457043006,-1054.570442804496,1679.6982579893458,-467.82737827697025,-20.251917870349438,-7.640613110175049,6.1837197395968495,-15.443547625578045,-140.4645010160475,0.15161735784343083,141.86443927129102,-14.420058703566985,0.13566734642658693,1.8980985381774473,-11.954901711960357,-12.964812299263652,-23.56731973300837,-39.84769930168285,3.1427697087681947,4.033324997437164,32.87959170323249
betaF0,289.12479358862066,-206.6068460130299,1778.4894488467344,490.86036259454954,-1155.8351773664967,-506.9717673186474,4.258101516704876,-314.85038949834495,492.0158884924855,-44.54876966831225,-1.9450216326757552,1.7381607153841816,5.588061508734678,-9.054036064805397,-13.289606151589958,0.008872641072468566,7.228384045663149,-13.466343354301317,0.08182041077443732,1.636696376393502,-0.05607511153123057,1.045218235442069,3.6103852557648426,-3.030314748756192,1.2971120332420873,4.605581699168005,21.52810461907047
qEG,719.5509258193148,-1195.880544882641,-4502.357502533862,-1155.8351773664967,7423.7787799270645,1944.472975319248,-294.8175093954952,-445.8529810654612,-1234.3245929161346,-1985.446923981966,-94.77171336191272,70.03053975007137,54.57120642425418,-59.526740730028834,608.6224477033987,-0.72132676887255,-613.5420734480317,104.46059154034641,-0.1815318587938379,-3.5015405481845066,63.286986209381496,76.54500776291671,79.78777912219773,105.07671512869388,-4.626147987746082,43.17045376069668,-40.31166059263536
qEF,1083.5911122014488,-1345.134514576242,-1693.2936406600365,-506.9717673186474,1944.472975319248,2776.7631525508127,-881.005662667976,-896.8630979029482,-354.04820139756293,-150.0182206924992,-7.20674771614387,48.523081852443184,42.43102699929246,-49.28539786220444,391.4926145271957,-0.4766100890713343,-410.25477487389287,40.7490270248842,0.11394937299531785,2.890879089811274,42.367454105772154,53.606795003762656,79.7297010261133,79.22192322530681,-0.031843207825126445,34.28079358649639,39.869350121112994
iG,-514.9212887199528,615.9684474084571,-23.7443457043006,4.258101516704876,-294.8175093954952,-881.005662667976,357.963083053121,464.23456257510503,-40.16414366277458,20.746044029365788,1.0039029848629586,-25.212656708135093,-23.390228744246052,28.12709200801066,-192.59513926035922,0.23472612757426525,201.76673195079002,-17.487649937658905,-0.07172083511712507,-1.430124931745432,-20.851394299705323,-26.066455215767498,-39.451609254136415,-35.42577265269775,-0.4947884713061482,-16.973803361608137,-29.63248545638166
iE,-1614.1923775300056,1582.568549597311,-1054.570442804496,-314.85038949834495,-445.8529810654612,-896.8630979029482,464.23456257510503,1381.7778479609028,-358.7889640383929,-276.2240268196,-11.343190588560686,-31.9864716176311,-34.44539483166033,43.701166451092554,-227.16127213391565,0.29578103931292854,249.24665977524324,-21.80142601804461,-0.10868874632833185,-2.8859932248648903,-29.869227614448207,-42.40057708120159,-43.904558063730235,-46.01512415857724,-0.19437835599348663,-38.210156132542664,-15.263979846364096
Kd0,224.54383011450113,-184.84295055294143,1679.6982579893458,492.0158884924855,-1234.3245929161346,-354.04820139756293,-40.16414366277458,-358.7889640383929,698.9463748203743,-11.23529613578365,-0.5419066433189852,7.590510848422613,13.235534145928671,-19.353712475940895,4.785054696023002,-0.020293629148732,-42.98426589714447,-99.04779347996097,-0.0077254678944052545,-0.25451662911100686,9.860761315262648e-27,9.860761315262648e-27,-1.0828496796588931,-1.024817014500769,-0.06302791795822682,-2.7610131682735413e-26,-1.4616850273529005
gammaG0,317.0458091177085,-245.4650309341331,-467.82737827697025,-44.54876966831225,-1985.446923981966,-150.0182206924992,20.746044029365788,-276.2240268196,-11.23529613578365,2959.92908083008,134.93111477788344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaF0,12.660991264369974,-9.84343003578383,-20.251917870349438,-1.9450216326757552,-94.77171336191272,-7.20674771614387,1.0039029848629586,-11.343190588560686,-0.5419066433189852,134.93111477788344,6.251300447429123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrS_N,-30.34543821898305,-67.4971608385811,-7.640613110175049,1.7381607153841816,70.03053975007137,48.523081852443184,-25.212656708135093,-31.9864716176311,7.590510848422613,0.0,0.0,137.13702048380296,124.5820005385081,-148.10430064607155,0.3294742867910573,-0.0006150947198410206,-0.47620407706126566,0.015828432879357635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrO2,-64.47869965790363,-30.092560204772653,6.1837197395968495,5.588061508734678,54.57120642425418,42.43102699929246,-23.390228744246052,-34.44539483166033,13.235534145928671,0.0,0.0,124.5820005385081,161.21966149112464,-208.4812809068587,0.25946406921648846,-0.0005527715605203755,-0.4092074851571028,0.008859816885573746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrDrain,93.09457679167221,20.566785643669956,-15.443547625578045,-9.054036064805397,-59.526740730028834,-49.28539786220444,28.12709200801066,43.701166451092554,-19.353712475940895,0.0,0.0,-148.10430064607155,-208.4812809068587,276.4727336610473,-0.27627433065657087,0.0006089829795615437,0.4443577987776597,-0.00827871719659989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS_N,-99.57066127112961,-639.2714436801009,-140.4645010160475,-13.289606151589958,608.6224477033987,391.4926145271957,-192.59513926035922,-227.16127213391565,4.785054696023002,0.0,0.0,0.3294742867910573,0.25946406921648846,-0.27627433065657087,1064.66891121238,-1.2992204224988053,-1125.2265140741924,76.02570563888231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldRed,0.14240078641487067,0.7783245480300667,0.15161735784343083,0.008872641072468566,-0.72132676887255,-0.4766100890713343,0.23472612757426525,0.29578103931292854,-0.020293629148732,0.0,0.0,-0.0006150947198410206,-0.0005527715605203755,0.0006089829795615437,-1.2992204224988053,0.002645980382929678,1.9703381216032696,-0.04939120833523265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,376.6697637561786,438.394528363635,141.86443927129102,7.228384045663149,-613.5420734480317,-410.25477487389287,201.76673195079002,249.24665977524324,-42.98426589714447,0.0,0.0,-0.47620407706126566,-0.4092074851571028,0.4443577987776597,-1125.2265140741924,1.9703381216032696,1679.9853520422143,294.7976344081413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,698.1511062279695,-709.283440736678,-14.420058703566985,-13.466343354301317,104.46059154034641,40.7490270248842,-17.487649937658905,-21.80142601804461,-99.04779347996097,0.0,0.0,0.015828432879357635,0.008859816885573746,-0.00827871719659989,76.02570563888231,-0.04939120833523265,294.7976344081413,1096.5010937372617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,0.1579309157557982,0.013845362798922303,0.13566734642658693,0.08182041077443732,-0.1815318587938379,0.11394937299531785,-0.07172083511712507,-0.10868874632833185,-0.0077254678944052545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05011036634325733,1.5259483919796093,0.0,0.0,0.0,0.0,0.28412301200202883,0.0,0.0
k_EA_stationary,4.2754801075349596,0.8047454190573261,1.8980985381774473,1.636696376393502,-3.5015405481845066,2.890879089811274,-1.430124931745432,-2.8859932248648903,-0.25451662911100686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5259483919796093,56.90016324682495,0.0,0.0,0.0,0.0,6.546674631284659,0.0,0.0
k_IAA_growth,40.4127652205224,-30.232387596214625,-11.954901711960357,-0.05607511153123057,63.286986209381496,42.367454105772154,-20.851394299705323,-29.869227614448207,9.860761315262648e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.086826396374114,55.47141916398776,0.0,0.0,0.0,27.051248428470743,0.0
k_IAA_stationary,56.7662148673758,-47.6359362438543,-12.964812299263652,1.045218235442069,76.54500776291671,53.606795003762656,-26.066455215767498,-42.40057708120159,9.860761315262648e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.47141916398776,75.25544394253018,0.0,0.0,0.0,49.11623250969427,0.0
k_EO_growth,38.29257069222951,-124.94131467229204,-23.56731973300837,3.6103852557648426,79.78777912219773,79.7297010261133,-39.451609254136415,-43.904558063730235,-1.0828496796588931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.15123814378464,176.91790818588413,0.0,0.0,102.22540792552995
k_EO_stationary,39.77172007092694,-133.90730389334678,-39.84769930168285,-3.030314748756192,105.07671512869388,79.22192322530681,-35.42577265269775,-46.01512415857724,-1.024817014500769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.91790818588413,243.05658553313023,0.0,0.0,45.1643813575891
alpha_EA_loss,0.24235146111898084,0.5941419699939167,3.1427697087681947,1.2971120332420873,-4.626147987746082,-0.031843207825126445,-0.4947884713061482,-0.19437835599348663,-0.06302791795822682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28412301200202883,6.546674631284659,0.0,0.0,0.0,0.0,3.5581171689595346,0.0,0.0
alpha_IAA_loss,49.453069451321284,-46.80836711988683,4.033324997437164,4.605581699168005,43.17045376069668,34.28079358649639,-16.973803361608137,-38.210156132542664,-2.7610131682735413e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.051248428470743,49.11623250969427,0.0,0.0,0.0,76.67772545748743,0.0
alpha_EO_loss,6.931549289242743,-57.49565274580145,32.87959170323249,21.52810461907047,-40.31166059263536,39.869350121112994,-29.63248545638166,-15.263979846364096,-1.4616850273529005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.22540792552995,45.1643813575891,0.0,0.0,237.0050851296326
