,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,3708.8718990796656,-3362.7607674116603,1384.4093421788114,475.5624160907629,592.6476681362988,1304.6366367454486,-610.3217675080208,-1661.8680569070832,260.7876214546469,329.8494126656784,14.291417710587195,-8.986470147288633,-34.54552712753191,46.954069399607675,-91.62153883787194,0.14816367237766553,348.924113506765,570.5890754958587,0.18885113732086428,5.263249028167042,39.06721817054014,59.323466098206616,54.372005544189136,55.65083062885628,0.7260805485370506,50.18918775321661,39.05484723554503
qN,-3362.7607674116603,3743.0045703388414,-1054.8492283020803,-397.6744830367776,-1034.885288496714,-1584.2204876736196,709.0540744268632,1639.38156012731,-224.87438684398373,-272.0477913216551,-11.773088636891844,-80.46029287040979,-56.64127796866499,56.1952805434648,-576.6935467114225,0.6314497015886514,415.84382374992754,-597.7743768704302,0.011075501720294,1.362175837696333,-32.36549146015338,-50.76295334126361,-148.8430898593653,-164.8655856875541,0.6619845870384482,-46.955710558430354,-117.64256616116569
betaG0,1384.4093421788114,-1054.8492283020803,7824.545724166952,2245.6410444481417,-4850.982602384332,-1760.1513504171958,-133.43325463915824,-1423.969322097273,2063.272853995681,-536.5991547100236,-24.627601201177676,2.1712688281580066,21.707847854545097,-31.88735095964553,-54.36734292814665,-0.010924452440574101,-34.933328709167256,-156.5382903181096,0.19728437845261815,3.6161004918819066,-7.592855808976507,-8.302891681238538,-15.34387880655076,-35.807440675727506,4.389137121244895,9.031223941771952,34.343512446601025
betaF0,475.5624160907629,-397.6744830367776,2245.6410444481417,677.1030174614948,-1318.610716126881,-575.5383072399882,-26.22922036825934,-490.81825224969896,645.3897722889907,-55.499578637003154,-2.572031255607555,3.678976425230005,9.96107456858268,-13.593107055949682,3.669807138016899,-0.028606380632153764,-37.80618154687283,-55.1959221705128,0.09075424334475729,2.0638010894969545,0.18787646495903632,1.1920122384220941,4.46479272229471,-1.9640249075350322,1.5903502573578145,5.089894122092005,21.13459763560116
qEG,592.6476681362988,-1034.885288496714,-4850.982602384332,-1318.610716126881,7297.456880990105,1875.2019245202678,-191.62510255497745,-41.07964799188608,-1398.9459958704126,-2024.8211404587473,-97.93458361337909,49.33408823667015,38.462886052968386,-39.14510608686584,426.5483486472486,-0.45988490329905485,-420.0503177182855,148.3110323658136,-0.24191149595097944,-5.316123816278543,50.5145370422224,70.11643327478932,65.95558216874245,98.67065660739604,-6.113062003389549,37.45670963661158,-26.85753661443981
qEF,1304.6366367454486,-1584.2204876736196,-1760.1513504171958,-575.5383072399882,1875.2019245202678,3323.145131324814,-971.0240681901355,-787.3817430621405,-444.1841952609851,-160.28690306066312,-7.801878546946673,42.76156483928326,40.1375829705139,-44.14110376418518,339.7166410330201,-0.3902878976966224,-370.7394615079885,55.72990692773203,0.16346573280514254,4.239501643771697,40.6865706617272,57.749924658062355,99.0267074865688,100.06628674448956,0.6468263900621247,34.89015114394885,90.9242005089212
iG,-610.3217675080208,709.0540744268632,-133.43325463915824,-26.22922036825934,-191.62510255497745,-971.0240681901355,355.9268927904756,439.8879895765148,-57.21261300678144,22.067952630095,1.0898074092152217,-20.258114058508365,-21.301386016286123,24.381082038916567,-151.70916381887733,0.18247976746967157,176.54447136708072,-6.456613117820663,-0.08303367158220828,-1.9064631832069812,-17.567077482590566,-25.008721134967328,-41.66298882673106,-39.88434259112031,-0.7366576007934214,-16.10361098820996,-43.98294982575088
iE,-1661.8680569070832,1639.38156012731,-1423.969322097273,-490.81825224969896,-41.07964799188608,-787.3817430621405,439.8879895765148,1244.5681761431774,-461.852547105238,-253.45665460271863,-11.26561136571955,-21.92122168526864,-28.54957827275128,34.5063239922019,-146.7123863926749,0.20029004020610303,202.47053154401294,40.55138889641447,-0.13183343847903092,-3.77139710561819,-21.34576635830661,-33.04445634900298,-40.09745841385991,-41.40407095231531,-0.6879672593971443,-30.31608353680599,-32.0215944973691
Kd0,260.7876214546469,-224.87438684398373,2063.272853995681,645.3897722889907,-1398.9459958704126,-444.1841952609851,-57.21261300678144,-461.852547105238,913.3749179637808,-22.94873180128848,-1.1223908900190094,9.379626365011436,18.618944171352396,-24.380221393459628,20.2096321473123,-0.05729978310351139,-94.66041978090927,-152.43628544402637,-0.01692535265286174,-0.6074341430463833,1.5777218104420236e-26,3.944304526105059e-27,-2.359376703354943,-2.4961031268584897,-0.17762028126047033,1.5777218104420236e-26,-3.46822441046272
gammaG0,329.8494126656784,-272.0477913216551,-536.5991547100236,-55.499578637003154,-2024.8211404587473,-160.28690306066312,22.067952630095,-253.45665460271863,-22.94873180128848,3063.091886584826,144.26106339365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
