analysis,direction,eigenvalue,relative_eigenvalue
current_pilot,1,3.466488530097399e-14,3.416823243869989e-19
current_pilot,2,0.004216260823015284,4.1558533533910915e-08
current_pilot,3,0.007747414189245801,7.63641496340374e-08
current_pilot,4,0.24732108009286577,2.437776464059413e-06
current_pilot,5,6.829656614589103,6.731806341134148e-05
current_pilot,6,9.110855038449824,8.980321439583902e-05
current_pilot,7,12.003135908463571,0.00011831163846434681
current_pilot,8,24.8073059742511,0.0002445188522468136
current_pilot,9,38.1955978749915,0.0003764835957184465
current_pilot,10,62.95373595011501,0.0006205178133872635
current_pilot,11,138.2878930942681,0.00136306606344671
current_pilot,12,160.315521775138,0.0015801863943829232
current_pilot,13,318.46657810737247,0.003139038242951964
current_pilot,14,404.1412237664293,0.003983509869373198
current_pilot,15,410.2066416290235,0.004043295039745921
current_pilot,16,607.1608316678715,0.005984618799104832
current_pilot,17,614.3932689465934,0.006055906961720141
current_pilot,18,639.2480164777066,0.006300893432459861
current_pilot,19,1366.0577169096287,0.013464858513389173
current_pilot,20,1788.8950572162073,0.01763265090673394
current_pilot,21,3397.09949941132,0.03348428367943155
current_pilot,22,3800.0852033672395,0.03745640390503982
current_pilot,23,8387.944622958477,0.08267768350358148
current_pilot,24,13059.307238433365,0.12872203134006902
current_pilot,25,14882.848091359727,0.14669617641029728
current_pilot,26,55762.12963299291,0.5496321104294792
current_pilot,27,101453.55152089044,1.0
