fit,n_batches,mediums,parameters,n_parameters,success,status,message,nfev,initial_wsse,final_wsse,n_residuals,dof,wsse_per_residual,wsse_per_dof,l2_lambda,l2_parameters
pilot_core_l2_multistart_00,8.0,natural,"mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11.0,True,3,`xtol` termination condition is satisfied.,7,22183.64922788489,22046.294701398947,786,775.0,28.048720994146244,28.446831872772833,0.35,"mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0"
pilot_core_l2_multistart_01,8.0,natural,"mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11.0,True,3,`xtol` termination condition is satisfied.,11,78166.14880684718,15675.571085969037,786,775.0,19.943474664082743,20.22654333673424,0.35,"mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0"
pilot_secondary_v2_reduced_o2fixed,,,,,True,2,`ftol` termination condition is satisfied.,12,2963.0147409042174,2799.046280634435,237,,11.810321859217025,,,
pilot_aroma_multistart_00,,,,,True,2,`ftol` termination condition is satisfied.,10,1377194.3415379399,4076.145455751784,297,,13.72439547391173,,,
pilot_aroma_multistart_01,,,,,True,2,`ftol` termination condition is satisfied.,15,2440635.984401067,4075.732624142096,297,,13.723005468491905,,,
pilot_aroma_multistart_02,,,,,True,2,`ftol` termination condition is satisfied.,19,850681.5737957074,4074.883530947408,297,,13.720146568846491,,,
