combo,score,logdet,min_rel,cond,mean,worst,sN,qN,mu0,kEO
fructose_rich_iG_probe | low_temp_growth_separation_plus_co2 | combined_stress_long_horizon,134.39917655153081,138.54978255798108,7.771492905162872e-06,128675.40538262157,0.9307221062526585,0.503613474046565,0.503613474046565,0.8119415368511124,0.854708557765502,0.96769394049861
fructose_rich_iG_probe | combined_stress_long_horizon | glucose_rich_growth_yield,134.2684517055147,139.452928231176,6.913291717610447e-06,144648.89387680087,0.9317592151335495,0.4631030324982771,0.4631030324982771,0.801307972961889,0.8536338176384437,0.9569817539989955
fructose_rich_iG_probe | cold_synthesis_hot_stripping | low_temp_growth_separation_plus_co2,132.79171283572856,135.93081086672257,8.830912583214898e-06,113238.57988366018,0.9311258526498377,0.5412073919635016,0.5412073919635016,0.8275747739420973,0.8697412471748696,0.9697410045549738
fructose_rich_iG_probe | cold_synthesis_hot_stripping | glucose_rich_growth_yield,132.7779939714649,137.4377073553155,5.856674465632256e-06,170745.36170110406,0.9331659642892036,0.5052242099423963,0.5052242099423963,0.8274585086596569,0.8692223246705698,0.9642293375025559
fructose_rich_iG_probe | cold_synthesis_hot_stripping | combined_stress_long_horizon,132.75449816183774,138.17426335477322,3.827284818039036e-06,261281.83491511465,0.9249899252578963,0.5138522708214501,0.5138522708214501,0.8022258149986748,0.8561566126189176,0.9634889285806688
fructose_rich_iG_probe | glucose_rich_growth_yield | ethanol_initial_challenge,131.65917646918342,136.38579914502645,6.796463905001788e-06,147135.33595963928,0.929839373504833,0.4886599889561014,0.4886599889561014,0.802922501217727,0.8510370322270595,0.953449036476844
fructose_rich_iG_probe | cold_synthesis_hot_stripping | ethanol_initial_challenge,131.63656140509232,135.6566728756469,6.1991977724371374e-06,161311.19488495728,0.9245738187976555,0.5358165836561868,0.5358165836561868,0.7997687237400319,0.8423289612715051,0.9607131863708742
fructose_rich_iG_probe | low_temp_growth_separation_plus_co2 | glucose_rich_growth_yield,131.5637880596882,135.44939898502588,7.908336796479314e-06,126448.8381988469,0.9294232444378013,0.5157671379367653,0.5157671379367653,0.8294707195121946,0.8747545539107384,0.9668338606689315
low_temp_growth_separation_plus_co2 | combined_stress_long_horizon | glucose_rich_growth_yield,131.40817268037128,135.28311440923062,9.508672753701363e-06,105167.14854980558,0.9295291358665349,0.49781897106125317,0.49781897106125317,0.8109041520732095,0.852780047641906,0.9647086647352215
fructose_rich_iG_probe | combined_stress_long_horizon | yan_saturation_scan,130.9617354405199,134.41400583157977,5.154372140107703e-06,194010.05065557887,0.9252810374596271,0.5823124861378424,0.5823124861378424,0.7974780459007905,0.8462004687252076,0.9411736104758754
fructose_rich_iG_probe | low_temp_growth_separation_plus_co2 | ethanol_initial_challenge,130.89060082082523,134.44930252231933,8.101893747591034e-06,123427.93316653081,0.9246856068149027,0.5320633842791459,0.5320633842791459,0.8118093197862847,0.8543294524611547,0.9649635760971943
fructose_rich_iG_probe | cold_synthesis_hot_stripping | glucose_pulse_after_N_depletion,130.81567055349225,134.26262052845252,8.752735109773218e-06,114250.00156618585,0.9281895815581204,0.528172142719413,0.528172142719413,0.7883258256445824,0.8628705345624399,0.9598044611579515
fructose_rich_iG_probe | yan_saturation_scan | glucose_rich_growth_yield,130.69907554177755,132.4434525055648,6.8677770575953284e-06,145607.522144893,0.9317806636039576,0.6357578276579867,0.6357578276579867,0.818422216798007,0.9005324358282695,0.9477501855581068
fructose_rich_iG_probe | cold_synthesis_hot_stripping | high_biomass_low_N_maintenance,130.696508650064,135.65226731478225,6.514434771562268e-06,153505.25948396037,0.9249598546067289,0.48388115037687995,0.48388115037687995,0.8140770104552698,0.8762722885240775,0.966208675862001
