,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary
mu0,86021.07170868131,743.487980261785,-67467.62188620289,312.09487467436685,207.47595501677404,39753.001796986566,12631.490413506537,17587.15866219686,3751.422764594547,7703.485870436745,4111.676493635747,-11702.112906952532,-46899.28795940358,-3732.1618957088353,432.4726796033908,117.09395330999128,1497.3440146364485,242.835337255205,4467.2980399021235,101.37959109505465,1761.8928590707626
sN,743.487980261785,12.554556608549083,-467.41899946419215,6.509741827335393,4.545464916345579,220.81742637079807,88.74163668270779,89.48084491051462,24.707337133461444,168.91350927654244,76.90162686784569,-94.59034726685167,-345.4724544185484,-18.06524231728063,8.560009597990055,3.356860067092268,36.201344596280755,7.695800583733245,120.2986098779684,3.1389402226476695,46.17844163971796
qN,-67467.62188620289,-467.41899946419215,56108.69330473015,-219.7722636284974,-168.32793412995173,-31349.062070256048,-10353.44138324112,-14245.216247151497,-3180.496105567109,-5884.936888026524,-3522.3032155563906,9443.246160770494,38315.14047356235,3313.3450411131926,-360.96176004607935,-75.04455817910211,-1100.2363970491467,-148.04125235577087,-3152.084755967683,-62.38837122457326,-1251.5566336425309
qXG,312.09487467436685,6.509741827335393,-219.7722636284974,27.041727240761997,12.393967081723208,-472.90741630813216,33.83119760047001,-171.31495024026583,2.9260049863427104,659.7226179561316,198.14510187090963,-15.268876454083646,-123.52584837464407,1.0882926490962248,27.253284766248832,3.5492731449344954,39.71920219058929,6.345154831970491,100.65612072081063,2.60077627544405,38.29223944393274
qXF,207.47595501677404,4.545464916345579,-168.32793412995173,12.393967081723208,31.21100802350174,-359.06776352737785,-21.23175415246599,-173.11580986939163,28.774593477353363,298.00629212977344,380.66513246079506,-121.08817993924013,-80.78853832631277,-2.310869233946535,29.765455107062284,3.062024089183109,32.87156896190368,5.36518697684324,80.96535663859088,2.1986302800563555,30.709765100917593
betaG0,39753.001796986566,220.81742637079807,-31349.062070256048,-472.90741630813216,-359.06776352737785,39004.2345993066,6372.901228167908,16340.290958953294,1747.2112348950207,-15205.856036345325,-6196.535834785097,-5497.346975136701,-22874.31509716402,-1778.831010513871,-775.8132934056196,-74.26778200613687,-1132.0613713636674,-146.1411723971608,-3186.8497609194483,-58.635930822898096,-1198.0559898875706
sG,12631.490413506537,88.74163668270779,-10353.44138324112,33.83119760047001,-21.23175415246599,6372.901228167908,2126.5610936749154,3030.9274185807594,540.246818601417,1082.759928996215,-144.38429436841113,-1508.8325292635006,-7293.281085821973,-680.1572638559751,19.33081446423362,12.364742132810598,179.12030019981762,25.413611698309886,531.7933290100045,10.722353636691622,212.00044900211032
betaF0,17587.15866219686,89.48084491051462,-14245.216247151497,-171.31495024026583,-173.11580986939163,16340.290958953294,3030.9274185807594,7134.953300005656,753.408680930695,-5547.085403858915,-2988.7402080613365,-2199.3961939477044,-10362.66579080631,-907.7235531382074,-330.24742184954835,-26.951553262253718,-432.8914638952432,-53.17585664051035,-1221.6269888932807,-21.31676779104226,-459.42878929979184
sF,3751.422764594547,24.707337133461444,-3180.496105567109,2.9260049863427104,28.774593477353363,1747.2112348950207,540.246818601417,753.408680930695,249.52298346878635,22.199758798208173,549.070452988262,-678.9260458112435,-2211.4964932158573,-257.5130583557589,34.96252398230444,5.254662115630378,83.96761510177731,10.817129697193472,248.69049716879562,4.525442608621705,98.11185696067557
qEG,7703.485870436745,168.91350927654244,-5884.936888026524,659.7226179561316,298.00629212977344,-15205.856036345325,1082.759928996215,-5547.085403858915,22.199758798208173,19924.100172033206,5787.764567577769,-115.6468316888877,-3319.7572504218683,-81.90886873436031,859.1920513786328,117.9402171319041,1677.9957640899374,233.0913932889061,4762.413307649396,95.50033452518016,1830.3212249061871
qEF,4111.676493635747,76.90162686784569,-3522.3032155563906,198.14510187090963,380.66513246079506,-6196.535834785097,-144.38429436841113,-2988.7402080613365,549.070452988262,5787.764567577769,6301.24759597959,-1817.7336334572801,-1937.1303328393974,-193.83621448494722,537.3813535295628,57.749856213067154,866.3132728836545,115.49153319636105,2486.5304345940954,47.37008265398822,958.0694504645053
iG,-11702.112906952532,-94.59034726685167,9443.246160770494,-15.268876454083646,-121.08817993924013,-5497.346975136701,-1508.8325292635006,-2199.3961939477044,-678.9260458112435,-115.6468316888877,-1817.7336334572801,2188.2668793608036,6529.798275809097,528.834263592041,-112.10725960809947,-16.4671340408029,-220.18577037466684,-32.96771080493312,-636.3211924147486,-13.791302963828059,-250.954133924922
iE,-46899.28795940358,-345.4724544185484,38315.14047356235,-123.52584837464407,-80.78853832631277,-22874.31509716402,-7293.281085821973,-10362.66579080631,-2211.4964932158573,-3319.7572504218683,-1937.1303328393974,6529.798275809097,26803.668793983667,2324.5262913531747,-201.03090974147563,-54.030673010978695,-764.610295453171,-111.15015794715987,-2265.917817333836,-46.64679917736515,-898.0986428060115
Kd0,-3732.1618957088353,-18.06524231728063,3313.3450411131926,1.0882926490962248,-2.310869233946535,-1778.831010513871,-680.1572638559751,-907.7235531382074,-257.5130583557589,-81.90886873436031,-193.83621448494722,528.834263592041,2324.5262913531747,501.8105211393787,-17.350783123037193,-4.834143021776304,-92.7643108916077,-10.144459206485735,-278.78101253604325,-4.267070644207742,-110.53735750965781
m0,432.4726796033908,8.560009597990055,-360.96176004607935,27.253284766248832,29.765455107062284,-775.8132934056196,19.33081446423362,-330.24742184954835,34.96252398230444,859.1920513786328,537.3813535295628,-112.10725960809947,-201.03090974147563,-17.350783123037193,55.74561472676255,6.496616309581182,100.47694776866574,13.072491025803895,289.90613202871737,5.364374182195235,111.81966657302658
k_EA_growth,117.09395330999128,3.356860067092268,-75.04455817910211,3.5492731449344954,3.062024089183109,-74.26778200613687,12.364742132810598,-26.951553262253718,5.254662115630378,117.9402171319041,57.749856213067154,-16.4671340408029,-54.030673010978695,-4.834143021776304,6.496616309581182,16.25348763613237,179.2680272398984,-5.407011444853881e-07,-4.374148869843535e-06,-1.1307614531739342e-07,-2.646292076234744e-06
k_EA_stationary,1497.3440146364485,36.201344596280755,-1100.2363970491467,39.71920219058929,32.87156896190368,-1132.0613713636674,179.12030019981762,-432.8914638952432,83.96761510177731,1677.9957640899374,866.3132728836545,-220.18577037466684,-764.610295453171,-92.7643108916077,100.47694776866574,179.2680272398984,2684.7360621655353,-5.146209591160375e-06,-6.043777113333693e-12,1.3623887783050723e-13,-3.428182453737498e-12
k_IAA_growth,242.835337255205,7.695800583733245,-148.04125235577087,6.345154831970491,5.36518697684324,-146.1411723971608,25.413611698309886,-53.17585664051035,10.817129697193472,233.0913932889061,115.49153319636105,-32.96771080493312,-111.15015794715987,-10.144459206485735,13.072491025803895,-5.407011444853881e-07,-5.146209591160375e-06,23.375321299261813,369.53383284573135,-6.38514615320522e-07,4.924828037566343e-12
k_IAA_stationary,4467.2980399021235,120.2986098779684,-3152.084755967683,100.65612072081063,80.96535663859088,-3186.8497609194483,531.7933290100045,-1221.6269888932807,248.69049716879562,4762.413307649396,2486.5304345940954,-636.3211924147486,-2265.917817333836,-278.78101253604325,289.90613202871737,-4.374148869843535e-06,-6.043777113333693e-12,369.53383284573135,7927.4747335602215,-1.2575018671363325e-05,1.279320666194981e-12
k_EO_growth,101.37959109505465,3.1389402226476695,-62.38837122457326,2.60077627544405,2.1986302800563555,-58.635930822898096,10.722353636691622,-21.31676779104226,4.525442608621705,95.50033452518016,47.37008265398822,-13.791302963828059,-46.64679917736515,-4.267070644207742,5.364374182195235,-1.1307614531739342e-07,1.3623887783050723e-13,-6.38514615320522e-07,-1.2575018671363325e-05,10.302925785105987,153.38327141577216
k_EO_stationary,1761.8928590707626,46.17844163971796,-1251.5566336425309,38.29223944393274,30.709765100917593,-1198.0559898875706,212.00044900211032,-459.42878929979184,98.11185696067557,1830.3212249061871,958.0694504645053,-250.954133924922,-898.0986428060115,-110.53735750965781,111.81966657302658,-2.646292076234744e-06,-3.428182453737498e-12,4.924828037566343e-12,1.279320666194981e-12,153.38327141577216,3101.419544235732
