,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary
mu0,21119.883019495865,266.5129657639675,-19619.028677421302,34.89578772771374,41.06975986049788,12594.753694770394,5467.427885827108,7453.725122465483,1482.3104011969276,2869.7567420939968,2066.286691811752,-4464.3747517845695,-12599.747292826498,2.3552743247271695e-10,144.09456843180826,13.24218617822127,512.4546362648678,26.546436324785034,1480.1620718892568,10.674115327478631,564.5548856397157
sN,266.5129657639675,6.748358768795274,-228.397779035026,1.096204598655735,1.1690275512198065,127.93667084541104,66.05018746699368,78.2378692666473,17.779082455631908,61.993157945345814,46.26233544928723,-58.262860162844,-142.96220854401633,3.4461276879230486e-12,2.9582887320332882,0.5052698954447342,15.060725626519108,1.1132575220005072,47.90213617536931,0.44234744384551,17.9192479734403
qN,-19619.028677421302,-228.397779035026,18346.159987123556,-31.772789037052483,-37.9054204421277,-11676.168493854253,-5085.515222934064,-6906.5658254496975,-1386.2742559663861,-2688.33260063339,-1938.9561606154402,4148.479046776539,11795.156899511623,-2.139477140796325e-10,-135.76607011998797,-11.280261732831164,-456.62537690462193,-22.13965952606725,-1297.9182044810323,-8.918613971817738,-496.1566274709168
qXG,34.89578772771374,1.096204598655735,-31.772789037052483,1.8641299005730405,0.8165208814508494,-63.50163542131904,10.666295473965334,-27.11729452508024,1.0335791776377998,94.28238360476199,33.68540850001246,-3.0318113929815285,-17.75335875050549,-4.804842388189012e-13,2.981667559133263,0.2595351646184583,8.061137843106117,0.4809410069264174,21.333171418353352,0.19272990131143464,7.998689569712681
qXF,41.06975986049788,1.1690275512198065,-37.9054204421277,0.8165208814508494,2.3008120734377555,-37.10053880959005,-0.2529179142392768,-25.66837776596267,7.292414924372434,36.251161830541925,77.24530876612606,-24.150558333125602,-20.46444373608643,-1.552849385871471e-13,3.745741354327021,0.24254594169620916,7.379776859176086,0.44722804704889363,19.387348016656496,0.17923601782858387,7.262169897423544
betaG0,12594.753694770394,127.93667084541104,-11676.168493854253,-63.50163542131904,-37.10053880959005,13247.620946577175,3350.959755215212,7319.945947423833,884.1306834063301,-3746.996684840314,-1623.7200818228578,-2675.5426557466767,-7629.110632650755,1.917204807021727e-10,-134.4335846368668,-8.514070298603118,-348.92319856739346,-16.85486801419891,-993.5542109161136,-6.704204110456108,-373.73272435437343
sG,5467.427885827108,66.05018746699368,-5085.515222934064,10.666295473965334,-0.2529179142392768,3350.959755215212,1518.0311639574104,2069.0331060797525,340.6572479965389,938.687077274906,97.08101572525847,-1015.4927900666694,-3294.9906732387017,6.211761334179829e-11,22.802842555986032,2.8042261173786107,109.83722843053586,5.585078025681891,315.8024327640267,2.2491645551813306,120.69658582525115
betaF0,7453.725122465483,78.2378692666473,-6906.5658254496975,-27.11729452508024,-25.66837776596267,7319.945947423833,2069.0331060797525,4167.834214848196,478.04166402144165,-1462.257690048725,-1088.347965983614,-1444.2776787319992,-4505.0414820085625,1.1168303630186825e-10,-70.9587082453462,-3.8276401437013634,-159.8593631921501,-7.582170895760914,-455.3060573863649,-3.013013665298701,-171.0919817324841
sF,1482.3104011969276,17.779082455631908,-1386.2742559663861,1.0335791776377998,7.292414924372434,884.1306834063301,340.6572479965389,478.04166402144165,127.85869566348207,75.397951674601,336.2697289965844,-382.1529146138818,-896.1468594908968,1.4488645179927157e-11,15.904840377379188,1.0206643704771503,42.004356284382766,2.0354369951902216,120.86823520220815,0.8174852779766985,46.0776784915163
qEG,2869.7567420939968,61.993157945345814,-2688.33260063339,94.28238360476199,36.251161830541925,-3746.996684840314,938.687077274906,-1462.257690048725,75.397951674601,6396.9623900027555,1887.2767263446333,-196.82724265096408,-1659.4878146294807,-1.2889204678807151e-11,198.11492478224832,16.386647312376272,654.0752922959555,32.4908916456295,1869.0374557863615,13.013123123019476,708.900688148141
