,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary
mu0,75548.4160766935,577.7969857496389,-66039.06488905654,471.17283157836346,286.77061927217324,37869.11558597437,10589.959188965006,14775.967803807158,2190.0708710021863,15266.949777928206,5179.849601529137,-11767.991900635601,-50731.50432749141,-9438.93186120215,794.5916040462573,73.8577348741089,1552.2605243845028,156.61179580722643,4706.5589564823995,66.85668957181628,1884.4000824979785
sN,577.7969857496389,10.652094622460195,-406.8166715490607,6.1757830315976765,4.187972884059787,173.6359230171916,67.86356038036418,62.27534367232995,14.40520614250354,206.46248343706915,75.61388996103679,-84.61985213811745,-343.80981247855067,-46.45274503246332,11.094452882712933,2.0307105787543778,37.71651503032938,4.7785265474322465,128.29042520354577,1.9909735366389354,50.120043868648885
qN,-66039.06488905654,-406.8166715490607,59738.5696478657,-416.3431127510278,-272.96092895136604,-32726.87832768207,-9449.509094870178,-13011.850497184943,-1984.6451013868234,-13817.536352861183,-4935.049623961349,10515.367423651833,45112.888772289516,8807.951236025136,-741.9122716832538,-57.37319397101064,-1295.5981406130284,-117.65231535050954,-3809.9984633065624,-50.61765766978282,-1533.7477760825514
qXG,471.17283157836346,6.1757830315976765,-416.3431127510278,25.260690263492876,9.154098006267816,-400.88679112320483,71.06309689860258,-106.66209852146699,6.107448598892807,772.2154182833432,158.16708334715202,-28.268840243896054,-292.95034364870264,-57.964417481490834,31.772577060029036,2.488195428192671,48.635565758507376,4.690722695568829,131.3445401803499,1.99478908461374,52.219120176375995
qXF,286.77061927217324,4.187972884059787,-272.96092895136604,9.154098006267816,29.180445947886458,-293.6632394799473,-2.2432075184697995,-120.6029566252495,28.50492506057329,278.98314787046775,391.60865971075725,-165.05555171499267,-169.58914001655603,-45.46702449110452,37.760791757957755,2.234548166985357,42.82839100715425,4.163427667148448,114.15226617609872,1.771852452230244,45.424408974168784
betaG0,37869.11558597437,173.6359230171916,-32726.87832768207,-400.88679112320483,-293.6632394799473,44739.18376850477,5499.447613736393,15796.59244017723,1100.8987450082623,-16050.788366646093,-5538.332694308741,-6178.121465069309,-26521.985260123507,-3776.162490837223,-868.8177441630414,-63.241513087153656,-1576.5700257429141,-130.19393315714552,-4622.861726890171,-54.50953610756954,-1809.513047522993
sG,10589.959188965006,67.86356038036418,-9449.509094870178,71.06309689860258,-2.2432075184697995,5499.447613736393,1651.9775533652212,2295.812270467856,265.94462152436137,2509.861551323288,75.92646867969503,-1371.3861201530217,-7331.367730566634,-1521.886607668242,69.95384782033574,7.662896906158863,171.1525909747232,16.210366550830773,518.450947928727,6.988583550849473,209.5309457039928
betaF0,14775.967803807158,62.27534367232995,-13011.850497184943,-106.66209852146699,-120.6029566252495,15796.59244017723,2295.812270467856,5836.596237401991,400.1079840231112,-4385.201163804902,-2199.007401294157,-2142.2832985338737,-10477.783314518214,-1863.3673895613526,-293.65619584641223,-19.82595544273442,-506.1474872440819,-40.678065031452036,-1477.6789385721406,-16.96709914119856,-575.9669818462216
sF,2190.0708710021863,14.40520614250354,-1984.6451013868234,6.107448598892807,28.50492506057329,1100.8987450082623,265.94462152436137,400.1079840231112,96.97995241557118,169.72793868049962,478.58680726921034,-514.7496272390867,-1507.7823430969463,-342.73788890424703,42.58005964798952,2.5376878738320316,59.65302470724546,5.355643385080684,179.71979280457694,2.2938263189615995,72.03872224512693
qEG,15266.949777928206,206.46248343706915,-13817.536352861183,772.2154182833432,278.98314787046775,-16050.788366646093,2509.861551323288,-4385.201163804902,169.72793868049962,28056.98160967798,5716.873593349508,-672.7405442355475,-9657.17667506229,-2438.658790225697,1180.9062270658544,100.34640969173849,2322.8655421196577,206.8050208387483,6833.215029406198,87.45154557676443,2701.580567201739
