combo,score,logdet,min_rel,cond,mean,worst,sN,qN,mu0,kEO
fructose_rich_iG_probe | combined_stress_long_horizon | low_temp_growth_separation_plus_co2,134.39917655153343,138.54978255798292,7.77149290516456e-06,128675.4053825936,0.9307221062526598,0.5036134740465827,0.5036134740465827,0.8119415368511146,0.8547085577655134,0.9676939404986101
fructose_rich_iG_probe | glucose_rich_growth_yield | combined_stress_long_horizon,134.26845170551022,139.45292823117498,6.913291717610402e-06,144648.8938768018,0.9317592151335391,0.46310303249810936,0.46310303249810936,0.8013079729618539,0.8536338176384282,0.9569817539989955
fructose_rich_iG_probe | cold_synthesis_hot_stripping | low_temp_growth_separation_plus_co2,132.79171283572856,135.93081086672257,8.830912583214898e-06,113238.57988366018,0.9311258526498377,0.5412073919635016,0.5412073919635016,0.8275747739420973,0.8697412471748696,0.9697410045549738
fructose_rich_iG_probe | cold_synthesis_hot_stripping | glucose_rich_growth_yield,132.7779939714649,137.4377073553155,5.856674465632256e-06,170745.36170110406,0.9331659642892036,0.5052242099423963,0.5052242099423963,0.8274585086596569,0.8692223246705698,0.9642293375025559
fructose_rich_iG_probe | cold_synthesis_hot_stripping | combined_stress_long_horizon,132.75449816183774,138.17426335477322,3.827284818039036e-06,261281.83491511465,0.9249899252578963,0.5138522708214501,0.5138522708214501,0.8022258149986748,0.8561566126189176,0.9634889285806688
fructose_rich_iG_probe | ethanol_partition_late_pulse | low_temp_growth_separation_plus_co2,131.76381875474337,135.67008096915544,8.70316161919455e-06,114900.77327698148,0.9257394741948262,0.5069995715633874,0.5069995715633874,0.8084511935256816,0.8512064498496765,0.9654788032484038
fructose_rich_iG_probe | glucose_rich_growth_yield | ethanol_initial_challenge,131.65917646918342,136.38579914502645,6.796463905001788e-06,147135.33595963928,0.929839373504833,0.4886599889561014,0.4886599889561014,0.802922501217727,0.8510370322270595,0.953449036476844
fructose_rich_iG_probe | cold_synthesis_hot_stripping | ethanol_initial_challenge,131.63656140509232,135.6566728756469,6.1991977724371374e-06,161311.19488495728,0.9245738187976555,0.5358165836561868,0.5358165836561868,0.7997687237400319,0.8423289612715051,0.9607131863708742
fructose_rich_iG_probe | glucose_rich_growth_yield | low_temp_growth_separation_plus_co2,131.56378805969388,135.4493989850239,7.908336796479563e-06,126448.83819884292,0.9294232444378239,0.5157671379371362,0.5157671379371362,0.8294707195122396,0.8747545539107924,0.9668338606689316
glucose_rich_growth_yield | combined_stress_long_horizon | low_temp_growth_separation_plus_co2,131.40817268036704,135.2831144092239,9.508672753699965e-06,105167.14854982104,0.9295291358665446,0.4978189710613843,0.4978189710613843,0.8109041520732315,0.8527800476419364,0.9647086647352215
fructose_rich_iG_probe | combined_stress_long_horizon | yan_saturation_scan,130.9617354405199,134.41400583157977,5.154372140107703e-06,194010.05065557887,0.9252810374596271,0.5823124861378424,0.5823124861378424,0.7974780459007905,0.8462004687252076,0.9411736104758754
fructose_rich_iG_probe | glucose_rich_growth_yield | ethanol_partition_late_pulse,130.9228693261175,136.6465097956137,5.4547646325086106e-06,183325.96681446666,0.9254930435564949,0.4629735634190689,0.4629735634190689,0.8005383098317269,0.8501123037448286,0.9543074919296575
fructose_rich_iG_probe | low_temp_growth_separation_plus_co2 | ethanol_initial_challenge,130.89060082082523,134.44930252231933,8.101893747591034e-06,123427.93316653081,0.9246856068149027,0.5320633842791459,0.5320633842791459,0.8118093197862847,0.8543294524611547,0.9649635760971943
