,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary
mu0,32644.282380188226,579.6006102888628,-18424.65484461548,-272.3450651853035,-49.11049889575726,17766.12038536567,4422.988455722637,9555.151890858755,2128.615716379356,-5149.262375419711,-393.20247231604606,-4074.234290884301,-14106.202601307938,-48.1475519006601,-144.5155499926682,82.7408855696099,638.5559026501802,170.0791634305133,1894.8393275186222,69.15333597987978,729.6017156889352
sN,579.6006102888628,18.57594057557104,-194.64539871435176,0.8137429445237835,1.9897653923150331,181.42232261803954,62.41938152780973,86.23363123086096,27.48065733777495,19.84937168191913,41.152783942704204,-59.76436533865272,-199.22984837694418,-0.3625122171393636,3.0281944640881147,4.172962296520269,33.83860546164082,9.457206378561311,111.54414523864764,3.765665047105545,41.85479423040513
qN,-18424.65484461548,-194.64539871435176,13426.685021795174,131.8451198348747,-27.726399317030115,-9637.501549652496,-2740.8784159144734,-5263.870918308074,-1393.3081163065679,2450.4218745585663,-637.992234986724,2542.0944636485688,8905.401951267977,38.72783422648352,5.038631669893398,-23.58273526799321,-205.1034258858153,-37.21648420777403,-469.1419816754599,-15.863897357394121,-190.73771453870066
qXG,-272.3450651853035,0.8137429445237835,131.8451198348747,91.0261809081895,57.86477703363105,-1667.6920641426364,-79.28132621056763,-1021.6691093519745,-80.21035746575046,1600.9413812370783,836.1575695162775,61.07801084216817,256.3057461221047,1.9990380778074608,94.25456678205867,1.8182738946367951,7.94296048947534,2.600482014905001,9.353282137440637,1.035269942769009,2.9412114006700403
qXF,-49.11049889575726,1.9897653923150331,-27.726399317030115,57.86477703363105,55.0592531873587,-1108.2122838746486,-53.34693400391399,-700.4966688065491,-27.114161237986103,1034.7814238258777,703.0889592920207,-18.951490205891893,99.39280308529632,1.0969889097477112,70.40017387378252,1.7830062768872978,8.24289563305357,2.5633209045640744,10.732856724391702,1.0201043701935797,3.489120698072676
betaG0,17766.12038536567,181.42232261803954,-9637.501549652496,-1667.6920641426364,-1108.2122838746486,37977.20916568318,3344.55979594166,22783.32362713434,2105.8979772582816,-30438.726345044975,-16263.492510246864,-2600.300983265319,-10250.556975522972,-23.98150724435432,-1832.282165262823,-33.136599760270215,-293.2600522740975,-61.76660923521188,-776.3657813180296,-23.853353663158895,-278.48581208274925
sG,4422.988455722637,62.41938152780973,-2740.8784159144734,-79.28132621056763,-53.34693400391399,3344.55979594166,730.0529074547501,1931.1353574859002,325.01592063970867,-1435.38558395358,-633.3870090714668,-550.2185369558163,-2180.696784382948,-4.010720096581651,-72.21366162159075,7.263145353739766,60.39246422736417,14.169859710225118,170.20332986417955,5.863429849138609,67.12828574498874
betaF0,9555.151890858755,86.23363123086096,-5263.870918308074,-1021.6691093519745,-700.4966688065491,22783.32362713434,1931.1353574859002,13963.627089888501,1232.1879454147129,-18774.022935020992,-10377.496248731612,-1371.5912500866184,-5798.630843341833,-24.027539691144504,-1160.6966353144142,-18.322839027416105,-182.6582081671113,-35.147018968945154,-502.78654316813015,-13.823407095401091,-186.2876108157407
sF,2128.615716379356,27.48065733777495,-1393.3081163065679,-80.21035746575046,-27.114161237986103,2105.8979772582816,325.01592063970867,1232.1879454147129,260.7851795707084,-1446.1326834279291,-357.4628803570816,-342.59429239031505,-1166.4957183033814,-5.1411480700696135,-57.34149312630278,5.880247864189178,59.68888762235444,11.690412615505009,171.38939435491665,4.733486715086426,65.80621757258287
qEG,-5149.262375419711,19.84937168191913,2450.4218745585663,1600.9413812370783,1034.7814238258777,-30438.726345044975,-1435.38558395358,-18774.022935020992,-1446.1326834279291,28953.194208668585,15425.556340154415,1116.4240057415077,4652.751797504543,35.2134698617228,1743.433869299502,46.092864162455406,355.66606160194874,84.16899481457386,914.5382051545278,33.59977311015618,340.21315961150526
