dataset,workbook,sheet,n_preview_rows,n_columns
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,00_Resumen,3,2
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,Datos_homologados,3,92
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,MS007,3,92
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,MS008,3,92
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,MS009,3,92
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,MS010,3,92
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,MS011,3,92
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,MS012,3,92
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,MS013,3,92
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,MS014,3,92
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,MS015,3,92
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,MS016,3,92
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,Diseño_CCD,3,25
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,Datos_originales,3,21
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,Flags_calidad,1,7
laboratory_synthetic_vl3,mosto_sintetico_vl3.xlsx,Diccionario_mapeo,3,3
pilot_2025,Calibration_data_vl3.xlsx,25026,3,33
pilot_2025,Calibration_data_vl3.xlsx,25027,3,34
pilot_2025,Calibration_data_vl3.xlsx,25085,3,33
pilot_2025,Calibration_data_vl3.xlsx,25086,3,33
pilot_2025,Calibration_data_vl3.xlsx,25150,3,33
pilot_2025,Calibration_data_vl3.xlsx,25151,3,33
pilot_2025,Calibration_data_vl3.xlsx,25170,3,33
pilot_2025,Calibration_data_vl3.xlsx,25171,3,33
