parameter,n_success,max_lr_stat,crosses_left_95,crosses_right_95,profile_identifiable_95,chi2_95_threshold,profile_set
betaF0,6,1062.6307308691755,True,True,True,3.841458820694124,core
betaG0,6,407.6865050484776,True,False,False,3.841458820694124,core
iE,6,423.22113908194297,True,True,True,3.841458820694124,core
iG,6,193.23981224630552,True,True,True,3.841458820694124,core
mu0,6,3051.0807475704896,True,True,True,3.841458820694124,core
qEF,6,5272.555633098309,True,True,True,3.841458820694124,core
qEG,6,6923.70777798062,True,True,True,3.841458820694124,core
qN,6,5911.774168209078,True,True,True,3.841458820694124,core
Kd0,6,374.761028763769,True,True,True,3.841458820694124,weak
gammaF0,6,18.08237925176581,True,True,True,3.841458820694124,weak
iG,6,129.04461635522603,False,True,False,3.841458820694124,weak
m0,6,0.3636271985888015,False,False,False,3.841458820694124,weak
qXF,6,17.857437932496396,True,False,False,3.841458820694124,weak
qXG,6,0.0,False,False,False,3.841458820694124,weak
sF,6,531.0346761036053,True,False,False,3.841458820694124,weak
sN,6,5.950374106912932,True,False,False,3.841458820694124,weak
