analysis,n_residuals,logdet,min_eigenvalue,max_eigenvalue,min_relative_eigenvalue,condition_number,trace,trace_inv,rank_1e-8
natural_current,608,73.81924771432965,0.0368624879837579,81973.23393840755,4.496893219005535e-07,2223757.49500484,154802.383891159,35.07881653606049,17
synthetic_current,542,75.26045747756294,0.002177736106445,62995.44665348667,3.4569738324483896e-08,28927034.11907962,139613.1484890866,474.155178423556,17
mixed_current_reducedprior,1150,85.95870549344103,0.004577250110405,131275.24212066564,3.4867580790273855e-08,28679936.414715223,268080.6328376557,225.8630757160368,17
mixed_current_full_l2,1150,91.2304304242514,0.0255190145187502,132559.23761931513,1.925102691978056e-07,5194528.085005655,274278.8337811357,40.69463870628029,17
