fit,medium,state,n_batches,n_obs,mean_rmse,median_rmse,mean_weighted_rmse,total_wsse
mixed_full17_l2,natural,E,9,44,12.663950525347918,9.688300459618144,6.304188237300988,2033.2413524342428
mixed_full17_l2,natural,F,9,91,14.563482765714845,11.08987667336366,5.825393106285937,2412.2190568861815
mixed_full17_l2,natural,G,9,91,12.959887540717277,8.629095817107736,5.1839550162869115,2255.524505330716
mixed_full17_l2,natural,Gly,9,91,1.2623934785527964,1.1454115899322093,3.525689365749446,998.5244462817636
mixed_full17_l2,natural,N,9,91,0.06211091681469822,0.0335286848072084,4.284510466936041,1345.7951703268059
mixed_full17_l2,natural,X,9,100,0.5413364610640354,0.4716087669589889,6.294272731899299,4043.125062299951
mixed_full17_l2,natural,Xd,9,100,0.11595792104725833,0.1079147024473492,1.8339746745616685,378.83236953860063
mixed_full17_l2,synthetic,E,10,40,8.790744138578145,11.247082785423316,4.018184330657716,844.617510770263
mixed_full17_l2,synthetic,F,10,86,8.2721215598582,7.975194592196793,3.2835329440957963,1167.7974180903532
mixed_full17_l2,synthetic,G,10,86,10.215332734968023,10.58833680321784,4.056449109560228,1748.8875278911978
mixed_full17_l2,synthetic,Gly,10,85,0.8145443457606388,0.6875065592396612,2.3136641503205633,538.7113655106566
mixed_full17_l2,synthetic,N,10,83,0.10254117233030446,0.10436896247826419,7.028135856250543,4363.3550310266855
mixed_full17_l2,synthetic,X,10,76,0.3585529823395422,0.337055597632376,3.872636762490958,1232.6313007334247
mixed_full17_l2,synthetic,Xd,10,86,0.45922420691041266,0.46860196953478084,5.626924576630233,2760.1738783160863
mixed_reduced11,natural,E,9,44,12.957735664581131,10.613656466518892,6.439624003551919,1986.3751533560435
mixed_reduced11,natural,F,9,91,14.6217068404994,10.617287950867915,5.848682736199759,2383.5425691109317
mixed_reduced11,natural,G,9,91,12.560004039940385,8.842347250827256,5.024001615976153,2029.9252943594286
mixed_reduced11,natural,Gly,9,91,1.2221147144747033,1.0731423778727034,3.410990379676607,930.9655379308178
mixed_reduced11,natural,N,9,91,0.06545369814607885,0.0353995541245617,4.468509597531016,1401.653088462076
mixed_reduced11,natural,X,9,100,0.5420162754537551,0.4633378177382551,6.358247006072598,4093.1294821167103
mixed_reduced11,natural,Xd,9,100,0.11257032472290862,0.0955433973084,1.7762701335522992,359.90769947419915
mixed_reduced11,synthetic,E,10,40,10.096898284366606,10.443801698746473,4.472968385586301,958.854806945677
mixed_reduced11,synthetic,F,10,86,8.673183965475266,8.536652668910211,3.438962318767504,1270.2257017566992
mixed_reduced11,synthetic,G,10,86,10.429543660196199,11.118491854933756,4.133632064339026,1857.7692447281909
mixed_reduced11,synthetic,Gly,10,85,0.86745200090796,0.7437279930790474,2.4576831702588997,589.4170475829322
mixed_reduced11,synthetic,N,10,83,0.11152440684918871,0.1114021550090422,7.4318753833138285,4807.281420330524
mixed_reduced11,synthetic,X,10,76,0.38905956934858615,0.36525848382615556,4.545111206261086,1653.5473202564326
mixed_reduced11,synthetic,Xd,10,86,0.46714451071135316,0.476051297169574,5.686194912146351,2816.3278881559622
natural_reduced11,natural,E,9,44,12.407417835086104,8.258281908095077,6.172070114477285,1982.0286040759581
natural_reduced11,natural,F,9,91,14.296508926392598,8.01109259668067,5.71860357055704,2212.951472748038
natural_reduced11,natural,G,9,91,12.527149907323798,7.182791756147261,5.010859962929519,1815.1657212895416
natural_reduced11,natural,Gly,9,91,1.1583278969772257,0.8282802745060532,3.2311220297942587,805.4604188626906
natural_reduced11,natural,N,9,91,0.07842890064881404,0.061653733008429,5.386643435566794,2128.623474053165
natural_reduced11,natural,X,9,100,0.6356100657390678,0.5080294051788482,5.942054977019714,3439.9422622939396
natural_reduced11,natural,Xd,9,100,0.18339824324189158,0.1395685085233362,2.978219075216116,1025.3503421512178
synthetic_reduced11,synthetic,E,10,40,8.476557861025952,9.393439220957042,3.720145903625273,654.4837822853528
synthetic_reduced11,synthetic,F,10,86,7.354148737053459,6.759151218150295,2.915472896889659,888.2139112666292
synthetic_reduced11,synthetic,G,10,86,8.832119971277532,8.10730893846908,3.4946899854759486,1427.4276913967149
synthetic_reduced11,synthetic,Gly,10,85,0.7901249083955477,0.6777698832848364,2.2505111256453167,528.875734113369
synthetic_reduced11,synthetic,N,10,83,0.08302001809290172,0.0811629117078646,6.005471234114,3256.8185097295873
synthetic_reduced11,synthetic,X,10,76,0.40126750145260753,0.4103253878427652,3.9545295228786266,1305.358576552632
synthetic_reduced11,synthetic,Xd,10,86,0.44467067525979226,0.44786537818895067,5.519370876320437,2662.615940634875
