mode,mechanistic_class,description,data_wsse,n_data_residuals,n_parameters,aicc,bic,active_bound_count,mean_relative_rmse,min_corr,params_json,selected,selection_penalty,selection_score
solubility_o2_slow_transition,o2_gated_dissolved_co2,O2-gated dissolved CO2 model with the effective O2 uptake fixed at the slow-transition value indicated by the qfit benchmark; used to avoid estimating a bound-active O2 parameter.,124.65342654331737,301,2,128.6936949996932,136.0676470728151,0,0.6070084411006547,0.8429168806497217,"{""kCO2_release_h"": 0.2669276959271604, ""CO2sat_scale"": 0.4066343341502766, ""O2_qmax_mg_gdw_h"": 0.15, ""O2_K_mg_l"": 0.25, ""O2_ana_K_mg_l"": 0.75, ""O2_ana_hill"": 2.0, ""O2_crabtree_floor"": 0.08, ""O2sat_scale"": 1.0, ""O2_kLa_h"": 0.0, ""O2_25171_fraction"": 0.05}",True,0.0,136.0676470728151
solubility_o2_qfit,o2_gated_dissolved_co2,"Same O2-gated dissolved CO2 model, but the effective O2 uptake scale is fitted to test whether the fixed literature value is adequate.",124.653549877216,301,3,130.73435795802408,141.77488067146265,1,0.6070028665746481,0.8429014985264911,"{""kCO2_release_h"": 0.26702581875198395, ""CO2sat_scale"": 0.4066559138547713, ""O2_qmax_mg_gdw_h"": 0.15000000000000002, ""O2_K_mg_l"": 0.25, ""O2_ana_K_mg_l"": 0.75, ""O2_ana_hill"": 2.0, ""O2_crabtree_floor"": 0.08, ""O2sat_scale"": 1.0, ""O2_kLa_h"": 0.0, ""O2_25171_fraction"": 0.05}",False,35.0,176.77488067146265
old_lag_threshold,empirical_effective,Previous effective lag-threshold model used as a benchmark.,163.4476151670773,301,2,167.48788362345311,174.86183569657504,1,0.70737748868138,0.6495286927977344,"{""qgas_tau_h"": 47.960053368763646, ""qgas_threshold_fraction"": 0.8999999999999074}",False,43.0,217.86183569657504
solubility_o2_literature,o2_gated_dissolved_co2,"Dissolved CO2 buffer with a literature-informed macro-O2 state, Crabtree floor, and O2-gated anaerobic ethanol/CO2 production.",232.3058713117975,301,2,236.3461397681733,243.72009184129524,0,0.8089343709534043,0.50700325958532,"{""kCO2_release_h"": 0.17835568974142976, ""CO2sat_scale"": 0.5001926400178225, ""O2_qmax_mg_gdw_h"": 1.2, ""O2_K_mg_l"": 0.25, ""O2_ana_K_mg_l"": 0.75, ""O2_ana_hill"": 2.0, ""O2_crabtree_floor"": 0.08, ""O2sat_scale"": 1.0, ""O2_kLa_h"": 0.0, ""O2_25171_fraction"": 0.05}",False,0.0,243.72009184129524
solubility_scaled,dissolved_co2,Dissolved CO2 buffer with fitted release rate and saturation scale.,241.48659916622412,301,2,245.5268676226,252.9008196957219,0,0.8087826879362537,0.4216140172336186,"{""kCO2_release_h"": 0.2482212466616185, ""CO2sat_scale"": 0.4679850955083524}",False,0.0,252.9008196957219
solubility_fixed,dissolved_co2,Dissolved CO2 buffer with literature saturation correlation and fitted release rate.,254.58440191131723,301,1,256.59777983773864,260.2915121760661,0,0.8297466811545048,0.3838493120232541,"{""kCO2_release_h"": 1.2804272665214722, ""CO2sat_scale"": 1.0}",False,0.0,260.2915121760661
instant,rate_proxy,CO2 sensor flow is proportional to instantaneous ethanol-derived CO2 production.,240.78837738068813,301,0,242.80175530710957,246.495487645437,0,0.7476039385730463,0.3278241280443469,{},False,25.0,271.49548764543704
