scale,medium,batch,n_rows,t_min_h,t_max_h,temperature_min_c,temperature_max_c,temperature_mean_c,S_initial_g_l,S_final_g_l,YAN_initial_mg_l,E_initial_g_l,E_final_g_l,n_positive_n_pulse_rows,n_aroma_total_obs,n_aroma_condensate_obs,n_co2_sensor_points
pilot,natural,25026,24,0.0,138.0,18.5,22.0,20.791666666666668,147.95,0.52,154.5,6.1542,96.4947,2,40,32,0
pilot,natural,25027,32,0.0,186.0,17.0,20.5,18.8125,155.35000000000002,1.49,162.5,6.1542,96.5736,2,40,32,0
pilot,natural,25085,35,0.0,216.0,17.1,19.1,18.3,100.39,3.46,93.34,9.791789864182933,94.8378,2,40,32,0
pilot,natural,25086,35,0.0,216.0,15.3,28.9,18.482857142857142,136.26,5.279999999999999,92.7,10.888350755538683,95.3112,2,40,32,0
pilot,natural,25150,30,0.0,174.0,19.5,21.6,20.386666666666667,132.64,1.65,94.24,8.273426235211605,94.5222,2,48,40,0
pilot,natural,25151,30,0.0,174.0,19.7,22.0,20.546666666666663,136.8,1.07,90.78,8.273138795548483,94.1277,2,48,40,0
pilot,natural,25170,63,0.0,372.0,14.0,20.0,15.631746031746031,140.16,8.97,98.42,6.560922561112442,95.3901,2,88,80,191
pilot,natural,25171,44,0.0,258.0,13.2,20.8,15.17272727272727,120.42,4.33,116.56,16.276540921344175,93.891,0,64,64,110
