medium,batch,n_time,t_max_h,n_YAN_mg_l,first_YAN_mg_l,last_YAN_mg_l,max_YAN_mg_l,n_PAN_mg_l,first_PAN_mg_l,last_PAN_mg_l,max_PAN_mg_l,n_NH4_mg_l,first_NH4_mg_l,last_NH4_mg_l,max_NH4_mg_l,n_pyruvic_acid,first_pyruvic_acid,last_pyruvic_acid,max_pyruvic_acid,n_pyruvic_acid_2,first_pyruvic_acid_2,last_pyruvic_acid_2,max_pyruvic_acid_2,n_acetaldehyde,first_acetaldehyde,last_acetaldehyde,max_acetaldehyde,n_acetic_acid,first_acetic_acid,last_acetic_acid,max_acetic_acid,n_DO_mg_l,first_DO_mg_l,last_DO_mg_l,max_DO_mg_l,n_benzyl_alcohol_total,first_benzyl_alcohol_total,last_benzyl_alcohol_total,max_benzyl_alcohol_total,n_benzaldehyde_total,first_benzaldehyde_total,last_benzaldehyde_total,max_benzaldehyde_total,n_ethyl_decanoate_total,first_ethyl_decanoate_total,last_ethyl_decanoate_total,max_ethyl_decanoate_total,n_hexyl_acetate_total,first_hexyl_acetate_total,last_hexyl_acetate_total,max_hexyl_acetate_total,n_isoamyl_acetate_total,first_isoamyl_acetate_total,last_isoamyl_acetate_total,max_isoamyl_acetate_total,n_ethyl_octanoate_total,first_ethyl_octanoate_total,last_ethyl_octanoate_total,max_ethyl_octanoate_total,n_phenylethyl_acetate_total,first_phenylethyl_acetate_total,last_phenylethyl_acetate_total,max_phenylethyl_acetate_total,n_ethyl_acetate_total,first_ethyl_acetate_total,last_ethyl_acetate_total,max_ethyl_acetate_total
historical_vl3,25026,24,138.0,11,154.5,18.0,154.5,11,93.0,18.0,93.0,11,75.0,0.0,75.0,11,31.0,18.0,61.0,0,,,,0,,,,0,,,,0,,,,5,0.04191216091666667,0.04937085733333334,0.04937085733333334,5,0.00377283783,0.0058611256125,0.0058611256125,5,0.0016516516474999999,0.014283132279166668,0.029606410049999997,5,0.00423783485,0.43432474958333334,0.5570067433333334,5,0.16440079645416542,10.693966574822793,10.693966574822793,5,0.018882016741666667,0.14105631166666666,0.14466319991666668,5,0.0063562285291666664,0.161175047125,0.20496496541666664,5,1.774577304293678,8.90411298289095,13.92721387178408
historical_vl3,25027,32,186.0,13,162.5,19.92,162.5,13,101.0,15.0,101.0,13,75.0,6.0,75.0,13,24.0,29.0,60.0,13,0.0,5.0,36.0,0,,,,0,,,,0,,,,5,0.0334499490625,0.04183217666666667,0.04183217666666667,5,0.0032859872941666665,0.004667950008333334,0.004667950008333334,5,0.0008601210633333333,0.016853321383333335,0.016853321383333335,5,0.004952730866666667,0.37275502074999994,0.37275502074999994,5,0.16781751764209243,9.619122937845676,9.619122937845676,5,0.012845678733333334,0.09549211537499999,0.09549211537499999,5,0.009810035733333333,0.153142216375,0.17609611887499999,5,1.793548000910494,11.189577524203072,11.189577524203072
historical_vl3,25085,35,216.0,17,93.34,19.2,93.34,17,63.0,11.0,63.0,17,37.0,10.0,37.0,17,29.0,55.0,78.0,0,,,,17,129.0,169.0,211.0,0,,,,0,,,,5,0.0325849730375,0.042559988916666666,0.042559988916666666,5,0.0014069406158333335,0.004390828924999999,0.0048026971,5,0.0016313272954166665,0.006582836912500001,0.006582836912500001,5,0.05960575029166667,0.20738664812500002,0.20738664812500002,5,0.906015276728908,5.921645887449255,5.921645887449255,5,0.017941041604166666,0.060123424125,0.060123424125,5,0.014898908299999998,0.1148949495,0.1148949495,5,2.0633398259379003,10.752416313050086,10.752416313050086
historical_vl3,25086,35,216.0,17,92.7,17.38,92.7,17,64.0,10.0,64.0,17,35.0,9.0,35.0,17,28.0,67.0,77.0,0,,,,17,177.0,170.0,209.0,0,,,,0,,,,5,0.032879164691666664,0.03862121074166667,0.03862121074166667,5,0.0017343435479166666,0.00414540058125,0.00414540058125,5,0.0016865877862499998,0.004995214291666666,0.004995214291666666,5,0.059097828875,0.157431927125,0.16524226875,5,1.208975548534005,6.390338052637132,6.390338052637132,5,0.016916222741666667,0.046756056500000004,0.046756056500000004,5,0.024970381358333335,0.08428671554166667,0.08962020108333334,5,2.1529048612223898,7.906657810572789,7.906657810572789
historical_vl3,25150,30,174.0,14,94.24,10.0,94.24,14,68.0,10.0,68.0,14,32.0,0.0,32.0,13,34.0,49.0,89.0,0,,,,14,210.0,185.0,236.0,0,,,,0,,,,6,0.029902145083333335,0.036937679508333335,0.037664512925,6,0.00201690082375,0.004465425870833334,0.0321345486625,6,0.00094241628,0.005043518287500001,0.005649635291666667,6,0.027530981879166663,0.15815050925,0.18864481591666665,6,0.846134308660326,6.657936484530638,6.657936484530638,6,0.012935534429166668,0.052451552500000005,0.052451552500000005,6,0.0183748773875,0.09348402812500001,0.09612519395833334,6,2.1368610835746,8.508377718257778,8.508377718257778
historical_vl3,25151,30,174.0,14,90.78,11.0,90.78,14,67.0,11.0,67.0,14,29.0,0.0,29.0,13,43.0,69.0,98.0,0,,,,14,217.0,188.0,236.0,0,,,,0,,,,6,0.029952836358333332,0.034263393562499994,0.036585256600000005,6,0.0018809845395833331,0.004285147333333334,0.0046468619791666665,6,0.0006164240116666666,0.0045185287875,0.005022432579166666,6,0.02493003655833333,0.15171351083333331,0.16565346495833336,6,0.877507175756748,6.785890902930111,6.785890902930111,6,0.011556563158333335,0.045336386375,0.045336386375,6,0.014123352775000002,0.08729279779166667,0.10158637141666667,6,2.17809913219592,6.994612466733497,7.503539234917065
historical_vl3,25170,63,372.0,24,98.42,30.28,152.78,24,73.0,27.0,88.0,24,31.0,4.0,79.0,26,25.0,22.0,61.0,0,,,,26,177.0,222.0,284.0,0,,,,0,,,,10,0.03170197342916667,0.038605468004166664,0.0432528665,10,0.00163655645625,0.004407037516666667,0.004407037516666667,10,0.0011478207741666667,0.0086838211625,0.010967358995833334,10,0.11990553520833334,0.24097493208333332,0.302626690625,10,1.6402219250568786,10.041049078185958,10.357273940871188,10,0.029415980641666666,0.08298747925,0.08651038091666667,10,0.017027409895833335,0.10658432295833334,0.10904289333333334,10,4.5963418909964195,10.4127262132328,11.903405814242562
historical_vl3,25171,63,372.0,24,96.6,19.46,164.51999999999998,24,72.0,17.0,95.0,24,30.0,3.0,86.0,26,23.0,23.0,75.0,0,,,,26,172.0,217.0,288.0,0,,,,0,,,,8,0.03266556590833333,0.03970085130833333,0.04173433020833333,8,0.003988230230833333,0.0044867313624999995,0.0044867313624999995,8,0.0,0.0039035,0.0107820997625,8,0.08397417975,0.20058546625,0.34371306779166666,8,0.9414714292843666,8.981338202473976,8.981338202473976,8,0.010165320329166668,0.04930549729166667,0.072552803625,8,0.00021668814508333335,0.0258764948625,0.093821355125,8,2.968266039622245,12.849770328649674,12.924789202520941
natural,LAB004,14,163.0,13,230.76,28.46,230.76,13,93.0,26.0,93.0,13,168.0,3.0,168.0,13,17.0,22.0,58.0,0,,,,13,55.0,93.0,138.0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
natural,LAB005,14,163.0,13,227.29999999999998,32.28,227.29999999999998,13,92.0,29.0,92.0,13,165.0,4.0,165.0,13,6.0,16.0,53.0,0,,,,13,52.0,87.0,141.0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
