medium,batch,time_h,YAN_mg_l,PAN_mg_l,NH4_mg_l,YAN_from_components_mg_l,YAN_component_residual_mg_l
historical_vl3,25026,0.0,154.5,93.0,75.0,168.0,-13.5
historical_vl3,25026,6.0,,,,,
historical_vl3,25026,12.0,66.8,34.0,40.0,74.0,-7.200000000000003
historical_vl3,25026,18.0,,,,,
historical_vl3,25026,24.0,,,,,
historical_vl3,25026,30.0,,,,,
historical_vl3,25026,36.0,13.64,12.0,2.0,14.0,-0.35999999999999943
historical_vl3,25026,42.0,56.62,23.0,41.0,64.0,-7.380000000000003
historical_vl3,25026,48.0,,,,,
historical_vl3,25026,54.0,,,,,
historical_vl3,25026,60.0,13.0,13.0,0.0,13.0,0.0
historical_vl3,25026,66.0,,,,,
historical_vl3,25026,72.0,,,,,
historical_vl3,25026,78.0,,,,,
historical_vl3,25026,84.0,14.0,14.0,0.0,14.0,0.0
historical_vl3,25026,90.0,14.0,14.0,0.0,14.0,0.0
historical_vl3,25026,96.0,,,,,
historical_vl3,25026,102.0,,,,,
historical_vl3,25026,108.0,12.0,12.0,0.0,12.0,0.0
historical_vl3,25026,114.0,14.0,14.0,0.0,14.0,0.0
historical_vl3,25026,120.0,,,,,
historical_vl3,25026,126.0,,,,,
historical_vl3,25026,132.0,15.0,15.0,0.0,15.0,0.0
historical_vl3,25026,138.0,18.0,18.0,0.0,18.0,0.0
historical_vl3,25027,0.0,162.5,101.0,75.0,176.0,-13.5
historical_vl3,25027,6.0,,,,,
historical_vl3,25027,12.0,129.92,84.0,56.0,140.0,-10.080000000000013
historical_vl3,25027,18.0,,,,,
historical_vl3,25027,24.0,,,,,
historical_vl3,25027,30.0,,,,,
historical_vl3,25027,36.0,28.0,28.0,0.0,28.0,0.0
historical_vl3,25027,42.0,66.42,41.0,31.0,72.0,-5.579999999999998
historical_vl3,25027,48.0,,,,,
historical_vl3,25027,54.0,,,,,
historical_vl3,25027,60.0,20.0,20.0,0.0,20.0,0.0
historical_vl3,25027,66.0,,,,,
historical_vl3,25027,72.0,,,,,
historical_vl3,25027,78.0,,,,,
historical_vl3,25027,84.0,14.0,14.0,0.0,14.0,0.0
historical_vl3,25027,90.0,15.0,15.0,0.0,15.0,0.0
historical_vl3,25027,96.0,,,,,
historical_vl3,25027,102.0,,,,,
historical_vl3,25027,108.0,12.0,12.0,0.0,12.0,0.0
historical_vl3,25027,114.0,12.0,12.0,0.0,12.0,0.0
historical_vl3,25027,120.0,,,,,
historical_vl3,25027,126.0,,,,,
historical_vl3,25027,132.0,14.0,14.0,0.0,14.0,0.0
historical_vl3,25027,138.0,12.0,12.0,0.0,12.0,0.0
historical_vl3,25027,144.0,,,,,
historical_vl3,25027,150.0,,,,,
historical_vl3,25027,156.0,13.0,13.0,0.0,13.0,0.0
historical_vl3,25027,162.0,,,,,
historical_vl3,25027,168.0,,,,,
historical_vl3,25027,174.0,,,,,
historical_vl3,25027,180.0,19.92,15.0,6.0,21.0,-1.0799999999999983
historical_vl3,25027,186.0,,,,,
historical_vl3,25085,0.0,93.34,63.0,37.0,100.0,-6.659999999999997
historical_vl3,25085,12.0,74.68,55.0,24.0,79.0,-4.319999999999993
historical_vl3,25085,18.0,,,,,
historical_vl3,25085,24.0,35.82,35.0,1.0,36.0,-0.17999999999999972
historical_vl3,25085,30.0,27.82,27.0,1.0,28.0,-0.17999999999999972
historical_vl3,25085,36.0,,,,,
historical_vl3,25085,42.0,,,,,
historical_vl3,25085,48.0,24.1,20.0,5.0,25.0,-0.8999999999999986
historical_vl3,25085,54.0,20.1,16.0,5.0,21.0,-0.8999999999999986
historical_vl3,25085,60.0,,,,,
historical_vl3,25085,66.0,,,,,
historical_vl3,25085,72.0,10.0,10.0,0.0,10.0,0.0
historical_vl3,25085,78.0,,,,,
historical_vl3,25085,84.0,,,,,
historical_vl3,25085,90.0,,,,,
historical_vl3,25085,96.0,,,,,
historical_vl3,25085,102.0,10.0,10.0,0.0,10.0,0.0
historical_vl3,25085,108.0,,,,,
historical_vl3,25085,114.0,,,,,
historical_vl3,25085,120.0,11.82,11.0,1.0,12.0,-0.17999999999999972
historical_vl3,25085,126.0,13.28,10.0,4.0,14.0,-0.7200000000000006
historical_vl3,25085,132.0,,,,,
historical_vl3,25085,138.0,,,,,
historical_vl3,25085,144.0,15.1,11.0,5.0,16.0,-0.9000000000000004
historical_vl3,25085,150.0,13.46,11.0,3.0,14.0,-0.5399999999999991
historical_vl3,25085,156.0,,,,,
historical_vl3,25085,168.0,14.1,10.0,5.0,15.0,-0.9000000000000004
historical_vl3,25085,174.0,15.739999999999998,10.0,7.0,17.0,-1.2600000000000016
historical_vl3,25085,180.0,,,,,
historical_vl3,25085,186.0,,,,,
historical_vl3,25085,192.0,12.0,12.0,0.0,12.0,0.0
historical_vl3,25085,198.0,12.0,12.0,0.0,12.0,0.0
historical_vl3,25085,204.0,,,,,
historical_vl3,25085,210.0,,,,,
historical_vl3,25085,216.0,19.2,11.0,10.0,21.0,-1.8000000000000007
historical_vl3,25086,0.0,92.7,64.0,35.0,99.0,-6.299999999999997
historical_vl3,25086,12.0,74.68,55.0,24.0,79.0,-4.319999999999993
historical_vl3,25086,18.0,,,,,
historical_vl3,25086,24.0,35.46,33.0,3.0,36.0,-0.5399999999999991
historical_vl3,25086,30.0,26.0,26.0,0.0,26.0,0.0
historical_vl3,25086,36.0,,,,,
historical_vl3,25086,42.0,,,,,
historical_vl3,25086,48.0,25.46,23.0,3.0,26.0,-0.5399999999999991
historical_vl3,25086,54.0,18.28,15.0,4.0,19.0,-0.7199999999999989
historical_vl3,25086,60.0,,,,,
historical_vl3,25086,66.0,,,,,
historical_vl3,25086,72.0,10.0,10.0,0.0,10.0,0.0
historical_vl3,25086,78.0,,,,,
historical_vl3,25086,84.0,,,,,
historical_vl3,25086,90.0,,,,,
historical_vl3,25086,96.0,,,,,
historical_vl3,25086,102.0,10.0,10.0,0.0,10.0,0.0
historical_vl3,25086,108.0,,,,,
historical_vl3,25086,114.0,,,,,
historical_vl3,25086,120.0,12.64,11.0,2.0,13.0,-0.35999999999999943
historical_vl3,25086,126.0,13.28,10.0,4.0,14.0,-0.7200000000000006
historical_vl3,25086,132.0,,,,,
historical_vl3,25086,138.0,,,,,
historical_vl3,25086,144.0,16.92,12.0,6.0,18.0,-1.0799999999999983
historical_vl3,25086,150.0,20.02,11.0,11.0,22.0,-1.9800000000000004
historical_vl3,25086,156.0,,,,,
historical_vl3,25086,168.0,12.46,10.0,3.0,13.0,-0.5399999999999991
historical_vl3,25086,174.0,12.46,10.0,3.0,13.0,-0.5399999999999991
historical_vl3,25086,180.0,,,,,
historical_vl3,25086,186.0,,,,,
historical_vl3,25086,192.0,11.0,11.0,0.0,11.0,0.0
historical_vl3,25086,198.0,12.0,12.0,0.0,12.0,0.0
historical_vl3,25086,204.0,,,,,
historical_vl3,25086,210.0,,,,,
historical_vl3,25086,216.0,17.38,10.0,9.0,19.0,-1.620000000000001
historical_vl3,25150,0.0,94.24,68.0,32.0,100.0,-5.760000000000005
historical_vl3,25150,6.0,80.68,61.0,24.0,85.0,-4.319999999999993
historical_vl3,25150,12.0,,,,,
historical_vl3,25150,18.0,,,,,
historical_vl3,25150,24.0,20.46,18.0,3.0,21.0,-0.5399999999999991
historical_vl3,25150,30.0,40.4,24.0,20.0,44.0,-3.6000000000000014
historical_vl3,25150,36.0,,,,,
historical_vl3,25150,42.0,,,,,
historical_vl3,25150,48.0,14.28,11.0,4.0,15.0,-0.7200000000000006
historical_vl3,25150,54.0,13.46,11.0,3.0,14.0,-0.5399999999999991
historical_vl3,25150,60.0,,,,,
historical_vl3,25150,66.0,,,,,
historical_vl3,25150,72.0,12.46,10.0,3.0,13.0,-0.5399999999999991
historical_vl3,25150,78.0,,,,,
historical_vl3,25150,84.0,,,,,
historical_vl3,25150,90.0,,,,,
historical_vl3,25150,96.0,,,,,
historical_vl3,25150,102.0,13.28,10.0,4.0,14.0,-0.7200000000000006
historical_vl3,25150,108.0,,,,,
historical_vl3,25150,114.0,,,,,
historical_vl3,25150,120.0,11.0,11.0,0.0,11.0,0.0
historical_vl3,25150,126.0,10.0,10.0,0.0,10.0,0.0
historical_vl3,25150,132.0,,,,,
historical_vl3,25150,138.0,,,,,
historical_vl3,25150,144.0,10.0,10.0,0.0,10.0,0.0
historical_vl3,25150,150.0,10.0,10.0,0.0,10.0,0.0
historical_vl3,25150,156.0,,,,,
historical_vl3,25150,162.0,,,,,
historical_vl3,25150,168.0,10.0,10.0,0.0,10.0,0.0
historical_vl3,25150,174.0,10.0,10.0,0.0,10.0,0.0
historical_vl3,25151,0.0,90.78,67.0,29.0,96.0,-5.219999999999999
historical_vl3,25151,6.0,80.5,60.0,25.0,85.0,-4.5
historical_vl3,25151,12.0,,,,,
historical_vl3,25151,18.0,,,,,
historical_vl3,25151,24.0,18.46,16.0,3.0,19.0,-0.5399999999999991
historical_vl3,25151,30.0,34.58,19.0,19.0,38.0,-3.4200000000000017
historical_vl3,25151,36.0,,,,,
historical_vl3,25151,42.0,,,,,
historical_vl3,25151,48.0,12.46,10.0,3.0,13.0,-0.5399999999999991
historical_vl3,25151,54.0,18.2,10.0,10.0,20.0,-1.8000000000000007
historical_vl3,25151,60.0,,,,,
historical_vl3,25151,66.0,,,,,
historical_vl3,25151,72.0,13.28,10.0,4.0,14.0,-0.7200000000000006
historical_vl3,25151,78.0,,,,,
historical_vl3,25151,84.0,,,,,
historical_vl3,25151,90.0,,,,,
historical_vl3,25151,96.0,,,,,
historical_vl3,25151,102.0,17.2,9.0,10.0,19.0,-1.8000000000000007
historical_vl3,25151,108.0,,,,,
historical_vl3,25151,114.0,,,,,
historical_vl3,25151,120.0,10.0,10.0,0.0,10.0,0.0
historical_vl3,25151,126.0,11.0,11.0,0.0,11.0,0.0
historical_vl3,25151,132.0,,,,,
historical_vl3,25151,138.0,,,,,
historical_vl3,25151,144.0,11.0,11.0,0.0,11.0,0.0
historical_vl3,25151,150.0,11.0,11.0,0.0,11.0,0.0
historical_vl3,25151,156.0,,,,,
historical_vl3,25151,162.0,,,,,
historical_vl3,25151,168.0,11.0,11.0,0.0,11.0,0.0
historical_vl3,25151,174.0,11.0,11.0,0.0,11.0,0.0
historical_vl3,25170,0.0,98.42,73.0,31.0,104.0,-5.579999999999998
historical_vl3,25170,6.0,,,,,
historical_vl3,25170,12.0,102.7,74.0,35.0,109.0,-6.299999999999997
historical_vl3,25170,18.0,101.06,74.0,33.0,107.0,-5.939999999999998
historical_vl3,25170,24.0,,,,,
historical_vl3,25170,30.0,,,,,
historical_vl3,25170,36.0,95.42,70.0,31.0,101.0,-5.579999999999998
historical_vl3,25170,42.0,146.68,86.0,74.0,160.0,-13.319999999999993
historical_vl3,25170,48.0,,,,,
historical_vl3,25170,54.0,,,,,
historical_vl3,25170,60.0,152.78,88.0,79.0,167.0,-14.219999999999999
historical_vl3,25170,66.0,118.74,72.0,57.0,129.0,-10.260000000000005
historical_vl3,25170,72.0,,,,,
historical_vl3,25170,78.0,,,,,
historical_vl3,25170,84.0,68.86,50.0,23.0,73.0,-4.140000000000001
historical_vl3,25170,90.0,,,,,
historical_vl3,25170,96.0,,,,,
historical_vl3,25170,102.0,,,,,
historical_vl3,25170,108.0,32.0,32.0,0.0,32.0,0.0
historical_vl3,25170,114.0,27.0,27.0,0.0,27.0,0.0
historical_vl3,25170,120.0,,,,,
historical_vl3,25170,126.0,,,,,
historical_vl3,25170,132.0,,,,,
historical_vl3,25170,138.0,26.0,26.0,0.0,26.0,0.0
historical_vl3,25170,144.0,,,,,
historical_vl3,25170,150.0,,,,,
historical_vl3,25170,156.0,29.0,29.0,0.0,29.0,0.0
historical_vl3,25170,162.0,28.56,22.0,8.0,30.0,-1.4400000000000013
historical_vl3,25170,168.0,,,,,
historical_vl3,25170,174.0,,,,,
historical_vl3,25170,180.0,25.46,23.0,3.0,26.0,-0.5399999999999991
historical_vl3,25170,186.0,24.64,23.0,2.0,25.0,-0.35999999999999943
historical_vl3,25170,192.0,,,,,
historical_vl3,25170,198.0,,,,,
historical_vl3,25170,204.0,23.82,23.0,1.0,24.0,-0.17999999999999972
historical_vl3,25170,210.0,23.82,23.0,1.0,24.0,-0.17999999999999972
historical_vl3,25170,216.0,,,,,
historical_vl3,25170,222.0,,,,,
historical_vl3,25170,228.0,,,,,
historical_vl3,25170,234.0,24.82,24.0,1.0,25.0,-0.17999999999999972
historical_vl3,25170,240.0,,,,,
historical_vl3,25170,246.0,,,,,
historical_vl3,25170,252.0,26.46,24.0,3.0,27.0,-0.5399999999999991
historical_vl3,25170,258.0,,,,,
historical_vl3,25170,264.0,,,,,
historical_vl3,25170,270.0,,,,,
historical_vl3,25170,276.0,34.82,34.0,1.0,35.0,-0.17999999999999972
historical_vl3,25170,282.0,,,,,
historical_vl3,25170,288.0,,,,,
historical_vl3,25170,294.0,,,,,
historical_vl3,25170,300.0,34.0,34.0,0.0,34.0,0.0
historical_vl3,25170,306.0,,,,,
historical_vl3,25170,312.0,,,,,
historical_vl3,25170,318.0,,,,,
historical_vl3,25170,324.0,24.0,24.0,0.0,24.0,0.0
historical_vl3,25170,330.0,14.0,14.0,0.0,14.0,0.0
historical_vl3,25170,336.0,,,,,
historical_vl3,25170,342.0,,,,,
historical_vl3,25170,348.0,,,,,
historical_vl3,25170,354.0,,,,,
historical_vl3,25170,360.0,,,,,
