medium,variable,n_obs,n_batches,min,median,max
historical_vl3,YAN_mg_l,134,8,10.0,19.42,164.51999999999998
historical_vl3,PAN_mg_l,134,8,9.0,16.0,101.0
historical_vl3,NH4_mg_l,134,8,0.0,3.0,86.0
historical_vl3,pyruvic_acid,136,8,18.0,46.5,98.0
historical_vl3,pyruvic_acid_2,13,1,0.0,12.0,36.0
historical_vl3,acetaldehyde,114,6,129.0,205.5,288.0
historical_vl3,acetic_acid,0,0,,,
historical_vl3,DO_mg_l,0,0,,,
historical_vl3,benzyl_alcohol_total,50,8,0.023633332916666663,0.03638574340208334,0.04937085733333334
historical_vl3,benzaldehyde_total,50,8,0.0014069406158333335,0.0036398026337500005,0.0321345486625
historical_vl3,ethyl_decanoate_total,50,8,0.0,0.004756871539583333,0.029606410049999997
historical_vl3,hexyl_acetate_total,50,8,0.00423783485,0.16544786685416668,0.5570067433333334
historical_vl3,isoamyl_acetate_total,50,8,0.16440079645416542,5.391164428983215,10.693966574822793
historical_vl3,ethyl_octanoate_total,50,8,0.010165320329166668,0.04604622143750001,0.14466319991666668
historical_vl3,phenylethyl_acetate_total,50,8,0.00021668814508333335,0.087666093625,0.20496496541666664
historical_vl3,ethyl_acetate_total,50,8,1.774577304293678,7.72976574483018,13.92721387178408
natural,YAN_mg_l,91,9,0.0,37.1,277.52
natural,PAN_mg_l,91,9,0.0,27.0,166.0
natural,NH4_mg_l,91,9,0.0,2.0,172.0
natural,pyruvic_acid,91,9,0.0,26.0,60.0
natural,pyruvic_acid_2,4,1,1.18,5.715,10.14
natural,acetaldehyde,79,6,0.0,106.0,144.0
natural,acetic_acid,50,6,0.07,0.3,0.46
natural,DO_mg_l,32,3,0.3,0.615,1.65
natural,benzyl_alcohol_total,0,0,,,
natural,benzaldehyde_total,0,0,,,
natural,ethyl_decanoate_total,0,0,,,
natural,hexyl_acetate_total,0,0,,,
natural,isoamyl_acetate_total,0,0,,,
natural,ethyl_octanoate_total,0,0,,,
natural,phenylethyl_acetate_total,0,0,,,
natural,ethyl_acetate_total,0,0,,,
synthetic,YAN_mg_l,83,10,0.0001,130.0,335.0
synthetic,PAN_mg_l,83,10,5.0,44.0,93.0
synthetic,NH4_mg_l,83,10,0.0001,90.0,296.0
synthetic,pyruvic_acid,86,10,0.0001,30.0,91.0
synthetic,pyruvic_acid_2,0,0,,,
synthetic,acetaldehyde,0,0,,,
synthetic,acetic_acid,0,0,,,
synthetic,DO_mg_l,0,0,,,
synthetic,benzyl_alcohol_total,0,0,,,
synthetic,benzaldehyde_total,0,0,,,
synthetic,ethyl_decanoate_total,0,0,,,
synthetic,hexyl_acetate_total,0,0,,,
synthetic,isoamyl_acetate_total,0,0,,,
synthetic,ethyl_octanoate_total,0,0,,,
synthetic,phenylethyl_acetate_total,0,0,,,
synthetic,ethyl_acetate_total,0,0,,,
