direction,fim_eigenvalue,relative_eigenvalue,dominant_parameters,dominant_loadings,dominant_abs_loadings
1,135.7126462722322,0.0008942079649251619,"betaF0, qEF, qEG, qN, mu0","+0.839, +0.413, +0.305, +0.138, -0.113","0.839, 0.413, 0.305, 0.138, 0.113"
2,330.80433520736597,0.002179663277516712,"betaG0, qEG, mu0, betaF0, qEF","-0.767, -0.394, +0.330, +0.291, -0.250","0.767, 0.394, 0.330, 0.291, 0.250"
3,1036.8578521118013,0.006831836054495044,"qN, mu0, qEF, betaG0, betaF0","+0.744, +0.587, +0.229, +0.171, -0.138","0.744, 0.587, 0.229, 0.171, 0.138"
4,1844.7425139222275,0.012154972248321997,"qEF, qEG, mu0, qN, betaF0","+0.735, -0.626, -0.169, -0.140, -0.134","0.735, 0.626, 0.169, 0.140, 0.134"
5,51896.76360446941,0.3419467576799429,"mu0, qN, qEG, qEF, betaG0","+0.556, -0.517, +0.456, +0.370, -0.206","0.556, 0.517, 0.456, 0.370, 0.206"
6,151768.55004147752,1.0,"betaG0, mu0, qEG, qN, betaF0","-0.581, -0.443, +0.388, +0.375, -0.370","0.581, 0.443, 0.388, 0.375, 0.370"
