,mu0,qN,betaG0,betaF0,qEG,qEF,qXG,qXF,iG
mu0,44999.192014326516,-38883.676334852455,32502.7311254101,20976.360576666226,-14039.391853040699,-2400.9974513687125,-22.026895267815405,-6.359339800028989,-6887.537918603393
qN,-38883.676334852455,35279.40118372318,-28776.31600363405,-18745.54285160503,12950.00361077645,2151.0474482156797,20.531256759846173,5.87440193861566,6067.167784742973
betaG0,32502.7311254101,-28776.31600363405,50826.41934860678,36048.6306023703,-37902.43343576035,-20532.070601209783,-58.97628381285463,-35.16546135361876,-5277.317612504562
betaF0,20976.360576666226,-18745.54285160503,36048.6306023703,26150.10916863392,-27842.326519541315,-15939.096604994806,-42.75997592960921,-26.775068563561437,-3354.561891963549
qEG,-14039.391853040699,12950.00361077645,-37902.43343576035,-27842.326519541315,33943.32133576559,19071.04779028341,52.85647481980901,31.195509343485266,2619.98047301333
qEF,-2400.9974513687125,2151.0474482156797,-20532.070601209783,-15939.096604994806,19071.04779028341,14847.876398364842,29.119937476944152,24.763640281242953,118.60920787795692
qXG,-22.026895267815405,20.531256759846173,-58.97628381285463,-42.75997592960921,52.85647481980901,29.119937476944152,0.08639209219009542,0.049467854942758266,4.113631408217861
qXF,-6.359339800028989,5.87440193861566,-35.16546135361876,-26.775068563561437,31.195509343485266,24.763640281242953,0.049467854942758266,0.048677382228886526,0.0659490187188396
iG,-6887.537918603393,6067.167784742973,-5277.317612504562,-3354.561891963549,2619.98047301333,118.60920787795692,4.113631408217861,0.0659490187188396,1203.7481035017004
