batch,state,t,mu0,qN,betaG0,betaF0,qEG,qEF,qXG,qXF,iG
25026,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,12.0,12.92936779929864,-2.18053021921986,5.620386913962951e-15,0.0,2.058540425835485e-15,-2.1462009440094012e-15,8.881784197001244e-13,0.0,0.0
25026,X,36.0,18.57151133834956,-217.13275180049112,0.0,0.0,0.0,4.2924018880188024e-15,0.0,8.881784197001244e-13,0.0
25026,X,42.0,18.571461975755284,-217.13343560564172,5.620386913962951e-15,7.72942422935853e-15,4.11708085167097e-15,4.2924018880188024e-15,1.7763568394002488e-12,8.881784197001244e-13,-1.2753787330319388e-13
25026,X,60.0,26.26150769281434,-307.0436131126917,0.0,1.545884845871706e-14,0.0,0.0,1.7763568394002488e-12,0.0,0.0
25026,X,84.0,26.261507656088913,-307.0437713543203,-1.1240773827925902e-14,0.0,8.23416170334194e-15,8.584803776037605e-15,1.7763568394002488e-12,0.0,0.0
25026,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,N,12.0,-0.5142651306481273,-6.754182931182651,-3.5127418212268445e-16,4.830890143349081e-16,5.146351064588712e-16,5.365502360023503e-16,5.5511151231257777e-14,5.5511151231257777e-14,7.971117081449618e-15
25026,N,36.0,-5.110709307561758e-06,-5.047433093600814e-05,7.49062606073687e-19,-2.5799736788515904e-19,5.030641404345923e-21,7.688205047545731e-20,5.029258124322404e-18,1.0349683824263473e-17,-5.119845728260343e-18
25026,N,42.0,-5.0020142040418506e-08,-5.417158669593057e-07,-8.576029836979601e-20,2.8794349094325786e-20,-2.0858757042409926e-21,-8.315030417478745e-21,-5.82335151237331e-19,-9.793818452627838e-19,5.853424217907148e-19
25026,N,60.0,-6.779873085663367e-07,-5.8427387510787805e-06,1.1725040792745547e-21,0.0,-3.680957125131163e-22,-6.396177244214419e-22,-2.382280164152718e-19,-1.0587911840678745e-19,7.601849633645647e-21
25026,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,G,12.0,-25.51609472062613,3.1196449316795003,2.110080889974808,0.1741619948674855,-8.117926409225738,-0.0012611076051973528,-6.898178676550509,-0.0022603024945055928,-1.7930431399391609
25026,G,36.0,-131.64842897016652,900.4683442019897,17.476810418019348,3.5186994417013775,-43.39086470997254,-0.06796918454993457,-17.353507278926358,-0.0805419285399011,-33.09528935291274
25026,G,42.0,-145.20059331517825,1107.2341511446357,21.43373437078628,4.541486085581585,-50.33327327796383,-0.10267397020504108,-16.975374610638013,-0.1066101344093794,-42.020702650900546
25026,G,60.0,-183.72229471777968,1686.995756249722,34.977894326884055,8.242465101898793,-69.80911961540278,-0.3218064903815956,-22.10425008101422,-0.2526850836517267,-70.48655253053263
25026,G,84.0,-189.78621808773315,1896.7874636206093,44.86752245716546,11.155538035144213,-76.91837757428338,-0.7648506203977335,-17.532676255704857,-0.4378885102624959,-84.62079423126022
25026,G,90.0,-182.93470842299382,1847.8055007082207,45.43758989243785,11.394333923628261,-75.05980398697105,-0.9420388215481023,-16.074695864023866,-0.4739608791126666,-84.08708553978894
25026,G,108.0,-145.44031749133916,1501.7661863231629,42.062060885755606,10.901784112580264,-62.303970598262836,-1.4938177076893713,-11.405321963019677,-0.5415153174013194,-73.31814605263489
25026,G,114.0,-129.7959434456236,1346.2530047940743,39.2420525588285,10.298166117579111,-56.34572476485466,-1.626413250150465,-9.855477886945954,-0.5481716592505843,-66.20755048298072
25026,G,132.0,-84.66998791294466,885.2220455812441,28.664336492997982,7.967892537634296,-38.271573891716564,-1.877930748846992,-5.910927396476135,-0.5299707809083283,-42.452987850398046
25026,G,138.0,-71.67346175852104,750.5792170977682,25.02072924838622,7.1504872143560405,-32.79876516601907,-1.927999849874027,-4.8757121451439245,-0.5155209040763604,-34.861844878724085
25026,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,F,12.0,-12.222791413493308,1.5324209751291453,0.18565050359676483,0.9135018824549828,-0.08153991715409448,-3.826861319213314,-0.0677602145060518,-6.926463251659237,61.873817083133744
