,candidate,theta_hat,reference_prior_median,posterior_median_laplace,posterior_log_sd,posterior_95_lower,posterior_95_upper,posterior_var_over_weak_prior_var,l2_prior_precision,data_dominated_vs_weak_prior
mu0,plus_qx_iG_logL2_10,0.155377808467777,0.158858848524967,0.15523957154586637,0.02862906543802992,0.14676850921602694,0.1641995595817672,0.0008196233878549993,0.0,True
qN,plus_qx_iG_logL2_10,0.0133101185299815,0.0135460719053021,0.013304585904087375,0.02670564077740154,0.01262609526031789,0.014019536715802017,0.0007131912493316121,0.0,True
betaG0,plus_qx_iG_logL2_10,0.3995798062665501,0.4095834574103576,0.41711577842165026,0.050084877938247695,0.3781146545709199,0.46013972350724147,0.0025084949980891703,0.0,True
betaF0,plus_qx_iG_logL2_10,0.2889247532908035,0.3094143987288918,0.2958976309237902,0.0780822973184763,0.25390806439286917,0.3448311427038332,0.0060968451545309315,0.0,True
qEG,plus_qx_iG_logL2_10,0.5230426651395569,0.5158266422872246,0.5242446282669457,0.03787142402574462,0.48674016184826724,0.5646389014277032,0.001434244757737747,0.0,True
qEF,plus_qx_iG_logL2_10,0.5200605577299623,0.5792246536797445,0.5540792530909566,0.06092455824196136,0.4917131895693907,0.6243554682246486,0.0037118017969781413,0.0,True
qXG,plus_qx_iG_logL2_10,0.0755014543706534,0.1124999999999999,0.11191072167574667,0.1548781982731123,0.08261077805230882,0.15160261071571418,0.023987256300325485,40.0,True
qXF,plus_qx_iG_logL2_10,0.0916032749352908,0.1124999999999999,0.11429958392706806,0.15330358735698785,0.0846350005713075,0.1543616092362844,0.023501989896521604,40.0,True
iG,plus_qx_iG_logL2_10,0.0201896772309379,0.0270361608651571,0.024959596821834552,0.12567550955145793,0.01951014119522993,0.03193116171095918,0.015794333701018595,40.0,True
