,mu0,qN,betaG0,betaF0,qEG,qEF
mu0,46273.83677892694,-39612.61423979853,33157.604783081966,19348.181586955252,-12785.542598199498,-2657.8902980556095
qN,-39612.61423979853,35793.46682754432,-27368.812424171738,-15966.820909889317,9936.270859440669,1232.8296795780525
betaG0,33157.604783081966,-27368.812424171738,53664.998010132986,34597.57089512737,-38907.72208904433,-21221.244751156133
betaF0,19348.181586955252,-15966.820909889317,34597.57089512737,22871.436348522846,-26143.349133103206,-14889.516726531036
qEG,-12785.542598199498,9936.270859440669,-38907.72208904433,-26143.349133103206,34376.69006895802,19485.33885688243
qEF,-2657.8902980556095,1232.8296795780525,-21221.244751156133,-14889.516726531036,19485.33885688243,14033.002959375464
