batch,state,t,mu0,qN,betaG0,betaF0,qEG,qEF,iG
25026,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,12.0,4.297519486679769,-0.07370187984193641,2.220446049250312e-15,0.0,0.0,0.0,2.220446049250313e-15
25026,X,36.0,5.646458131869569,-5.703473904725064,0.0,-4.440892098500624e-15,4.440892098500624e-15,-4.440892098500627e-15,-4.440892098500626e-15
25026,X,42.0,5.646449660567176,-5.703484322971478,0.0,0.0,8.881784197001248e-15,4.440892098500627e-15,-4.440892098500626e-15
25026,X,60.0,7.984523727462964,-8.06517184868238,0.0,0.0,0.0,0.0,-8.881784197001252e-15
25026,X,84.0,7.984523936107267,-8.065175717870197,0.0,-8.881784197001248e-15,0.0,0.0,0.0
25026,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,N,12.0,-13.133532007376123,-14.113440577833138,-2.099085063323244e-14,0.0,2.0990850633232437e-14,0.0,0.0
25026,N,36.0,-6.612010920327587e-05,-5.72486591594476e-05,1.269023653488012e-15,1.3808266136803142e-15,6.505991416740936e-20,-1.0454627745824478e-16,9.11839720100153e-16
25026,N,42.0,-6.489265012837948e-07,-5.324870524243125e-07,-7.469929114262836e-16,-8.142398396314744e-16,-4.003687025686729e-20,6.171683550096098e-17,-5.337215081767339e-16
25026,N,60.0,-1.3059944627453497e-05,-1.0419023313961623e-05,-6.005530538530094e-20,-2.0018435128433647e-20,-1.0009217564216822e-20,1.0009217564216829e-19,-8.007374051373461e-20
25026,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,G,12.0,-1.2959606510799784,0.02057894387269455,0.2298045578338455,0.013399966007135061,-1.1942457466872576,-0.00018096627136437042,-0.008623637356293755
25026,G,36.0,-5.281055694573178,3.7270724138537394,1.877027509275403,0.26301961912490684,-6.266771341604836,-0.009543623118577009,-0.1542734619087469
25026,G,42.0,-5.821694228977496,4.421054787037433,2.2946864346214544,0.3384145431756052,-7.253101274114775,-0.014341906945294573,-0.19526887151116176
25026,G,60.0,-7.334271633060713,6.529798599820008,3.7198133339201527,0.6098090082310931,-9.988958421842002,-0.04495753172038538,-0.3247270393609198
25026,G,84.0,-7.5725119741677585,7.094125907518835,4.752898426565586,0.8249704153097058,-10.978176199821034,-0.1073636555670017,-0.38842768815023854
25026,G,90.0,-7.3075180559345085,6.886022673671613,4.813755534303421,0.843904617805853,-10.720904989570476,-0.12585265392679285,-0.38598238924429834
25026,G,108.0,-5.861231102055578,5.593797786453533,4.479250094200011,0.8157408268342726,-8.963678388012507,-0.18249787886144223,-0.33791088642901584
25026,G,114.0,-5.257227742578243,5.029847125799438,4.195145795021442,0.7749850220472986,-8.141240837971429,-0.20030025707927016,-0.3060054899671675
25026,G,132.0,-3.5005541820546533,3.364314009872621,3.11703484044809,0.61384103973208,-5.6247519674272395,-0.2448716810462269,-0.19825762865353322
25026,G,138.0,-2.987874411423212,2.8748455040490812,2.739952783042244,0.5562480188578891,-4.852725381535436,-0.25728575353746846,-0.16322545961858081
25026,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,F,12.0,-0.6630435886027479,0.01264360259389225,0.018856862540725817,0.06472395026462703,-0.011266538034893369,-0.4913385695975464,0.27618276011080545
25026,F,36.0,-2.9609577096828548,2.3322091461970187,0.44271824848467584,0.5486542011693472,-0.3747547209677329,-3.035662155178713,1.4795591402395798
25026,F,42.0,-3.450865398545604,2.8622802011261257,0.6008331908757375,0.6910817229336624,-0.5374381007628936,-3.6426076257986395,1.7216332284856697
25026,F,60.0,-5.509769907898388,5.230810861005649,1.3559198530292302,1.3272845034750083,-1.4351190634377344,-5.907574178324696,2.4431229452334673
25026,F,84.0,-8.002249360314408,7.840921392723689,2.523636644347783,2.2504797952171924,-3.0166419930502757,-8.421585805580186,2.903348348894509
25026,F,90.0,-8.536577396030571,8.398128038299175,2.822896207766001,2.5113277667187086,-3.430614602565795,-8.958022808091913,2.9175726388001815
25026,F,108.0,-9.525691920989411,9.467577402088072,3.654081775884605,3.273416033444605,-4.477104627744643,-10.071023658216184,2.724891351370308
25026,F,114.0,-9.606057361464309,9.566845624651227,3.841515968560503,3.4877908786258733,-4.692939740273705,-10.208178682935303,2.5902233883509096
25026,F,132.0,-8.996390647037726,8.9727149275612,4.022393669072179,3.8376221996743123,-4.839976463459076,-9.750616787248555,2.05448120885864
25026,F,138.0,-8.488962959831435,8.457117243788792,3.9217778236861,3.8161552253517943,-4.693183808895296,-9.268226305591947,1.8379211692832629
25026,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,E,12.0,4.253410839549316,-0.051769262420248846,2.8264705870567846,0.9590077121564468,0.0028947758868911235,-0.0023502550111937945,-0.6189964237341098
25026,E,36.0,21.856305806925576,-13.16360309371906,12.85415964231541,5.144134981753995,-0.031652290842273285,-0.09031664317131162,-2.9946927875655334
25026,E,42.0,24.47572126215933,-16.327156496082228,14.625291294398734,6.064349704911568,-0.10299216053065105,-0.13624113433693735,-3.4372447714383214
25026,E,60.0,33.24599780338851,-26.3818381976654,19.807751062290674,9.478601224654417,-1.023371911167187,-0.4698231159049453,-4.730297423696953
25026,E,84.0,39.14751309201448,-33.51001437483425,24.60494173467111,13.71108236188438,-4.86534820416402,-1.4630184119102772,-5.597781200438697
25026,E,90.0,39.46154333984971,-34.04278229046812,25.777189313858386,14.81917380054178,-6.675524883847753,-1.9361769959511728,-5.633865484190756
25026,E,108.0,37.098594236003294,-32.30556807328256,29.508906971396062,18.130727270364925,-14.01147788894136,-4.193452803965882,-5.31716097780345
25026,E,114.0,35.37718387385656,-30.739880296109952,31.025087353333088,19.295265378591957,-17.03764752087551,-5.367226761369222,-5.093833252482128
25026,E,132.0,28.432301013380467,-24.079598275667706,36.055598247658175,22.8693830653905,-26.40758466624183,-10.215233925118897,-4.152515490243233
25026,E,138.0,25.632050478393005,-21.32154980270386,37.88914397337431,24.152439449198727,-29.53081852341008,-12.367971060084114,-3.747637153271136
25086,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,X,12.0,2.4366075963548695,-0.08163895511929639,2.220446049250312e-15,-2.220446049250312e-15,2.220446049250312e-15,0.0,0.0
25086,X,24.0,3.3984203369752555,-3.1351041589116355,-2.442490654175343e-13,-8.792966355031237e-13,1.5987211554602244e-13,2.708944180085382e-13,1.3322676295501878e-14
25086,X,30.0,6.061200512646606,-5.059772995993253,-4.352074256530611e-13,-4.916067553040191e-12,-2.797762022055393e-12,7.105427357601003e-13,-3.9968028886505635e-14
25086,X,48.0,5.627745835056247,-5.684589105296752,4.440892098500624e-15,-4.440892098500624e-15,4.440892098500624e-15,4.440892098500627e-15,-4.440892098500626e-15
25086,X,54.0,5.627744990130269,-5.68459086880955,-4.440892098500624e-15,-4.440892098500624e-15,4.440892098500624e-15,4.440892098500627e-15,0.0
25086,X,72.0,5.6277449818291805,-5.6845908913734196,-4.008793297316513e-10,-4.440892098500624e-15,4.008793297316513e-10,4.008837706237501e-10,4.008793297316515e-10
25086,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,N,12.0,-6.103473453386958,-9.107859785993638,-1.049542531661622e-14,0.0,1.0495425316616219e-14,0.0,-1.0495425316616223e-14
25086,N,24.0,-0.8843350176253175,-1.0161077959501088,1.5977645134342472e-12,5.677205141186515e-12,-1.0101846867243113e-12,-1.7297772849948118e-12,-9.413084580840176e-14
25086,N,30.0,-5.121101821277205,-1.7592390324031604,2.7983427750427993e-12,3.1803762565676305e-11,1.812559952179621e-11,-4.582565078867561e-12,2.4401863861132723e-13
25086,N,48.0,-9.876711937557962e-06,-7.214142330177945e-06,6.698418624413004e-17,4.3549354930590087e-16,1.7449819671016503e-16,-8.256103107844253e-17,-1.701566985916861e-19
25086,N,54.0,-1.0086105772032966e-07,-9.424293143369551e-08,1.1549698704959568e-18,1.5207168459040284e-17,3.408224597329271e-17,-1.1891419648362915e-18,-1.0799007387643313e-19
25086,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,G,12.0,-0.6828298103727204,0.02177110322111062,0.15529295133435547,0.007044428105712851,-0.8251787989358138,-8.674919169282746e-05,-0.004380948696403076
25086,G,24.0,-2.0773514029862743,1.01356385637024,0.5465231716928127,0.050646931730596055,-2.3991071780190865,-0.0008617443523527338,-0.030751357402973398
25086,G,30.0,-3.0292535063851624,1.9826510984060746,0.8735437928938878,0.09716385675759617,-3.4548510886042885,-0.0020768677672591655,-0.05804941799965359
25086,G,48.0,-4.764347347295828,4.142636647032727,1.966264211885424,0.2857525618427499,-6.3000303215590385,-0.010345510314008386,-0.1611201499687955
