policy,sample_number,time_h,local_timestamp,weekday,active_probability
anchor_18C,1,0.0,2026-07-20T09:00:00-04:00,Monday,1.0
anchor_18C,2,8.0,2026-07-20T17:00:00-04:00,Monday,1.0
anchor_18C,3,28.0,2026-07-21T13:00:00-04:00,Tuesday,1.0
anchor_18C,4,32.0,2026-07-21T17:00:00-04:00,Tuesday,1.0
anchor_18C,5,48.0,2026-07-22T09:00:00-04:00,Wednesday,1.0
anchor_18C,6,56.0,2026-07-22T17:00:00-04:00,Wednesday,1.0
anchor_18C,7,76.0,2026-07-23T13:00:00-04:00,Thursday,1.0
anchor_18C,8,168.0,2026-07-27T09:00:00-04:00,Monday,0.984375
anchor_18C,9,172.0,2026-07-27T13:00:00-04:00,Monday,0.984375
anchor_18C,10,176.0,2026-07-27T17:00:00-04:00,Monday,0.984375
wave1_A,1,0.0,2026-07-20T09:00:00-04:00,Monday,1.0
wave1_A,2,8.0,2026-07-20T17:00:00-04:00,Monday,1.0
wave1_A,3,24.0,2026-07-21T09:00:00-04:00,Tuesday,1.0
wave1_A,4,28.0,2026-07-21T13:00:00-04:00,Tuesday,1.0
wave1_A,5,32.0,2026-07-21T17:00:00-04:00,Tuesday,1.0
wave1_A,6,48.0,2026-07-22T09:00:00-04:00,Wednesday,1.0
wave1_A,7,56.0,2026-07-22T17:00:00-04:00,Wednesday,1.0
wave1_A,8,168.0,2026-07-27T09:00:00-04:00,Monday,0.984375
wave1_A,9,172.0,2026-07-27T13:00:00-04:00,Monday,0.984375
wave1_A,10,176.0,2026-07-27T17:00:00-04:00,Monday,0.984375
wave1_B,1,0.0,2026-07-20T09:00:00-04:00,Monday,1.0
wave1_B,2,8.0,2026-07-20T17:00:00-04:00,Monday,1.0
wave1_B,3,24.0,2026-07-21T09:00:00-04:00,Tuesday,1.0
wave1_B,4,28.0,2026-07-21T13:00:00-04:00,Tuesday,1.0
wave1_B,5,32.0,2026-07-21T17:00:00-04:00,Tuesday,1.0
wave1_B,6,48.0,2026-07-22T09:00:00-04:00,Wednesday,1.0
wave1_B,7,56.0,2026-07-22T17:00:00-04:00,Wednesday,1.0
wave1_B,8,72.0,2026-07-23T09:00:00-04:00,Thursday,1.0
wave1_B,9,80.0,2026-07-23T17:00:00-04:00,Thursday,1.0
wave1_B,10,104.0,2026-07-24T17:00:00-04:00,Friday,1.0
