batch,t0,reactor_volume_l,reactor_volume_source,metadata_workbook
LAB004,2026-04-06 13:00:00,2.0,workbook,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\Vendimia_2026\mosto_natural_xthiol.xlsx
LAB005,2026-04-06 13:00:00,2.0,workbook,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\Vendimia_2026\mosto_natural_xthiol.xlsx
LAB006,2026-04-06 13:00:00,2.0,workbook,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\Vendimia_2026\mosto_natural_xthiol.xlsx
LAB007,2026-04-17 16:00:00,2.0,default_2L,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\Vendimia_2026\mosto_natural_xthiol.xlsx
LAB008,2026-04-17 16:00:00,2.0,default_2L,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\Vendimia_2026\mosto_natural_xthiol.xlsx
LAB009,2026-04-17 16:00:00,2.0,default_2L,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\Vendimia_2026\mosto_natural_xthiol.xlsx
LAB010,2026-05-12 15:00:00,2.0,workbook,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\Vendimia_2026\mosto_natural_xthiol.xlsx
LAB011,2026-05-12 15:00:00,2.0,workbook,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\Vendimia_2026\mosto_natural_xthiol.xlsx
LAB012,2026-05-12 15:00:00,2.0,workbook,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Doctorado\Artículos\Artículo - Estimación_dFBA\pyomo-doe\fermentation_model\data\Laboratorio 2026\Vendimia_2026\mosto_natural_xthiol.xlsx
