case,medium,batch,n_time,t_min_h,t_max_h,X0,Xd0,N0,G0,F0,E0,Gly0,n_core_obs,n_secondary_obs,pulses
historical_natural_only,natural,LAB004,89,0.0,163.0,0.3939,0.0092999999999999,0.23076,75.04,70.80999999999999,9.707652,0.99,81,26,N:68@0.08
historical_natural_only,natural,LAB005,89,0.0,163.0,0.4932,0.0158999999999999,0.2272999999999999,77.71,87.95,9.786576,1.09,81,26,N:68@0.08
historical_natural_only,natural,LAB006,114,0.0,211.0,0.0989999999999999,0.0275999999999999,0.22912,81.63,75.81,9.8655,1.17,93,30,N:99@0.08
historical_natural_only,natural,LAB007,82,0.0,160.0,0.2916,0.0008999999999999,0.23904,77.52,74.55,11.759676,0.89,84,50,N:65@0.08
historical_natural_only,natural,LAB008,82,0.0,160.0,0.2534999999999999,0.0033,0.23922,76.21,74.89,9.234108,0.85,84,50,N:65@0.08
historical_natural_only,natural,LAB009,82,0.0,160.0,0.3602999999999999,0.0008999999999999,0.2374,75.75,76.68,9.707652,0.75,77,46,N:41@0.08
historical_natural_only,natural,LAB010,101,0.0,186.9999999999418,0.9609,0.1127999999999999,0.2256999999999999,78.49,77.05,9.313032,1.25,38,8,N:79@0.08
historical_natural_only,natural,LAB011,87,0.0,162.9999999999418,1.0656,0.0380999999999998,0.22024,75.61,76.67,9.313032,1.25,34,8,N:72@0.08
historical_natural_only,natural,LAB012,88,0.0,162.9999999999418,0.8513999999999999,0.1208999999999999,0.22206,75.0,79.88,9.391956,1.27,36,8,N:72@0.08
