batch,state,n,rmse,mae
LAB004,Pyr,13,14.899067156825307,13.206371649089123
LAB004,AcAld,13,15.091873995096098,11.799521994892386
LAB005,Pyr,13,13.15247778656803,11.33767897152239
LAB005,AcAld,13,20.118780511744436,17.047418799241452
LAB006,Pyr,15,18.84845186165036,15.645714030300871
LAB006,AcAld,15,27.735963347837327,20.695051667113983
LAB007,Pyr,13,13.249263458438406,9.672999380133781
LAB007,AcAld,13,47.98200102044687,41.02092805935202
LAB007,Acetate,13,0.15074041790277573,0.13074634942778396
LAB007,O2,11,0.28024912531615054,0.22206915103685676
LAB008,Pyr,13,9.998005538692153,8.798356476675234
LAB008,AcAld,13,43.56001726190659,36.115875035539275
LAB008,Acetate,13,0.13088408670127893,0.11345561736487493
LAB008,O2,11,0.36175345307697065,0.3258983467686336
LAB009,Pyr,12,9.117937386385549,7.77225462863611
LAB009,AcAld,12,39.46921377023409,32.80876473821326
LAB009,Acetate,12,0.13098962146614493,0.10838422931324178
LAB009,O2,10,0.3911180569219881,0.33920621555818153
LAB010,Pyr,4,14.793302127700816,11.890074139850102
LAB010,Acetate,4,0.11137288084009174,0.08940987425625618
LAB011,Pyr,4,12.86336210415164,9.9036626587393
LAB011,Acetate,4,0.09296726679059737,0.06161775761178128
LAB012,Pyr,4,6.799348590409953,5.4579250205429855
LAB012,Acetate,4,0.0657980837074352,0.04744471715222173
