parameter,theta,reestimated_in_this_notebook
mu0,0.07872791678447393,True
qN,0.021080382428485492,True
betaG0,0.42887800299738693,True
betaF0,3.440399174765835,True
qEG,1.712806793770099,True
qEF,5.023016750172416,True
iG,0.05603743726956454,True
iE,0.04016794097997977,True
Kd0,0.00015024954789675355,True
gammaG0,0.11555879136750319,True
gammaF0,0.00010000162159900243,True
kPyrS_N,0.8508617891421286,False
kPyrO2,0.2731889591927507,False
kPyrDrain,0.0035910294181966,False
kAldS_N,2.359887977142201,False
kAcAld,0.0013923120060084,False
kAcStress,0.0026158743573774,False
k_EA_growth,0.1,False
k_EA_stationary,0.28,False
k_IAA_growth,0.003,False
k_IAA_stationary,0.012,False
k_EO_growth,0.0008,False
k_EO_stationary,0.003,False
alpha_EA_loss,1.0,False
alpha_IAA_loss,1.0,False
alpha_EO_loss,1.0,False
