case,direction,eigenvalue,relative_eigenvalue
historical_natural_only,1,0.0,0.0
historical_natural_only,2,0.0,0.0
historical_natural_only,3,0.0,0.0
historical_natural_only,4,0.0,0.0
historical_natural_only,5,0.0,0.0
historical_natural_only,6,0.0,0.0
historical_natural_only,7,0.0,0.0
historical_natural_only,8,0.0,0.0
historical_natural_only,9,0.0,0.0
historical_natural_only,10,5.043393307577437e-06,6.702391957118296e-11
historical_natural_only,11,2.874737918137873,3.820368376267953e-05
historical_natural_only,12,7.092169093648916,9.425102147075728e-05
historical_natural_only,13,20.93799491689571,0.00027825442151882155
historical_natural_only,14,39.54802111560614,0.0005255714208267968
historical_natural_only,15,77.87985835141455,0.0010349804276652056
historical_natural_only,16,106.6918890145189,0.001417876447879412
historical_natural_only,17,166.14770531501085,0.0022080115031359597
historical_natural_only,18,860.1454448859351,0.011430859265117731
historical_natural_only,19,1005.2793972298666,0.013359609563916078
historical_natural_only,20,2031.4150410521777,0.02699638715913928
historical_natural_only,21,4573.444959646906,0.06077856483611155
historical_natural_only,22,6141.668693219535,0.08161939460655046
historical_natural_only,23,6565.38940178454,0.08725040947283837
historical_natural_only,24,15908.974819262217,0.2114215139922109
historical_natural_only,25,35726.288553175444,0.4747826997682829
historical_natural_only,26,75247.66292160943,1.0
