case,seed,fit,n_batches,mediums,parameters,n_parameters,success,status,message,nfev,initial_wsse,final_wsse,n_residuals,dof,wsse_per_residual,wsse_per_dof,l2_lambda,l2_parameters
historical_natural_only,seed_default,historical_natural_only__seed_default,9,natural,"mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,3,`xtol` termination condition is satisfied.,20,12566.032797006847,11672.30672555613,608,597,19.19787290387521,19.5516025553704,0.0,
historical_natural_only,qN_up_25pct,historical_natural_only__qN_up_25pct,9,natural,"mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,2,`ftol` termination condition is satisfied.,22,12461.236898135301,11672.294695600762,608,597,19.19785311776441,19.551582404691395,0.0,
historical_natural_only,Kd0_up_2x,historical_natural_only__Kd0_up_2x,9,natural,"mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,2,`ftol` termination condition is satisfied.,5,11679.203212223229,11672.119055964802,608,597,19.197564236784213,19.55128820094607,0.0,
historical_natural_only,qN_up_25pct_Kd0_up_2x,historical_natural_only__qN_up_25pct_Kd0_up_2x,9,natural,"mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,2,`ftol` termination condition is satisfied.,8,12480.241524757224,11672.240034230337,608,597,19.197763214194634,19.55149084460693,0.0,
historical_natural_only,profile_center_Kd0_nuisance,historical_natural_only__profile_center_Kd0_nuisance,9,natural,"mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,gammaG0,gammaF0",10,True,3,`xtol` termination condition is satisfied.,8,11672.119055964802,11672.084819320407,608,598,19.19750792651383,19.51853648715787,0.0,
historical_natural_only,profile_center_Kd0_release,historical_natural_only__profile_center_Kd0_release,9,natural,"mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,3,`xtol` termination condition is satisfied.,8,11672.084819320407,11672.084819320407,608,597,19.19750792651383,19.55123085313301,0.0,
historical_natural_only,profile_center_qN_nuisance,historical_natural_only__profile_center_qN_nuisance,9,natural,"mu0,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",10,True,3,`xtol` termination condition is satisfied.,8,11672.084819320407,11672.084819320407,608,598,19.19750792651383,19.51853648715787,0.0,
historical_natural_only,profile_center_qN_release,historical_natural_only__profile_center_qN_release,9,natural,"mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,3,`xtol` termination condition is satisfied.,8,11672.084819320407,11672.084819320407,608,597,19.19750792651383,19.55123085313301,0.0,
